Kennziffer;Raumeinheit;Aggregat;Baulandpreise;Veränderung Baulandpreise;Baulandumsatz
;;;2016/2017;2012/2013-2016/2017;2015/2016
01001;Flensburg, Stadt;krsfr. Stadt;94,8;-10,9;24,1
01002;Kiel, Stadt;krsfr. Stadt;310,5;136,2;3,2
01003;Lübeck, Stadt;krsfr. Stadt;176,7;52,5;18,6
01004;Neumünster, Stadt;krsfr. Stadt;100,6;9,7;12,5
01051;Dithmarschen;Landkreis;52,5;16,6;9,3
01053;Herzogtum Lauenburg;Landkreis;114,1;19,5;22,7
01054;Nordfriesland;Landkreis;147,3;11,3;12,0
01055;Ostholstein;Landkreis;133,0;40,2;12,2
01056;Pinneberg;Landkreis;201,2;27,0;9,9
01057;Plön;Landkreis;89,6;-26,2;7,1
01058;Rendsburg-Eckernförde;Landkreis;95,5;15,9;11,0
01059;Schleswig-Flensburg;Landkreis;72,6;12,4;13,1
01060;Segeberg;Landkreis;128,3;41,8;14,9
01061;Steinburg;Landkreis;78,9;15,4;15,3
01062;Stormarn;Landkreis;201,4;27,9;24,1
02000;Hamburg, Stadt;krsfr. Stadt;726,8;174,4;33,6
03101;Braunschweig, Stadt;krsfr. Stadt;233,2;95,0;17,8
03102;Salzgitter, Stadt;krsfr. Stadt;99,1;26,3;15,5
03103;Wolfsburg, Stadt;krsfr. Stadt;201,2;106,4;41,2
03151;Gifhorn;Landkreis;78,8;9,9;51,8
03153;Goslar;Landkreis;59,5;10,3;16,0
03154;Helmstedt;Landkreis;59,3;-9,2;37,8
03155;Northeim;Landkreis;65,5;19,4;19,1
03157;Peine;Landkreis;77,1;-2,2;60,2
03158;Wolfenbüttel;Landkreis;118,8;26,4;29,8
03159;Göttingen;Landkreis;67,7;4,2;25,0
03241;Region Hannover;Landkreis;196,7;49,7;24,8
03251;Diepholz;Landkreis;69,3;8,1;32,2
03252;Hameln-Pyrmont;Landkreis;58,6;-0,7;17,0
03254;Hildesheim;Landkreis;56,9;-44,8;20,0
03255;Holzminden;Landkreis;0,0;0,0;0,0
03256;Nienburg (Weser);Landkreis;37,0;-2,9;23,1
03257;Schaumburg;Landkreis;49,2;-7,0;0,0
03351;Celle;Landkreis;46,9;-12,2;30,5
03352;Cuxhaven;Landkreis;52,7;-0,2;40,5
03353;Harburg;Landkreis;120,0;40,5;57,2
03354;Lüchow-Dannenberg;Landkreis;0,0;0,0;0,0
03355;Lüneburg;Landkreis;85,2;3,7;49,9
03356;Osterholz;Landkreis;78,9;12,8;39,0
03357;Rotenburg (Wümme);Landkreis;45,4;2,5;39,1
03358;Heidekreis;Landkreis;42,8;-2,0;42,3
03359;Stade;Landkreis;86,4;-6,0;43,4
03360;Uelzen;Landkreis;43,7;16,7;23,5
03361;Verden;Landkreis;105,3;20,6;39,8
03401;Delmenhorst, Stadt;krsfr. Stadt;109,3;17,7;29,3
03402;Emden, Stadt;krsfr. Stadt;59,3;-27,4;36,1
03403;Oldenburg (Oldenburg), Stadt;krsfr. Stadt;273,6;97,7;57,9
03404;Osnabrück, Stadt;krsfr. Stadt;208,5;31,7;15,8
03405;Wilhelmshaven, Stadt;krsfr. Stadt;0,0;0,0;0,0
03451;Ammerland;Landkreis;118,7;45,0;23,8
03452;Aurich;Landkreis;70,5;22,7;37,5
03453;Cloppenburg;Landkreis;73,1;18,1;38,4
03454;Emsland;Landkreis;0,0;0,0;0,0
03455;Friesland;Landkreis;68,9;3,1;37,3
03456;Grafschaft Bentheim;Landkreis;73,0;-11,2;38,3
03457;Leer;Landkreis;61,1;14,5;43,7
03458;Oldenburg;Landkreis;91,1;31,8;32,4
03459;Osnabrück;Landkreis;74,9;6,4;34,3
03460;Vechta;Landkreis;100,4;27,9;35,4
03461;Wesermarsch;Landkreis;59,8;12,5;19,5
03462;Wittmund;Landkreis;50,7;-1,9;36,2
04011;Bremen, Stadt;krsfr. Stadt;204,8;38,0;8,2
04012;Bremerhaven, Stadt;krsfr. Stadt;99,4;33,9;24,0
05111;Düsseldorf, Stadt;krsfr. Stadt;1.400,4;785,3;2,6
05112;Duisburg, Stadt;krsfr. Stadt;151,2;-123,8;0,8
05113;Essen, Stadt;krsfr. Stadt;211,0;-52,3;5,2
05114;Krefeld, Stadt;krsfr. Stadt;187,8;-25,9;4,8
05116;Mönchengladbach, Stadt;krsfr. Stadt;120,2;-25,5;2,7
05117;Mülheim an der Ruhr, Stadt;krsfr. Stadt;297,4;41,8;2,5
05119;Oberhausen, Stadt;krsfr. Stadt;215,0;9,7;5,5
05120;Remscheid, Stadt;krsfr. Stadt;166,6;29,8;10,4
05122;Solingen, Stadt;krsfr. Stadt;231,9;44,5;7,7
05124;Wuppertal, Stadt;krsfr. Stadt;169,7;0,8;5,8
05154;Kleve;Landkreis;116,2;6,2;14,6
05158;Mettmann;Landkreis;290,2;100,0;2,5
05162;Rhein-Kreis Neuss;Landkreis;235,8;33,6;4,3
05166;Viersen;Landkreis;151,4;-10,9;17,4
05170;Wesel;Landkreis;174,2;20,1;5,7
05314;Bonn, Stadt;krsfr. Stadt;361,2;55,9;6,9
05315;Köln, Stadt;krsfr. Stadt;464,3;88,1;2,9
05316;Leverkusen, Stadt;krsfr. Stadt;257,7;-17,9;3,1
05334;Städteregion Aachen;Landkreis;166,3;30,5;4,6
05358;Düren;Landkreis;119,8;1,0;7,9
05362;Rhein-Erft-Kreis;Landkreis;233,8;67,1;9,9
05366;Euskirchen;Landkreis;85,4;-14,7;10,4
05370;Heinsberg;Landkreis;119,2;11,9;13,2
05374;Oberbergischer Kreis;Landkreis;78,1;-27,2;9,1
05378;Rheinisch-Bergischer Kreis;Landkreis;142,3;-36,1;4,8
05382;Rhein-Sieg-Kreis;Landkreis;185,5;10,4;5,1
05512;Bottrop, Stadt;krsfr. Stadt;239,8;99,4;8,1
05513;Gelsenkirchen, Stadt;krsfr. Stadt;129,7;-45,6;2,0
05515;Münster, Stadt;krsfr. Stadt;199,5;-42,7;11,1
05554;Borken;Landkreis;118,1;-0,8;5,5
05558;Coesfeld;Landkreis;143,8;6,1;0,8
05562;Recklinghausen;Landkreis;101,8;-41,7;6,1
05566;Steinfurt;Landkreis;96,3;-1,5;7,6
05570;Warendorf;Landkreis;118,4;10,5;11,7
05711;Bielefeld, Stadt;krsfr. Stadt;182,7;76,6;9,7
05754;Gütersloh;Landkreis;138,7;4,0;5,9
05758;Herford;Landkreis;75,0;-2,7;12,7
05762;Höxter;Landkreis;48,8;6,7;9,9
05766;Lippe;Landkreis;87,4;3,5;9,1
05770;Minden-Lübbecke;Landkreis;70,5;-1,9;11,1
05774;Paderborn;Landkreis;141,1;14,5;9,6
05911;Bochum, Stadt;krsfr. Stadt;142,8;-46,1;2,8
05913;Dortmund, Stadt;krsfr. Stadt;245,7;10,2;6,0
05914;Hagen, Stadt;krsfr. Stadt;180,3;-3,5;11,9
05915;Hamm, Stadt;krsfr. Stadt;122,4;32,2;3,3
05916;Herne, Stadt;krsfr. Stadt;132,6;-49,0;0,9
05954;Ennepe-Ruhr-Kreis;Landkreis;179,9;58,6;2,2
05958;Hochsauerlandkreis;Landkreis;74,2;6,9;8,3
05962;Märkischer Kreis;Landkreis;108,5;-13,0;7,1
05966;Olpe;Landkreis;84,1;2,2;7,9
05970;Siegen-Wittgenstein;Landkreis;93,1;11,0;5,4
05974;Soest;Landkreis;63,3;-27,3;6,5
05978;Unna;Landkreis;124,2;0,9;7,2
06411;Darmstadt, Stadt;krsfr. Stadt;819,4;340,8;16,4
06412;Frankfurt am Main, Stadt;krsfr. Stadt;808,1;190,5;34,7
06413;Offenbach am Main, Stadt;krsfr. Stadt;512,9;127,2;18,2
06414;Wiesbaden, Stadt;krsfr. Stadt;743,4;227,5;19,5
06431;Bergstraße;Landkreis;197,0;9,5;28,5
06432;Darmstadt-Dieburg;Landkreis;294,5;47,2;37,8
06433;Groß-Gerau;Landkreis;284,3;23,7;21,4
06434;Hochtaunuskreis;Landkreis;474,9;60,1;31,2
06435;Main-Kinzig-Kreis;Landkreis;194,9;26,8;40,7
06436;Main-Taunus-Kreis;Landkreis;489,8;100,5;24,1
06437;Odenwaldkreis;Landkreis;80,0;-4,0;28,8
06438;Offenbach;Landkreis;420,7;122,4;32,2
06439;Rheingau-Taunus-Kreis;Landkreis;206,3;9,4;26,7
06440;Wetteraukreis;Landkreis;271,4;101,1;41,5
06531;Gießen;Landkreis;164,6;30,9;29,3
06532;Lahn-Dill-Kreis;Landkreis;100,8;9,7;29,5
06533;Limburg-Weilburg;Landkreis;109,2;19,9;22,6
06534;Marburg-Biedenkopf;Landkreis;93,7;14,8;27,1
06535;Vogelsbergkreis;Landkreis;42,3;-8,1;21,9
06611;Kassel, Stadt;krsfr. Stadt;203,8;55,5;11,6
06631;Fulda;Landkreis;75,8;7,0;31,3
06632;Hersfeld-Rotenburg;Landkreis;40,2;2,4;15,9
06633;Kassel;Landkreis;80,2;3,3;29,5
06634;Schwalm-Eder-Kreis;Landkreis;54,2;1,4;25,3
06635;Waldeck-Frankenberg;Landkreis;41,5;-9,0;25,6
06636;Werra-Meißner-Kreis;Landkreis;41,8;2,6;14,9
07111;Koblenz, Stadt;krsfr. Stadt;326,3;8,8;14,8
07131;Ahrweiler;Landkreis;84,9;-7,8;37,6
07132;Altenkirchen (Westerwald);Landkreis;47,0;2,4;20,4
07133;Bad Kreuznach;Landkreis;158,3;23,7;32,6
07134;Birkenfeld;Landkreis;42,8;7,4;16,1
07135;Cochem-Zell;Landkreis;43,0;-2,3;31,9
07137;Mayen-Koblenz;Landkreis;107,8;-6,0;28,5
07138;Neuwied;Landkreis;92,1;2,7;25,6
07140;Rhein-Hunsrück-Kreis;Landkreis;60,9;1,5;26,9
07141;Rhein-Lahn-Kreis;Landkreis;69,6;-8,5;12,8
07143;Westerwaldkreis;Landkreis;78,0;9,5;30,1
07211;Trier, Stadt;krsfr. Stadt;305,1;120,1;0,0
07231;Bernkastel-Wittlich;Landkreis;66,5;8,4;31,2
07232;Eifelkreis Bitburg-Prüm;Landkreis;60,7;13,4;30,1
07233;Vulkaneifel;Landkreis;34,2;7,3;27,2
07235;Trier-Saarburg;Landkreis;118,5;12,4;36,1
07311;Frankenthal (Pfalz), Stadt;krsfr. Stadt;0,0;0,0;0,9
07312;Kaiserslautern, Stadt;krsfr. Stadt;184,8;-5,4;19,4
07313;Landau in der Pfalz, Stadt;krsfr. Stadt;234,7;29,7;18,2
07314;Ludwigshafen am Rhein, Stadt;krsfr. Stadt;391,2;79,8;13,9
07315;Mainz, Stadt;krsfr. Stadt;806,5;317,1;22,2
07316;Neustadt an der Weinstraße, Stadt;krsfr. Stadt;260,9;49,4;15,5
07317;Pirmasens, Stadt;krsfr. Stadt;75,7;2,1;17,8
07318;Speyer, Stadt;krsfr. Stadt;279,8;19,0;8,0
07319;Worms, Stadt;krsfr. Stadt;264,7;0,0;21,4
07320;Zweibrücken, Stadt;krsfr. Stadt;89,4;13,9;22,0
07331;Alzey-Worms;Landkreis;154,0;15,8;32,8
07332;Bad Dürkheim;Landkreis;254,7;50,8;22,7
07333;Donnersbergkreis;Landkreis;90,1;0,2;23,6
07334;Germersheim;Landkreis;166,1;-11,0;17,6
07335;Kaiserslautern;Landkreis;129,4;23,0;19,8
07336;Kusel;Landkreis;63,5;-1,4;20,1
07337;Südliche Weinstraße;Landkreis;177,2;37,8;24,5
07338;Rhein-Pfalz-Kreis;Landkreis;300,2;60,1;22,6
07339;Mainz-Bingen;Landkreis;246,3;25,7;26,7
