Indikator,Indicator,Langname,Longname,Berechnungsgrundlage,Calculation_basis,Anmerkungen,Notes,Quelle
Baulandpreise,Building land prices,Durchschnittliche Kaufwerte für Bauland in € je m²,Average purchase value for building land in € per m²,Kaufsumme für baureifes Land <Durchschnitt der Jahre> / Umgesetzte Fläche für baureifes Land <Durchschnitt der Jahre>,Purchase price for land ready for building <average of years> / converted area for land ready for building <average of years>,"Zweijahresdurchschnitt wegen Veröffentlichungsrestriktionen von Basisdaten der amtlichen Statistik. Der Flächenumsatz wird nur teilweise erfasst, die Preise können jedoch als repräsentativ gelten.","Two-year average due to publication restrictions on basic data for official statistics. The take-up of space is only partially recorded, but the prices can be considered representative.",Statistik der Kaufwerte für Bauland des Bundes und der Länder
Veränderung Baulandpreise,Change in building land prices,Veränderung der Kaufwerte für Bauland in € je m²,Change in the purchase value for building land in € per m²,(Kaufsumme für baureifes Land <Durchschnitt der aktuellen Jahre> / Umgesetzte Fläche für baureifes Land <Durchschnitt der aktuellen Jahre>) – (Kaufsumme für baureifes Land <Durchschnitt der Ausgangsjahre> / Umgesetzte Fläche für baureifes Land <Durchschni,(Purchase price for building-ready land <average of current years> / converted area for building-ready land <average for current years>) - (purchase price for building-ready land <average of initial years> / converted area for building-ready land <avg,"Zweijahresdurchschnitt wegen Veröffentlichungsrestriktionen von Basisdaten der amtlichen Statistik. Der Flächenumsatz wird nur teilweise erfasst, die Preise können jedoch als repräsentativ gelten.","Two-year average due to publication restrictions on basic data for official statistics. The take-up of space is only partially recorded, but the prices can be considered representative.",Statistik der Kaufwerte für Bauland des Bundes und der Länder
Baulandumsatz,Building land turnover,Durchschnittlich umgesetzte Fläche baureifen Landes je ha Siedlungsfläche,Average converted area ready for building per hectare of settlement area,Umgesetzte Fläche für baureifes Land <Summe der Jahre> / Siedlungsfläche <Zeitpunkt>,Converted area for land ready for building <sum of years> / settlement area <time>,Der Indikator ist ein Maß für die Intensität des Baulandgeschehens im Hinblick auf umgesetzte Fläche.,The indicator is a measure of the intensity of the building land activity with regard to the converted area.,Statistik der Kaufwerte für Bauland des Bundes und der Länder
Baugenehmigungen für Wohnungen,Building permits for apartments,Baugenehmigungen für neue Wohnungen je 1.000 Einwohner,"Building permits for new apartments per 1,000 residents",Baugenehmigungen für neue Wohnungen <Zeitpunkt> / E <Zeitpunkt> x 1.000,"Building permits for new apartments <time> / E <time> x 1,000","Bevölkerung 2011,2014: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. - In die Zahl der ausgewiesenen genehmigten Wohnungen gehen auch alle Baumaßnahmen an bestehenden Gebäuden ein.","Population 2011,2014: update of the 2011 census; Previous years: update of the 1987 census. - Apartments / residential buildings 2011, 2014: update of the GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, particularly because of the non-registered departures. - The number of approved apartments also includes all construction work on existing buildings.",Statistik der Baugenehmigungen des Bundes und der Länder
Baugenehmigungen für Wohnungen in Ein- und Zweifamilienhäusern,Building permits for apartments in one and two-family houses,Anteil der Baugenehmigungen für neue Wohnungen in Gebäuden mit 1 u. 2 Wohnungen an den Baugenehmigungen in %,Share of building permits for new apartments in buildings with 1 u. 2 apartments on building permits in%,Baugenehmigungen für neue Wohnungen in Wohngebäuden mit 1 und 2 Wohnungen <Zeitpunkt> / Baugenehmigungen <Zeitpunkt> x 100,Building permits for new apartments in residential buildings with 1 and 2 apartments <time> / building permits <time> x 100,"Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Hinweis auf selbst genutztes Wohneigentum. Bei den ausgewiesenen Wohnungen sind Baumaßnahmen an bestehenden Gebäuden nicht enthalten.","Apartments / residential buildings2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, particularly because of the non-registered departures. Reference to owner-occupied residential property. The listed apartments do not include construction work on existing buildings.",Statistik der Baugenehmigungen des Bundes und der Länder
Baugenehmigungen für Wohnungen in Mehrfamilienhäusern,Building permits for apartments in apartment buildings,Anteil der Baugenehmigungen für neue Wohnungen in Gebäuden mit 3 u. mehr Wohnungen an den Baugenehmigungen in %,Share of building permits for new apartments in buildings with 3 u. more apartments in the building permits in%,Baugenehmigungen für neue Wohnungen in Wohngebäuden mit 3 und mehr Wohnungen <Zeitpunkt> / Baugenehmigungen <Zeitpunkt> x 100,Building permits for new apartments in residential buildings with 3 or more apartments <time> / building permits <time> x 100,"Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. - Hinweis auf Mietwohnungsbau. Bei den ausgewiesenen Wohnungen sind Baumaßnahmen an bestehenden Gebäuden nicht enthalten.","Apartments / residential buildings2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, particularly because of the non-registered departures. - Reference to rental housing construction. The listed apartments do not include construction work on existing buildings.",Statistik der Baugenehmigungen des Bundes und der Länder
Fertiggestellte Wohnungen im Bestand,Completed apartments in stock,Fertiggestellte Wohnungen je 1.000 Wohnungen des Bestandes,"Completed apartments per 1,000 apartments in the portfolio",Fertiggestellte Wohnungen <Zeitpunkt> / Wohnungsbestand in Wohn- und Nichtwohngebäuden <Zeitpunkt> x 1.000,"Completed apartments <time> / housing stock in residential and non-residential buildings <time> x 1,000","Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Fertiggestellte Wohnungen: Neubauten + Umbauten, Modernisierungen. Hohe 'Dunkelziffer' durch nicht gemeldete Umbauten.","Apartments / residential buildings2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, particularly because of the non-registered departures. Completed apartments: new buildings + conversions, modernizations. High number of unreported cases due to unreported modifications.",Statistik der Baufertigstellungen des Bundes und der Länder
Neue Ein- und Zweifamilienhäuser,New one and two family houses,Anteil neu errichteter Ein- und Zweifamilienhäuser an den neu errichteten Häusern in %,Share of newly built single and two-family houses in the newly built houses in%,fertiggestellte Ein- und Zweifamilienhäuser <Zeitpunkt> / fertiggestellte Wohnungen in Wohngebäuden <Zeitpunkt> x 100,completed single and two-family houses <time> / completed apartments in residential buildings <time> x 100,"Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf.'Der Wohnungsbau konzentriert sich zunehmend auf die Ein- und Zweifamilienhäuser. Durch den Bezug auf 'Gebäude' wird allerdings die wohnungspolitische Bedeutung des Mehrfamilienhausbaus insbesondere in den Städten unterschätzt.","Apartments / residential buildings2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions arise, in particular because of the unregistered departures. Housing construction is increasingly concentrating on single and two-family houses. By referring to 'buildings', however, the importance of multi-family houses in terms of housing policy is underestimated, especially in cities.",Statistik der Baufertigstellungen des Bundes und der Länder
Anteil Neubauwohnungen in Ein- und Zweifamilienhäusern,Share of new apartments in single and two-family houses,Anteil neuer Wohnungen in Ein- und Zweifamilienhäusern an den neuen Wohnungen in %,Share of new apartments in one- and two-family houses in the new apartments in%,fertiggestellte Wohnungen in Ein- und Zweifamilienhäusern <Zeitpunkt> / fertiggestellte Wohnungen in Wohngebäuden <Zeitpunkt> x 100,completed apartments in single and two-family houses <time> / completed apartments in residential buildings <time> x 100,"Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf.","Apartments / residential buildings2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, particularly because of the non-registered departures.",Statistik der Baufertigstellungen des Bundes und der Länder
Neubau Wohnungen je Einwohner,New construction of apartments per inhabitant,Fertiggestellte Wohnungen in neuen Wohngebäuden je 1.000 Einwohner,"Completed apartments in new residential buildings per 1,000 inhabitants",fertiggestellte Wohnungen in Wohngebäuden  <Zeitpunkt> / E <Zeitpunkt> x 1.000,"Completed apartments in residential buildings <time> / E <time> x 1,000","Bevölkerung 2011,2014: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. - Fertiggestellte Wohnungen: Neubauten","Population 2011,2014: update of the 2011 census; Previous years: update of the 1987 census. - Apartments / residential buildings 2011, 2014: update of the GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, particularly because of the non-registered departures. - Completed apartments: new buildings",Statistik der Baufertigstellungen des Bundes und der Länder
