Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,19.1
01001,"Flensburg, Stadt",krsfr. Stadt,1996,20.7
01001,"Flensburg, Stadt",krsfr. Stadt,1997,30.6
01001,"Flensburg, Stadt",krsfr. Stadt,1998,40.4
01001,"Flensburg, Stadt",krsfr. Stadt,1999,58.5
01001,"Flensburg, Stadt",krsfr. Stadt,2000,52.2
01001,"Flensburg, Stadt",krsfr. Stadt,2001,52.8
01001,"Flensburg, Stadt",krsfr. Stadt,2002,28.4
01001,"Flensburg, Stadt",krsfr. Stadt,2003,86
01001,"Flensburg, Stadt",krsfr. Stadt,2004,83.6
01001,"Flensburg, Stadt",krsfr. Stadt,2005,50.3
01001,"Flensburg, Stadt",krsfr. Stadt,2006,52.6
01001,"Flensburg, Stadt",krsfr. Stadt,2007,33.6
01001,"Flensburg, Stadt",krsfr. Stadt,2008,60.7
01001,"Flensburg, Stadt",krsfr. Stadt,2009,64.6
01001,"Flensburg, Stadt",krsfr. Stadt,2010,56.8
01001,"Flensburg, Stadt",krsfr. Stadt,2011,60
01001,"Flensburg, Stadt",krsfr. Stadt,2012,62.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,33.3
01001,"Flensburg, Stadt",krsfr. Stadt,2014,66.1
01001,"Flensburg, Stadt",krsfr. Stadt,2015,27.9
01001,"Flensburg, Stadt",krsfr. Stadt,2016,24.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,21
01002,"Kiel, Stadt",krsfr. Stadt,1995,13.3
01002,"Kiel, Stadt",krsfr. Stadt,1996,17.6
01002,"Kiel, Stadt",krsfr. Stadt,1997,9.8
01002,"Kiel, Stadt",krsfr. Stadt,1998,12.3
01002,"Kiel, Stadt",krsfr. Stadt,1999,17.7
01002,"Kiel, Stadt",krsfr. Stadt,2000,54.8
01002,"Kiel, Stadt",krsfr. Stadt,2001,0
01002,"Kiel, Stadt",krsfr. Stadt,2002,65.8
01002,"Kiel, Stadt",krsfr. Stadt,2003,62.8
01002,"Kiel, Stadt",krsfr. Stadt,2004,69.6
01002,"Kiel, Stadt",krsfr. Stadt,2005,56.8
01002,"Kiel, Stadt",krsfr. Stadt,2006,64.3
01002,"Kiel, Stadt",krsfr. Stadt,2007,79.2
01002,"Kiel, Stadt",krsfr. Stadt,2008,58.3
01002,"Kiel, Stadt",krsfr. Stadt,2009,45.4
01002,"Kiel, Stadt",krsfr. Stadt,2010,65.2
