Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,67.9
01001,"Flensburg, Stadt",krsfr. Stadt,1996,65.2
01001,"Flensburg, Stadt",krsfr. Stadt,1997,47.3
01001,"Flensburg, Stadt",krsfr. Stadt,1998,49.3
01001,"Flensburg, Stadt",krsfr. Stadt,1999,63.5
01001,"Flensburg, Stadt",krsfr. Stadt,2000,20.4
01001,"Flensburg, Stadt",krsfr. Stadt,2001,49.6
01001,"Flensburg, Stadt",krsfr. Stadt,2002,36.5
01001,"Flensburg, Stadt",krsfr. Stadt,2003,5.1
01001,"Flensburg, Stadt",krsfr. Stadt,2004,51.5
01001,"Flensburg, Stadt",krsfr. Stadt,2005,38.1
01001,"Flensburg, Stadt",krsfr. Stadt,2006,44.3
01001,"Flensburg, Stadt",krsfr. Stadt,2007,21.7
01001,"Flensburg, Stadt",krsfr. Stadt,2008,-1
01001,"Flensburg, Stadt",krsfr. Stadt,2009,29.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,60
01001,"Flensburg, Stadt",krsfr. Stadt,2011,54.7
01001,"Flensburg, Stadt",krsfr. Stadt,2012,61.1
01001,"Flensburg, Stadt",krsfr. Stadt,2013,60.6
01001,"Flensburg, Stadt",krsfr. Stadt,2014,68.9
01001,"Flensburg, Stadt",krsfr. Stadt,2015,67.5
01001,"Flensburg, Stadt",krsfr. Stadt,2016,78.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,88.5
01002,"Kiel, Stadt",krsfr. Stadt,1995,77
01002,"Kiel, Stadt",krsfr. Stadt,1996,78.1
01002,"Kiel, Stadt",krsfr. Stadt,1997,89.7
01002,"Kiel, Stadt",krsfr. Stadt,1998,84.5
01002,"Kiel, Stadt",krsfr. Stadt,1999,66.3
01002,"Kiel, Stadt",krsfr. Stadt,2000,35.3
01002,"Kiel, Stadt",krsfr. Stadt,2001,31.6
01002,"Kiel, Stadt",krsfr. Stadt,2002,16.7
01002,"Kiel, Stadt",krsfr. Stadt,2003,30.6
01002,"Kiel, Stadt",krsfr. Stadt,2004,31.5
01002,"Kiel, Stadt",krsfr. Stadt,2005,14.7
01002,"Kiel, Stadt",krsfr. Stadt,2006,28.7
01002,"Kiel, Stadt",krsfr. Stadt,2007,36.9
01002,"Kiel, Stadt",krsfr. Stadt,2008,43.2
01002,"Kiel, Stadt",krsfr. Stadt,2009,24.8
01002,"Kiel, Stadt",krsfr. Stadt,2010,32.1
01002,"Kiel, Stadt",krsfr. Stadt,2011,47
01002,"Kiel, Stadt",krsfr. Stadt,2012,54
01002,"Kiel, Stadt",krsfr. Stadt,2013,66.1
01002,"Kiel, Stadt",krsfr. Stadt,2014,66.8
01002,"Kiel, Stadt",krsfr. Stadt,2015,60.9
01002,"Kiel, Stadt",krsfr. Stadt,2016,85.7
