Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2016,948
01002,"Kiel, Stadt",krsfr. Stadt,2016,3105
01003,"Lübeck, Stadt",krsfr. Stadt,2016,1767
01004,"Neumünster, Stadt",krsfr. Stadt,2016,1006
01051,Dithmarschen,Landkreis,2016,525
01053,Herzogtum Lauenburg,Landkreis,2016,1141
01054,Nordfriesland,Landkreis,2016,1473
01055,Ostholstein,Landkreis,2016,1330
01056,Pinneberg,Landkreis,2016,2012
01057,Plön,Landkreis,2016,896
01058,Rendsburg-Eckernförde,Landkreis,2016,955
01059,Schleswig-Flensburg,Landkreis,2016,726
01060,Segeberg,Landkreis,2016,1283
01061,Steinburg,Landkreis,2016,789
01062,Stormarn,Landkreis,2016,2014
02000,"Hamburg, Stadt",krsfr. Stadt,2016,7268
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,2332
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,991
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,2012
03151,Gifhorn,Landkreis,2016,788
03153,Goslar,Landkreis,2016,595
03154,Helmstedt,Landkreis,2016,593
03155,Northeim,Landkreis,2016,655
03157,Peine,Landkreis,2016,771
03158,Wolfenbüttel,Landkreis,2016,1188
03159,Göttingen,Landkreis,2016,677
03241,Region Hannover,Landkreis,2016,1967
03251,Diepholz,Landkreis,2016,693
03252,Hameln-Pyrmont,Landkreis,2016,586
03254,Hildesheim,Landkreis,2016,569
03255,Holzminden,Landkreis,2016,0
03256,Nienburg (Weser),Landkreis,2016,370
03257,Schaumburg,Landkreis,2016,492
03351,Celle,Landkreis,2016,469
03352,Cuxhaven,Landkreis,2016,527
03353,Harburg,Landkreis,2016,1200
03354,Lüchow-Dannenberg,Landkreis,2016,0
03355,Lüneburg,Landkreis,2016,852
03356,Osterholz,Landkreis,2016,789
03357,Rotenburg (Wümme),Landkreis,2016,454
03358,Heidekreis,Landkreis,2016,428
03359,Stade,Landkreis,2016,864
03360,Uelzen,Landkreis,2016,437
03361,Verden,Landkreis,2016,1053
03401,"Delmenhorst, Stadt",krsfr. Stadt,2016,1093
03402,"Emden, Stadt",krsfr. Stadt,2016,593
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2016,2736
03404,"Osnabrück, Stadt",krsfr. Stadt,2016,2085
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2016,0
03451,Ammerland,Landkreis,2016,1187
03452,Aurich,Landkreis,2016,705
03453,Cloppenburg,Landkreis,2016,731
03454,Emsland,Landkreis,2016,0
03455,Friesland,Landkreis,2016,689
03456,Grafschaft Bentheim,Landkreis,2016,730
03457,Leer,Landkreis,2016,611
03458,Oldenburg,Landkreis,2016,911
03459,Osnabrück,Landkreis,2016,749
03460,Vechta,Landkreis,2016,1004
03461,Wesermarsch,Landkreis,2016,598
03462,Wittmund,Landkreis,2016,507
04011,"Bremen, Stadt",krsfr. Stadt,2016,2048
04012,"Bremerhaven, Stadt",krsfr. Stadt,2016,994
05111,"Düsseldorf, Stadt",krsfr. Stadt,2016,1.4003999999999999
05112,"Duisburg, Stadt",krsfr. Stadt,2016,1512
05113,"Essen, Stadt",krsfr. Stadt,2016,2110
05114,"Krefeld, Stadt",krsfr. Stadt,2016,1878
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2016,1202
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2016,2974
05119,"Oberhausen, Stadt",krsfr. Stadt,2016,2150
05120,"Remscheid, Stadt",krsfr. Stadt,2016,1666
05122,"Solingen, Stadt",krsfr. Stadt,2016,2319
05124,"Wuppertal, Stadt",krsfr. Stadt,2016,1697
05154,Kleve,Landkreis,2016,1162
05158,Mettmann,Landkreis,2016,2902
05162,Rhein-Kreis Neuss,Landkreis,2016,2358
05166,Viersen,Landkreis,2016,1514
05170,Wesel,Landkreis,2016,1742
05314,"Bonn, Stadt",krsfr. Stadt,2016,3612
05315,"Köln, Stadt",krsfr. Stadt,2016,4643
05316,"Leverkusen, Stadt",krsfr. Stadt,2016,2577
05334,Städteregion Aachen,Landkreis,2016,1663
05358,Düren,Landkreis,2016,1198
05362,Rhein-Erft-Kreis,Landkreis,2016,2338
05366,Euskirchen,Landkreis,2016,854
05370,Heinsberg,Landkreis,2016,1192
05374,Oberbergischer Kreis,Landkreis,2016,781
05378,Rheinisch-Bergischer Kreis,Landkreis,2016,1423
05382,Rhein-Sieg-Kreis,Landkreis,2016,1855
05512,"Bottrop, Stadt",krsfr. Stadt,2016,2398
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2016,1297
05515,"Münster, Stadt",krsfr. Stadt,2016,1995
05554,Borken,Landkreis,2016,1181
05558,Coesfeld,Landkreis,2016,1438
05562,Recklinghausen,Landkreis,2016,1018
05566,Steinfurt,Landkreis,2016,963
05570,Warendorf,Landkreis,2016,1184
05711,"Bielefeld, Stadt",krsfr. Stadt,2016,1827
05754,Gütersloh,Landkreis,2016,1387
05758,Herford,Landkreis,2016,750
05762,Höxter,Landkreis,2016,488
05766,Lippe,Landkreis,2016,874
05770,Minden-Lübbecke,Landkreis,2016,705
05774,Paderborn,Landkreis,2016,1411
05911,"Bochum, Stadt",krsfr. Stadt,2016,1428
05913,"Dortmund, Stadt",krsfr. Stadt,2016,2457
05914,"Hagen, Stadt",krsfr. Stadt,2016,1803
05915,"Hamm, Stadt",krsfr. Stadt,2016,1224
05916,"Herne, Stadt",krsfr. Stadt,2016,1326
05954,Ennepe-Ruhr-Kreis,Landkreis,2016,1799
05958,Hochsauerlandkreis,Landkreis,2016,742
05962,Märkischer Kreis,Landkreis,2016,1085
05966,Olpe,Landkreis,2016,841
05970,Siegen-Wittgenstein,Landkreis,2016,931
05974,Soest,Landkreis,2016,633
05978,Unna,Landkreis,2016,1242
06411,"Darmstadt, Stadt",krsfr. Stadt,2016,8194
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2016,8081
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2016,5129
06414,"Wiesbaden, Stadt",krsfr. Stadt,2016,7434
06431,Bergstraße,Landkreis,2016,1970
06432,Darmstadt-Dieburg,Landkreis,2016,2945
06433,Groß-Gerau,Landkreis,2016,2843
06434,Hochtaunuskreis,Landkreis,2016,4749
06435,Main-Kinzig-Kreis,Landkreis,2016,1949
06436,Main-Taunus-Kreis,Landkreis,2016,4898
06437,Odenwaldkreis,Landkreis,2016,800
06438,Offenbach,Landkreis,2016,4207
06439,Rheingau-Taunus-Kreis,Landkreis,2016,2063
06440,Wetteraukreis,Landkreis,2016,2714
06531,Gießen,Landkreis,2016,1646
06532,Lahn-Dill-Kreis,Landkreis,2016,1008
06533,Limburg-Weilburg,Landkreis,2016,1092
06534,Marburg-Biedenkopf,Landkreis,2016,937
06535,Vogelsbergkreis,Landkreis,2016,423
06611,"Kassel, Stadt",krsfr. Stadt,2016,2038
06631,Fulda,Landkreis,2016,758
06632,Hersfeld-Rotenburg,Landkreis,2016,402
06633,Kassel,Landkreis,2016,802
06634,Schwalm-Eder-Kreis,Landkreis,2016,542
06635,Waldeck-Frankenberg,Landkreis,2016,415
06636,Werra-Meißner-Kreis,Landkreis,2016,418
07111,"Koblenz, Stadt",krsfr. Stadt,2016,3263
07131,Ahrweiler,Landkreis,2016,849
07132,Altenkirchen (Westerwald),Landkreis,2016,470
07133,Bad Kreuznach,Landkreis,2016,1583
07134,Birkenfeld,Landkreis,2016,428
07135,Cochem-Zell,Landkreis,2016,430
07137,Mayen-Koblenz,Landkreis,2016,1078
07138,Neuwied,Landkreis,2016,921
07140,Rhein-Hunsrück-Kreis,Landkreis,2016,609
07141,Rhein-Lahn-Kreis,Landkreis,2016,696
07143,Westerwaldkreis,Landkreis,2016,780
07211,"Trier, Stadt",krsfr. Stadt,2016,3051
07231,Bernkastel-Wittlich,Landkreis,2016,665
07232,Eifelkreis Bitburg-Prüm,Landkreis,2016,607
07233,Vulkaneifel,Landkreis,2016,342
07235,Trier-Saarburg,Landkreis,2016,1185
07311,"Frankenthal (Pfalz), Stadt",krsfr. Stadt,2016,0
07312,"Kaiserslautern, Stadt",krsfr. Stadt,2016,1848
07313,"Landau in der Pfalz, Stadt",krsfr. Stadt,2016,2347
07314,"Ludwigshafen am Rhein, Stadt",krsfr. Stadt,2016,3912
07315,"Mainz, Stadt",krsfr. Stadt,2016,8065
07316,"Neustadt an der Weinstraße, Stadt",krsfr. Stadt,2016,2609
07317,"Pirmasens, Stadt",krsfr. Stadt,2016,757
07318,"Speyer, Stadt",krsfr. Stadt,2016,2798
