Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2015,241
01002,"Kiel, Stadt",krsfr. Stadt,2015,32
01003,"Lübeck, Stadt",krsfr. Stadt,2015,186
01004,"Neumünster, Stadt",krsfr. Stadt,2015,125
01051,Dithmarschen,Landkreis,2015,93
01053,Herzogtum Lauenburg,Landkreis,2015,227
01054,Nordfriesland,Landkreis,2015,120
01055,Ostholstein,Landkreis,2015,122
01056,Pinneberg,Landkreis,2015,99
01057,Plön,Landkreis,2015,71
01058,Rendsburg-Eckernförde,Landkreis,2015,110
01059,Schleswig-Flensburg,Landkreis,2015,131
01060,Segeberg,Landkreis,2015,149
01061,Steinburg,Landkreis,2015,153
01062,Stormarn,Landkreis,2015,241
02000,"Hamburg, Stadt",krsfr. Stadt,2015,336
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,178
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,155
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,412
03151,Gifhorn,Landkreis,2015,518
03153,Goslar,Landkreis,2015,160
03154,Helmstedt,Landkreis,2015,378
03155,Northeim,Landkreis,2015,191
03157,Peine,Landkreis,2015,602
03158,Wolfenbüttel,Landkreis,2015,298
03159,Göttingen,Landkreis,2015,250
03241,Region Hannover,Landkreis,2015,248
03251,Diepholz,Landkreis,2015,322
03252,Hameln-Pyrmont,Landkreis,2015,170
03254,Hildesheim,Landkreis,2015,200
03255,Holzminden,Landkreis,2015,0
03256,Nienburg (Weser),Landkreis,2015,231
03257,Schaumburg,Landkreis,2015,0
03351,Celle,Landkreis,2015,305
03352,Cuxhaven,Landkreis,2015,405
03353,Harburg,Landkreis,2015,572
03354,Lüchow-Dannenberg,Landkreis,2015,0
03355,Lüneburg,Landkreis,2015,499
03356,Osterholz,Landkreis,2015,390
03357,Rotenburg (Wümme),Landkreis,2015,391
03358,Heidekreis,Landkreis,2015,423
03359,Stade,Landkreis,2015,434
03360,Uelzen,Landkreis,2015,235
03361,Verden,Landkreis,2015,398
03401,"Delmenhorst, Stadt",krsfr. Stadt,2015,293
03402,"Emden, Stadt",krsfr. Stadt,2015,361
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2015,579
03404,"Osnabrück, Stadt",krsfr. Stadt,2015,158
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2015,0
03451,Ammerland,Landkreis,2015,238
03452,Aurich,Landkreis,2015,375
03453,Cloppenburg,Landkreis,2015,384
