Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,4
01001,"Flensburg, Stadt",krsfr. Stadt,1996,2.7
01001,"Flensburg, Stadt",krsfr. Stadt,1997,4.5
01001,"Flensburg, Stadt",krsfr. Stadt,1998,3.8
01001,"Flensburg, Stadt",krsfr. Stadt,1999,4.5
01001,"Flensburg, Stadt",krsfr. Stadt,2000,3.1
01001,"Flensburg, Stadt",krsfr. Stadt,2001,3.6
01001,"Flensburg, Stadt",krsfr. Stadt,2002,3.2
01001,"Flensburg, Stadt",krsfr. Stadt,2003,1.6
01001,"Flensburg, Stadt",krsfr. Stadt,2004,1.6
01001,"Flensburg, Stadt",krsfr. Stadt,2005,1.8
01001,"Flensburg, Stadt",krsfr. Stadt,2006,3.1
01001,"Flensburg, Stadt",krsfr. Stadt,2007,2.5
01001,"Flensburg, Stadt",krsfr. Stadt,2008,1.1
01001,"Flensburg, Stadt",krsfr. Stadt,2009,1.5
01001,"Flensburg, Stadt",krsfr. Stadt,2010,1.7
01001,"Flensburg, Stadt",krsfr. Stadt,2011,2
01001,"Flensburg, Stadt",krsfr. Stadt,2012,2.6
01001,"Flensburg, Stadt",krsfr. Stadt,2013,4.1
01001,"Flensburg, Stadt",krsfr. Stadt,2014,1.3
01001,"Flensburg, Stadt",krsfr. Stadt,2015,4
01001,"Flensburg, Stadt",krsfr. Stadt,2016,3.5
01001,"Flensburg, Stadt",krsfr. Stadt,2017,2.5
01002,"Kiel, Stadt",krsfr. Stadt,1995,4.6
01002,"Kiel, Stadt",krsfr. Stadt,1996,2.6
01002,"Kiel, Stadt",krsfr. Stadt,1997,4.5
01002,"Kiel, Stadt",krsfr. Stadt,1998,5.1
01002,"Kiel, Stadt",krsfr. Stadt,1999,2.4
01002,"Kiel, Stadt",krsfr. Stadt,2000,0.8
01002,"Kiel, Stadt",krsfr. Stadt,2001,1.1
01002,"Kiel, Stadt",krsfr. Stadt,2002,1.8
01002,"Kiel, Stadt",krsfr. Stadt,2003,1.3
01002,"Kiel, Stadt",krsfr. Stadt,2004,1
01002,"Kiel, Stadt",krsfr. Stadt,2005,1.2
01002,"Kiel, Stadt",krsfr. Stadt,2006,1.2
01002,"Kiel, Stadt",krsfr. Stadt,2007,1.1
01002,"Kiel, Stadt",krsfr. Stadt,2008,0.9
01002,"Kiel, Stadt",krsfr. Stadt,2009,1.2
01002,"Kiel, Stadt",krsfr. Stadt,2010,0.6
01002,"Kiel, Stadt",krsfr. Stadt,2011,1.2
01002,"Kiel, Stadt",krsfr. Stadt,2012,1.1
01002,"Kiel, Stadt",krsfr. Stadt,2013,0.7
01002,"Kiel, Stadt",krsfr. Stadt,2014,1
01002,"Kiel, Stadt",krsfr. Stadt,2015,1.8
01002,"Kiel, Stadt",krsfr. Stadt,2016,2
01002,"Kiel, Stadt",krsfr. Stadt,2017,1.3
01003,"Lübeck, Stadt",krsfr. Stadt,1995,5.8
01003,"Lübeck, Stadt",krsfr. Stadt,1996,4.8
01003,"Lübeck, Stadt",krsfr. Stadt,1997,5.2
01003,"Lübeck, Stadt",krsfr. Stadt,1998,6.3
01003,"Lübeck, Stadt",krsfr. Stadt,1999,2.8
01003,"Lübeck, Stadt",krsfr. Stadt,2000,1.2
01003,"Lübeck, Stadt",krsfr. Stadt,2001,1.5
