Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,81.6
01001,"Flensburg, Stadt",krsfr. Stadt,1996,83.3
01001,"Flensburg, Stadt",krsfr. Stadt,1997,82.7
01001,"Flensburg, Stadt",krsfr. Stadt,1998,91.3
01001,"Flensburg, Stadt",krsfr. Stadt,1999,94.8
01001,"Flensburg, Stadt",krsfr. Stadt,2000,32.9
01001,"Flensburg, Stadt",krsfr. Stadt,2001,27.7
01001,"Flensburg, Stadt",krsfr. Stadt,2002,93.4
01001,"Flensburg, Stadt",krsfr. Stadt,2003,97.5
01001,"Flensburg, Stadt",krsfr. Stadt,2004,98.4
01001,"Flensburg, Stadt",krsfr. Stadt,2005,96.1
01001,"Flensburg, Stadt",krsfr. Stadt,2006,91.8
01001,"Flensburg, Stadt",krsfr. Stadt,2007,97.2
01001,"Flensburg, Stadt",krsfr. Stadt,2008,98.6
01001,"Flensburg, Stadt",krsfr. Stadt,2009,99
01001,"Flensburg, Stadt",krsfr. Stadt,2010,96.3
01001,"Flensburg, Stadt",krsfr. Stadt,2011,93.6
01001,"Flensburg, Stadt",krsfr. Stadt,2012,93.4
01001,"Flensburg, Stadt",krsfr. Stadt,2013,84.5
01001,"Flensburg, Stadt",krsfr. Stadt,2014,94.3
01001,"Flensburg, Stadt",krsfr. Stadt,2015,87.6
01001,"Flensburg, Stadt",krsfr. Stadt,2016,82.2
01001,"Flensburg, Stadt",krsfr. Stadt,2017,73.8
01002,"Kiel, Stadt",krsfr. Stadt,1995,69.6
01002,"Kiel, Stadt",krsfr. Stadt,1996,68.9
01002,"Kiel, Stadt",krsfr. Stadt,1997,61.8
01002,"Kiel, Stadt",krsfr. Stadt,1998,57.2
01002,"Kiel, Stadt",krsfr. Stadt,1999,67.6
01002,"Kiel, Stadt",krsfr. Stadt,2000,61.8
01002,"Kiel, Stadt",krsfr. Stadt,2001,49.1
01002,"Kiel, Stadt",krsfr. Stadt,2002,96.6
01002,"Kiel, Stadt",krsfr. Stadt,2003,94.9
01002,"Kiel, Stadt",krsfr. Stadt,2004,97.8
01002,"Kiel, Stadt",krsfr. Stadt,2005,94.2
01002,"Kiel, Stadt",krsfr. Stadt,2006,95.5
01002,"Kiel, Stadt",krsfr. Stadt,2007,96
01002,"Kiel, Stadt",krsfr. Stadt,2008,96.3
01002,"Kiel, Stadt",krsfr. Stadt,2009,91.8
01002,"Kiel, Stadt",krsfr. Stadt,2010,94.4
01002,"Kiel, Stadt",krsfr. Stadt,2011,97
01002,"Kiel, Stadt",krsfr. Stadt,2012,95
01002,"Kiel, Stadt",krsfr. Stadt,2013,91.3
01002,"Kiel, Stadt",krsfr. Stadt,2014,82.9
01002,"Kiel, Stadt",krsfr. Stadt,2015,92.8
01002,"Kiel, Stadt",krsfr. Stadt,2016,90.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,77.8
01003,"Lübeck, Stadt",krsfr. Stadt,1995,74.2
01003,"Lübeck, Stadt",krsfr. Stadt,1996,88.2
01003,"Lübeck, Stadt",krsfr. Stadt,1997,81.8
01003,"Lübeck, Stadt",krsfr. Stadt,1998,81.5
01003,"Lübeck, Stadt",krsfr. Stadt,1999,96.7
01003,"Lübeck, Stadt",krsfr. Stadt,2000,96.5
01003,"Lübeck, Stadt",krsfr. Stadt,2001,79.7
01003,"Lübeck, Stadt",krsfr. Stadt,2002,90.1
01003,"Lübeck, Stadt",krsfr. Stadt,2003,90.8
01003,"Lübeck, Stadt",krsfr. Stadt,2004,92.3
01003,"Lübeck, Stadt",krsfr. Stadt,2005,94.6
01003,"Lübeck, Stadt",krsfr. Stadt,2006,96.2
01003,"Lübeck, Stadt",krsfr. Stadt,2007,94.9
01003,"Lübeck, Stadt",krsfr. Stadt,2008,95
01003,"Lübeck, Stadt",krsfr. Stadt,2009,83.2
01003,"Lübeck, Stadt",krsfr. Stadt,2010,90.8
01003,"Lübeck, Stadt",krsfr. Stadt,2011,85.3
01003,"Lübeck, Stadt",krsfr. Stadt,2012,85.7
01003,"Lübeck, Stadt",krsfr. Stadt,2013,77.1
01003,"Lübeck, Stadt",krsfr. Stadt,2014,91.9
01003,"Lübeck, Stadt",krsfr. Stadt,2015,86.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,78.1
01003,"Lübeck, Stadt",krsfr. Stadt,2017,84.6
01004,"Neumünster, Stadt",krsfr. Stadt,1995,81.4
01004,"Neumünster, Stadt",krsfr. Stadt,1996,70.8
01004,"Neumünster, Stadt",krsfr. Stadt,1997,74.6
01004,"Neumünster, Stadt",krsfr. Stadt,1998,89.9
01004,"Neumünster, Stadt",krsfr. Stadt,1999,93.8
01004,"Neumünster, Stadt",krsfr. Stadt,2000,35
01004,"Neumünster, Stadt",krsfr. Stadt,2001,28.2
01004,"Neumünster, Stadt",krsfr. Stadt,2002,97.4
01004,"Neumünster, Stadt",krsfr. Stadt,2003,97.4
01004,"Neumünster, Stadt",krsfr. Stadt,2004,97.8
01004,"Neumünster, Stadt",krsfr. Stadt,2005,96.8
01004,"Neumünster, Stadt",krsfr. Stadt,2006,97.7
01004,"Neumünster, Stadt",krsfr. Stadt,2007,95.2
01004,"Neumünster, Stadt",krsfr. Stadt,2008,87.8
01004,"Neumünster, Stadt",krsfr. Stadt,2009,83.3
01004,"Neumünster, Stadt",krsfr. Stadt,2010,86.7
01004,"Neumünster, Stadt",krsfr. Stadt,2011,84.1
01004,"Neumünster, Stadt",krsfr. Stadt,2012,92.3
01004,"Neumünster, Stadt",krsfr. Stadt,2013,94.2
01004,"Neumünster, Stadt",krsfr. Stadt,2014,85.7
01004,"Neumünster, Stadt",krsfr. Stadt,2015,90.9
01004,"Neumünster, Stadt",krsfr. Stadt,2016,85.2
01004,"Neumünster, Stadt",krsfr. Stadt,2017,83.8
01051,Dithmarschen,Landkreis,1995,87
01051,Dithmarschen,Landkreis,1996,93.4
01051,Dithmarschen,Landkreis,1997,89.5
01051,Dithmarschen,Landkreis,1998,94.6
01051,Dithmarschen,Landkreis,1999,94.8
01051,Dithmarschen,Landkreis,2000,30.2
01051,Dithmarschen,Landkreis,2001,50
01051,Dithmarschen,Landkreis,2002,96.3
01051,Dithmarschen,Landkreis,2003,98.5
01051,Dithmarschen,Landkreis,2004,97.4
01051,Dithmarschen,Landkreis,2005,97.7
01051,Dithmarschen,Landkreis,2006,95.6
01051,Dithmarschen,Landkreis,2007,97.1
01051,Dithmarschen,Landkreis,2008,93.3
01051,Dithmarschen,Landkreis,2009,93.7
01051,Dithmarschen,Landkreis,2010,93.9
01051,Dithmarschen,Landkreis,2011,90.7
01051,Dithmarschen,Landkreis,2012,96.5
01051,Dithmarschen,Landkreis,2013,95.6
01051,Dithmarschen,Landkreis,2014,93.9
01051,Dithmarschen,Landkreis,2015,93.3
01051,Dithmarschen,Landkreis,2016,87.7
01051,Dithmarschen,Landkreis,2017,93.8
01053,Herzogtum Lauenburg,Landkreis,1995,88.8
01053,Herzogtum Lauenburg,Landkreis,1996,86.6
01053,Herzogtum Lauenburg,Landkreis,1997,89.1
01053,Herzogtum Lauenburg,Landkreis,1998,88.4
01053,Herzogtum Lauenburg,Landkreis,1999,93.3
01053,Herzogtum Lauenburg,Landkreis,2000,72.4
01053,Herzogtum Lauenburg,Landkreis,2001,100
01053,Herzogtum Lauenburg,Landkreis,2002,92.9
01053,Herzogtum Lauenburg,Landkreis,2003,94.9
01053,Herzogtum Lauenburg,Landkreis,2004,95.5
01053,Herzogtum Lauenburg,Landkreis,2005,96.3
01053,Herzogtum Lauenburg,Landkreis,2006,95
01053,Herzogtum Lauenburg,Landkreis,2007,96.2
01053,Herzogtum Lauenburg,Landkreis,2008,95.9
01053,Herzogtum Lauenburg,Landkreis,2009,93.8
01053,Herzogtum Lauenburg,Landkreis,2010,91.2
01053,Herzogtum Lauenburg,Landkreis,2011,96.6
01053,Herzogtum Lauenburg,Landkreis,2012,91.8
01053,Herzogtum Lauenburg,Landkreis,2013,94.7
01053,Herzogtum Lauenburg,Landkreis,2014,97.2
01053,Herzogtum Lauenburg,Landkreis,2015,94.9
01053,Herzogtum Lauenburg,Landkreis,2016,93.4
01053,Herzogtum Lauenburg,Landkreis,2017,93.1
01054,Nordfriesland,Landkreis,1995,84.1
01054,Nordfriesland,Landkreis,1996,87.7
01054,Nordfriesland,Landkreis,1997,91.2
01054,Nordfriesland,Landkreis,1998,93.6
01054,Nordfriesland,Landkreis,1999,93
01054,Nordfriesland,Landkreis,2000,100
01054,Nordfriesland,Landkreis,2001,100
01054,Nordfriesland,Landkreis,2002,91.7
01054,Nordfriesland,Landkreis,2003,91
01054,Nordfriesland,Landkreis,2004,94.3
01054,Nordfriesland,Landkreis,2005,91.2
01054,Nordfriesland,Landkreis,2006,91.5
01054,Nordfriesland,Landkreis,2007,90.1
01054,Nordfriesland,Landkreis,2008,88.8
01054,Nordfriesland,Landkreis,2009,86
01054,Nordfriesland,Landkreis,2010,93.9
01054,Nordfriesland,Landkreis,2011,90.5
01054,Nordfriesland,Landkreis,2012,89.8
01054,Nordfriesland,Landkreis,2013,86.5
01054,Nordfriesland,Landkreis,2014,85.3
01054,Nordfriesland,Landkreis,2015,87
01054,Nordfriesland,Landkreis,2016,88.8
01054,Nordfriesland,Landkreis,2017,87.6
01055,Ostholstein,Landkreis,1995,84.9
01055,Ostholstein,Landkreis,1996,89.8
01055,Ostholstein,Landkreis,1997,88.5
01055,Ostholstein,Landkreis,1998,87.7
01055,Ostholstein,Landkreis,1999,91.2
01055,Ostholstein,Landkreis,2000,49
01055,Ostholstein,Landkreis,2001,85.6
01055,Ostholstein,Landkreis,2002,94.7
01055,Ostholstein,Landkreis,2003,94.8
01055,Ostholstein,Landkreis,2004,90.9
01055,Ostholstein,Landkreis,2005,93.8
01055,Ostholstein,Landkreis,2006,92.8
01055,Ostholstein,Landkreis,2007,93.4
01055,Ostholstein,Landkreis,2008,96.4
01055,Ostholstein,Landkreis,2009,92.3
01055,Ostholstein,Landkreis,2010,91.2
01055,Ostholstein,Landkreis,2011,90.2
01055,Ostholstein,Landkreis,2012,91.9
01055,Ostholstein,Landkreis,2013,90.3
01055,Ostholstein,Landkreis,2014,83
01055,Ostholstein,Landkreis,2015,84.3
01055,Ostholstein,Landkreis,2016,86.9
01055,Ostholstein,Landkreis,2017,84.7
01056,Pinneberg,Landkreis,1995,88.5
01056,Pinneberg,Landkreis,1996,85.7
01056,Pinneberg,Landkreis,1997,89.4
01056,Pinneberg,Landkreis,1998,90.4
01056,Pinneberg,Landkreis,1999,94.4
01056,Pinneberg,Landkreis,2000,58.1
01056,Pinneberg,Landkreis,2001,90
01056,Pinneberg,Landkreis,2002,92.9
01056,Pinneberg,Landkreis,2003,96.9
01056,Pinneberg,Landkreis,2004,96.2
01056,Pinneberg,Landkreis,2005,97
01056,Pinneberg,Landkreis,2006,96.9
01056,Pinneberg,Landkreis,2007,95.7
01056,Pinneberg,Landkreis,2008,97
01056,Pinneberg,Landkreis,2009,93.3
01056,Pinneberg,Landkreis,2010,94
01056,Pinneberg,Landkreis,2011,91.5
01056,Pinneberg,Landkreis,2012,93.5
01056,Pinneberg,Landkreis,2013,92.7
01056,Pinneberg,Landkreis,2014,92
01056,Pinneberg,Landkreis,2015,90.2
01056,Pinneberg,Landkreis,2016,90.9
01056,Pinneberg,Landkreis,2017,86.6
01057,Plön,Landkreis,1995,91.3
01057,Plön,Landkreis,1996,85.7
01057,Plön,Landkreis,1997,90.8
01057,Plön,Landkreis,1998,93.1
01057,Plön,Landkreis,1999,93.9
01057,Plön,Landkreis,2000,39.3
01057,Plön,Landkreis,2001,73
01057,Plön,Landkreis,2002,97.2
01057,Plön,Landkreis,2003,93.7
01057,Plön,Landkreis,2004,96.3
01057,Plön,Landkreis,2005,97.9
01057,Plön,Landkreis,2006,96.8
01057,Plön,Landkreis,2007,98.4
01057,Plön,Landkreis,2008,91.3
01057,Plön,Landkreis,2009,97.6
01057,Plön,Landkreis,2010,97.8
01057,Plön,Landkreis,2011,91.6
01057,Plön,Landkreis,2012,88.5
01057,Plön,Landkreis,2013,96.8
01057,Plön,Landkreis,2014,91.9
01057,Plön,Landkreis,2015,92.8
01057,Plön,Landkreis,2016,92.6
01057,Plön,Landkreis,2017,92.3
01058,Rendsburg-Eckernförde,Landkreis,1995,90.4
01058,Rendsburg-Eckernförde,Landkreis,1996,89.1
01058,Rendsburg-Eckernförde,Landkreis,1997,92.7
01058,Rendsburg-Eckernförde,Landkreis,1998,95.5
01058,Rendsburg-Eckernförde,Landkreis,1999,96.1
01058,Rendsburg-Eckernförde,Landkreis,2000,37.7
01058,Rendsburg-Eckernförde,Landkreis,2001,49.9
01058,Rendsburg-Eckernförde,Landkreis,2002,98.4
01058,Rendsburg-Eckernförde,Landkreis,2003,97.2
01058,Rendsburg-Eckernförde,Landkreis,2004,98.5
01058,Rendsburg-Eckernförde,Landkreis,2005,98.9
01058,Rendsburg-Eckernförde,Landkreis,2006,98.7
01058,Rendsburg-Eckernförde,Landkreis,2007,96.1
