Indikator,Indicator,Langname,Longname,Berechnungsgrundlage,Calculation_basis,Anmerkungen,Notes,Quelle
Ein- und Zweifamilienhäuser,One and two family houses,Anteil der Wohngebäude mit 1 und 2 Wohnungen an den Wohngebäuden in %,Share of residential buildings with 1 and 2 apartments in the residential buildings in%,Wohngebäude mit 1 und 2 Wohnungen <Zeitpunkt> / Wohngebäude <Zeitpunkt> x 100,Residential building with 1 and 2 apartments <time> / residential building <time> x 100,"Ersatzindikator für Wohneigentum. Wohnungen/Wohngebäude 2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Zudem gehen nicht gemeldete Umnutzungen/Zusammenlegungen nicht in die Statistik ein.","Substitute indicator for home ownership. Apartments / residential buildings 2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. In addition, unreported conversions / amalgamations are not included in the statistics.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Mehrfamilienhäuser,Apartment buildings,Anteil der Wohngebäude mit 3 und mehr Wohnungen an den Wohngebäuden in %,Share of residential buildings with 3 or more apartments in residential buildings in%,Wohngebäude mit 3 und mehr Wohnungen <Zeitpunkt> / Wohngebäude <Zeitpunkt> x 100,Residential building with 3 or more apartments <time> / residential building <time> x 100,"Indikator für Mietwohnungsbestand. Wohnungen/Wohngebäude 2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Zudem gehen nicht gemeldete Umnutzungen/Zusammenlegungen nicht in die Statistik ein.","Indicator for rental housing stock. Apartments / residential buildings 2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. In addition, unreported conversions / amalgamations are not included in the statistics.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Entwicklung Wohnungen,Development apartments,Entwicklung Zahl der Wohnungen in %,Development of the number of apartments in%,(Wohnungen in Wohn- und Nichtwohngebäuden <aktueller Zeitpunkt> - Wohnungen in Wohn- und Nichtwohngebäuden <Ausgangszeitpunkt>) * 100 / Wohnungen in Wohn- und Nichtwohngebäuden <Ausgangszeitpunkt>,(Apartments in residential and non-residential buildings <current time> - apartments in residential and non-residential buildings <starting time>) * 100 / apartments in residential and non-residential buildings <starting time>,Die Fortschreibung des Gebäude- und Wohnungsbestandes setzt jeweils auf den Ergebnissen der Gebäude- und Wohnungszählung auf; hier GWZ 1987. Mit zunehmendem zeitlichem Abstand treten Verzerrungen insbesondere wegen nicht registrierter Abgänge auf. Die Abgänge werden systematisch untererfasst. Zudem gehen nicht gemeldete Umnutzungen/Zusammenlegungen nicht in die Statistik ein.,"The update of the building and apartment stock is based on the results of the building and apartment census; here GWZ 1987. With increasing time lag, distortions occur, in particular due to unregistered departures. The outflows are systematically under-recorded. In addition, unreported conversions / amalgamations are not included in the statistics.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Anteil 1- und 2-Raum-Wohnungen,Share of 1- and 2-room apartments,Anteil der Wohnungen mit 1 und 2 Räumen an den Wohnungen in %,Share of apartments with 1 and 2 rooms among the apartments in%,Wohnungen mit 1 und 2 Räumen in Wohn- und Nichtwohngebäuden <Zeitpunkt> / Wohnungen in Wohn- und Nichtwohngebäuden <Zeitpunkt> x 100,Apartments with 1 and 2 rooms in residential and non-residential buildings <time> / apartments in residential and non-residential buildings <time> x 100,"Wohnungspotenzial insbesondere für Singlehaushalte.Wohnungen/Wohngebäude 2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Zudem gehen nicht gemeldete Umnutzungen/Zusammenlegungen nicht in die Statistik ein.","Housing potential especially for single households. Apartments / residential buildings 2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. In addition, unreported conversions / amalgamations are not included in the statistics.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Entwicklung 1- und 2-Raum-Wohnungen,Development of 1- and 2-room apartments,Entwicklung Zahl der Wohnungen mit 1 und 2 Räumen in %,Development of the number of apartments with 1 and 2 rooms in%,(Wohnungen mit 1 und 2 Räumen<aktueller Zeitpunkt> - Wohnungen mit 1 und 2 Räumen<Ausgangszeitpunkt>) * 100 / Wohnungen mit 1 und 2 Räumen<Ausgangszeitpunkt>,(Apartments with 1 and 2 rooms <current time> - apartments with 1 and 2 rooms <departure time>) * 100 / apartments with 1 and 2 rooms <departure time>,"Wohnungspotenzial insbesondere für Singlehaushalte.Wohnungen/Wohngebäude 2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Zudem gehen nicht gemeldete Umnutzungen/Zusammenlegungen nicht in die Statistik ein.","Housing potential especially for single households. Apartments / residential buildings 2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. In addition, unreported conversions / amalgamations are not included in the statistics.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Anteil 5- und mehr Raum-Wohnungen,Share of 5 and more room apartments,Anteil der Wohnungen mit 5 und mehr Räumen in %,Share of apartments with 5 or more rooms in%,Wohnungen in Wohn- und Nichtwohngebäuden mit 5 und mehr Räumen <Zeitpunkt> / Wohnungen in Wohn- und Nichtwohngebäuden <Zeitpunkt> x 100,Apartments in residential and non-residential buildings with 5 or more rooms <time> / apartments in residential and non-residential buildings <time> x 100,"Wohnungspotenzial insbesondere für Familien (große Haushalte). Wohnungen/Wohngebäude 2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Zudem gehen nicht gemeldete Umnutzungen/Zusammenlegungen nicht in die Statistik ein.","Housing potential especially for families (large households). Apartments / residential buildings 2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. In addition, unreported conversions / amalgamations are not included in the statistics.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Entwicklung 5- und mehr Raum-Wohnungen,Development of 5 and more room apartments,Entwicklung Zahl der Wohnungen mit 5 und mehr Räumen in %,Development of the number of apartments with 5 or more rooms in%,(Wohnungen mit 5 u.m. Räumen in Wohn- und Nichtwohngebäuden <aktueller Zeitpunkt> - Wohnungen mit 5 u.m. Räumen in Wohn- und Nichtwohngebäuden <Ausgangszeitpunkt>) * 100 / Wohnungen mit 5 u.m. Räumen in Wohn- und Nichtwohngebäuden<Ausgangszeitpunkt>,(Apartments with 5 and more rooms in residential and non-residential buildings <current time> - Apartments with 5 and more rooms in residential and non-residential buildings <starting time>) * 100 / Apartments with 5 and more rooms Rooms in residential and non-residential buildings <starting time>,"Wohnungspotenzial insbesondere für Familien (große Haushalte). Wohnungen/Wohngebäude 2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. Zudem gehen nicht gemeldete Umnutzungen/Zusammenlegungen nicht in die Statistik ein.","Housing potential especially for families (large households). Apartments / residential buildings 2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. In addition, unreported conversions / amalgamations are not included in the statistics.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Wohnfläche,Living space,Wohnfläche je Einwohner in m²,Living space per inhabitant in m²,Wohnfläche in Wohn- und Nichtwohngebäuden <Zeitpunkt> / E <Zeitpunkt>,Living space in residential and non-residential buildings <time> / E <time>,"Bevölkerung 2011,2014: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. - Der Indikator gibt an, wie viel Fläche je Person im Durchschnitt zur Verfügung steht. Leerstehende Wohnungen sowie Zweitwohnungen werden mitgezählt. Der Flächenbedarf hängt jedoch von der Haushaltsgröße ab. Da die Haushaltsgrößenstruktur nicht berücksichtigt wird, ist der Aussagegehalt eingeschränkt.","Population 2011,2014: update of the 2011 census; Previous years: update of the 1987 census. - Apartments / residential buildings 2011, 2014: update of the GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. - The indicator shows how much space is available per person on average. Vacant apartments and second homes are counted. However, the space required depends on the size of the household. Since the household size structure is not taken into account, the informative value is limited.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Veränderung Wohnfläche,Change of living space,Veränderung der Wohnfläche je Einwohner in m²,Change in living space per inhabitant in m²,(Wohnfläche in Wohn- und Nichtwohngebäuden / E  <aktueller Zeitpunkt>) - (Wohnfläche in Wohn- und Nichtwohngebäuden / E <Ausgangszeitpunkt>),(Living space in residential and non-residential buildings / E <current time>) - (Living space in residential and non-residential buildings / E <starting time>),"Bevölkerung 2011,2014: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. - Der Indikator gibt an, wie viel Fläche je Person im Durchschnitt zur Verfügung steht. Leerstehende Wohnungen sowie Zweitwohnungen werden mitgezählt. Der Flächenbedarf hängt jedoch von der Haushaltsgröße ab. Da die Haushaltsgrößenstruktur nicht berücksichtigt wird, ist der Aussagegehalt eingeschränkt.","Population 2011,2014: update of the 2011 census; Previous years: update of the 1987 census. - Apartments / residential buildings 2011, 2014: update of the GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. - The indicator shows how much space is available per person on average. Vacant apartments and second homes are counted. However, the space required depends on the size of the household. Since the household size structure is not taken into account, the informative value is limited.",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
Anteil Wohnungen in Ein- und Zweifamilienhäusern,Share of apartments in one- and two-family houses,Anteil Wohnungen in Ein- und Zweifamilienhäusern an allen Wohnungen in %,Share of apartments in single and two-family houses in all apartments in%,Wohnungen in Ein- und Zweifamilienhäusern <Zeitpunkt> / Wohnungen insgesamt <Zeitpunkt> x 100,Apartments in single and two-family houses <time> / total apartments <time> x 100,"Wohnungen/Wohngebäude2011,2014: Fortschreibung GWZ 2011; Vorjahre: Fortschreibung GWZ 1987. Mit zunehmendem zeitlichem Abstand seit der GWZ 1987 treten Verzerrungen insbesondere wegen der nicht registrierten Abgänge auf. - Wohnungspotenzial in Ein- und Zweifamilienhäusern","Apartments / residential buildings2011,2014: Update GWZ 2011; Previous years: update of the GWZ 1987. With increasing time lag since the GWZ 1987, distortions occur, in particular because of the non-registered departures. - Housing potential in single and two-family houses",Fortschreibung des Wohngebäude- und Wohnungsbestandes des Bundes und der Länder
