Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,29
01001,"Flensburg, Stadt",krsfr. Stadt,1996,29
01001,"Flensburg, Stadt",krsfr. Stadt,1997,29.1
01001,"Flensburg, Stadt",krsfr. Stadt,1998,29.4
01001,"Flensburg, Stadt",krsfr. Stadt,1999,29.8
01001,"Flensburg, Stadt",krsfr. Stadt,2000,30
01001,"Flensburg, Stadt",krsfr. Stadt,2001,30.3
01001,"Flensburg, Stadt",krsfr. Stadt,2002,30.4
01001,"Flensburg, Stadt",krsfr. Stadt,2003,30.6
01001,"Flensburg, Stadt",krsfr. Stadt,2004,30.8
01001,"Flensburg, Stadt",krsfr. Stadt,2005,31
01001,"Flensburg, Stadt",krsfr. Stadt,2006,31.2
01001,"Flensburg, Stadt",krsfr. Stadt,2007,31.2
01001,"Flensburg, Stadt",krsfr. Stadt,2008,31.3
01001,"Flensburg, Stadt",krsfr. Stadt,2009,31.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,31.4
01001,"Flensburg, Stadt",krsfr. Stadt,2011,27.5
01001,"Flensburg, Stadt",krsfr. Stadt,2012,27.7
01001,"Flensburg, Stadt",krsfr. Stadt,2013,27.7
01001,"Flensburg, Stadt",krsfr. Stadt,2014,27.8
01001,"Flensburg, Stadt",krsfr. Stadt,2015,27.8
01001,"Flensburg, Stadt",krsfr. Stadt,2016,27.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,27.8
01002,"Kiel, Stadt",krsfr. Stadt,1995,24
01002,"Kiel, Stadt",krsfr. Stadt,1996,24
01002,"Kiel, Stadt",krsfr. Stadt,1997,23.9
01002,"Kiel, Stadt",krsfr. Stadt,1998,24
01002,"Kiel, Stadt",krsfr. Stadt,1999,24
01002,"Kiel, Stadt",krsfr. Stadt,2000,24
01002,"Kiel, Stadt",krsfr. Stadt,2001,24.1
01002,"Kiel, Stadt",krsfr. Stadt,2002,24.3
01002,"Kiel, Stadt",krsfr. Stadt,2003,24.4
01002,"Kiel, Stadt",krsfr. Stadt,2004,24.6
01002,"Kiel, Stadt",krsfr. Stadt,2005,24.7
01002,"Kiel, Stadt",krsfr. Stadt,2006,24.7
01002,"Kiel, Stadt",krsfr. Stadt,2007,24.9
01002,"Kiel, Stadt",krsfr. Stadt,2008,24.9
01002,"Kiel, Stadt",krsfr. Stadt,2009,25
01002,"Kiel, Stadt",krsfr. Stadt,2010,25
01002,"Kiel, Stadt",krsfr. Stadt,2011,24.4
01002,"Kiel, Stadt",krsfr. Stadt,2012,24.4
01002,"Kiel, Stadt",krsfr. Stadt,2013,24.5
01002,"Kiel, Stadt",krsfr. Stadt,2014,24.5
01002,"Kiel, Stadt",krsfr. Stadt,2015,24.6
01002,"Kiel, Stadt",krsfr. Stadt,2016,24.6
01002,"Kiel, Stadt",krsfr. Stadt,2017,24.6
01003,"Lübeck, Stadt",krsfr. Stadt,1995,27.8
