Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,65.7
01001,"Flensburg, Stadt",krsfr. Stadt,1996,65.8
01001,"Flensburg, Stadt",krsfr. Stadt,1997,65.9
01001,"Flensburg, Stadt",krsfr. Stadt,1998,66.2
01001,"Flensburg, Stadt",krsfr. Stadt,1999,66.7
01001,"Flensburg, Stadt",krsfr. Stadt,2000,67
01001,"Flensburg, Stadt",krsfr. Stadt,2001,67.3
01001,"Flensburg, Stadt",krsfr. Stadt,2002,67.5
01001,"Flensburg, Stadt",krsfr. Stadt,2003,67.8
01001,"Flensburg, Stadt",krsfr. Stadt,2004,68
01001,"Flensburg, Stadt",krsfr. Stadt,2005,68.2
01001,"Flensburg, Stadt",krsfr. Stadt,2006,68.5
01001,"Flensburg, Stadt",krsfr. Stadt,2007,68.7
01001,"Flensburg, Stadt",krsfr. Stadt,2008,68.9
01001,"Flensburg, Stadt",krsfr. Stadt,2009,69.1
01001,"Flensburg, Stadt",krsfr. Stadt,2010,69.3
01001,"Flensburg, Stadt",krsfr. Stadt,2011,71.4
01001,"Flensburg, Stadt",krsfr. Stadt,2012,71.6
01001,"Flensburg, Stadt",krsfr. Stadt,2013,71.8
01001,"Flensburg, Stadt",krsfr. Stadt,2014,71.9
01001,"Flensburg, Stadt",krsfr. Stadt,2015,72
01001,"Flensburg, Stadt",krsfr. Stadt,2016,72
01001,"Flensburg, Stadt",krsfr. Stadt,2017,72.1
01002,"Kiel, Stadt",krsfr. Stadt,1995,64.4
01002,"Kiel, Stadt",krsfr. Stadt,1996,64.4
01002,"Kiel, Stadt",krsfr. Stadt,1997,64.4
01002,"Kiel, Stadt",krsfr. Stadt,1998,64.3
01002,"Kiel, Stadt",krsfr. Stadt,1999,64.3
01002,"Kiel, Stadt",krsfr. Stadt,2000,64.4
01002,"Kiel, Stadt",krsfr. Stadt,2001,64.5
01002,"Kiel, Stadt",krsfr. Stadt,2002,64.8
01002,"Kiel, Stadt",krsfr. Stadt,2003,65
01002,"Kiel, Stadt",krsfr. Stadt,2004,65.2
01002,"Kiel, Stadt",krsfr. Stadt,2005,65.3
01002,"Kiel, Stadt",krsfr. Stadt,2006,65.5
01002,"Kiel, Stadt",krsfr. Stadt,2007,65.7
01002,"Kiel, Stadt",krsfr. Stadt,2008,65.8
01002,"Kiel, Stadt",krsfr. Stadt,2009,65.9
01002,"Kiel, Stadt",krsfr. Stadt,2010,66
01002,"Kiel, Stadt",krsfr. Stadt,2011,66.8
01002,"Kiel, Stadt",krsfr. Stadt,2012,67
01002,"Kiel, Stadt",krsfr. Stadt,2013,67
01002,"Kiel, Stadt",krsfr. Stadt,2014,67.1
01002,"Kiel, Stadt",krsfr. Stadt,2015,67.2
01002,"Kiel, Stadt",krsfr. Stadt,2016,67.3
01002,"Kiel, Stadt",krsfr. Stadt,2017,67.3
01003,"Lübeck, Stadt",krsfr. Stadt,1995,72.8
01003,"Lübeck, Stadt",krsfr. Stadt,1996,72.9
01003,"Lübeck, Stadt",krsfr. Stadt,1997,72.9
01003,"Lübeck, Stadt",krsfr. Stadt,1998,72.9
01003,"Lübeck, Stadt",krsfr. Stadt,1999,73.1
