Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,34.3
01001,"Flensburg, Stadt",krsfr. Stadt,1996,34.2
01001,"Flensburg, Stadt",krsfr. Stadt,1997,34.1
01001,"Flensburg, Stadt",krsfr. Stadt,1998,33.8
01001,"Flensburg, Stadt",krsfr. Stadt,1999,33.3
01001,"Flensburg, Stadt",krsfr. Stadt,2000,33
01001,"Flensburg, Stadt",krsfr. Stadt,2001,32.7
01001,"Flensburg, Stadt",krsfr. Stadt,2002,32.5
01001,"Flensburg, Stadt",krsfr. Stadt,2003,32.2
01001,"Flensburg, Stadt",krsfr. Stadt,2004,32
01001,"Flensburg, Stadt",krsfr. Stadt,2005,31.8
01001,"Flensburg, Stadt",krsfr. Stadt,2006,31.5
01001,"Flensburg, Stadt",krsfr. Stadt,2007,31.3
01001,"Flensburg, Stadt",krsfr. Stadt,2008,31.1
01001,"Flensburg, Stadt",krsfr. Stadt,2009,30.9
01001,"Flensburg, Stadt",krsfr. Stadt,2010,30.7
01001,"Flensburg, Stadt",krsfr. Stadt,2011,28.3
01001,"Flensburg, Stadt",krsfr. Stadt,2012,28.1
01001,"Flensburg, Stadt",krsfr. Stadt,2013,28
01001,"Flensburg, Stadt",krsfr. Stadt,2014,27.9
01001,"Flensburg, Stadt",krsfr. Stadt,2015,27.8
01001,"Flensburg, Stadt",krsfr. Stadt,2016,27.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,27.7
01002,"Kiel, Stadt",krsfr. Stadt,1995,35.6
01002,"Kiel, Stadt",krsfr. Stadt,1996,35.6
01002,"Kiel, Stadt",krsfr. Stadt,1997,35.6
01002,"Kiel, Stadt",krsfr. Stadt,1998,35.7
01002,"Kiel, Stadt",krsfr. Stadt,1999,35.7
01002,"Kiel, Stadt",krsfr. Stadt,2000,35.6
01002,"Kiel, Stadt",krsfr. Stadt,2001,35.5
01002,"Kiel, Stadt",krsfr. Stadt,2002,35.2
01002,"Kiel, Stadt",krsfr. Stadt,2003,35
01002,"Kiel, Stadt",krsfr. Stadt,2004,34.8
01002,"Kiel, Stadt",krsfr. Stadt,2005,34.7
01002,"Kiel, Stadt",krsfr. Stadt,2006,34.5
01002,"Kiel, Stadt",krsfr. Stadt,2007,34.3
01002,"Kiel, Stadt",krsfr. Stadt,2008,34.2
01002,"Kiel, Stadt",krsfr. Stadt,2009,34.1
01002,"Kiel, Stadt",krsfr. Stadt,2010,34
01002,"Kiel, Stadt",krsfr. Stadt,2011,32.9
01002,"Kiel, Stadt",krsfr. Stadt,2012,32.7
01002,"Kiel, Stadt",krsfr. Stadt,2013,32.7
01002,"Kiel, Stadt",krsfr. Stadt,2014,32.6
01002,"Kiel, Stadt",krsfr. Stadt,2015,32.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,32.4
01002,"Kiel, Stadt",krsfr. Stadt,2017,32.4
01003,"Lübeck, Stadt",krsfr. Stadt,1995,27.2
01003,"Lübeck, Stadt",krsfr. Stadt,1996,27.1
01003,"Lübeck, Stadt",krsfr. Stadt,1997,27.1
01003,"Lübeck, Stadt",krsfr. Stadt,1998,27.1
01003,"Lübeck, Stadt",krsfr. Stadt,1999,26.9
01003,"Lübeck, Stadt",krsfr. Stadt,2000,26.8
01003,"Lübeck, Stadt",krsfr. Stadt,2001,26.8
01003,"Lübeck, Stadt",krsfr. Stadt,2002,26.7
01003,"Lübeck, Stadt",krsfr. Stadt,2003,26.5
01003,"Lübeck, Stadt",krsfr. Stadt,2004,26.3
01003,"Lübeck, Stadt",krsfr. Stadt,2005,26.2
01003,"Lübeck, Stadt",krsfr. Stadt,2006,26
01003,"Lübeck, Stadt",krsfr. Stadt,2007,25.8
01003,"Lübeck, Stadt",krsfr. Stadt,2008,25.7
01003,"Lübeck, Stadt",krsfr. Stadt,2009,25.7
01003,"Lübeck, Stadt",krsfr. Stadt,2010,25.6
01003,"Lübeck, Stadt",krsfr. Stadt,2011,24.5
01003,"Lübeck, Stadt",krsfr. Stadt,2012,24.5
01003,"Lübeck, Stadt",krsfr. Stadt,2013,24.5
01003,"Lübeck, Stadt",krsfr. Stadt,2014,24.4
01003,"Lübeck, Stadt",krsfr. Stadt,2015,24.4
