Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,37.4
01001,"Flensburg, Stadt",krsfr. Stadt,1996,38
01001,"Flensburg, Stadt",krsfr. Stadt,1997,38.9
01001,"Flensburg, Stadt",krsfr. Stadt,1998,39.6
01001,"Flensburg, Stadt",krsfr. Stadt,1999,40.2
01001,"Flensburg, Stadt",krsfr. Stadt,2000,40.6
01001,"Flensburg, Stadt",krsfr. Stadt,2001,40.9
01001,"Flensburg, Stadt",krsfr. Stadt,2002,40.6
01001,"Flensburg, Stadt",krsfr. Stadt,2003,41.2
01001,"Flensburg, Stadt",krsfr. Stadt,2004,41.2
01001,"Flensburg, Stadt",krsfr. Stadt,2005,41.2
01001,"Flensburg, Stadt",krsfr. Stadt,2006,41.3
01001,"Flensburg, Stadt",krsfr. Stadt,2007,41
01001,"Flensburg, Stadt",krsfr. Stadt,2008,40.7
01001,"Flensburg, Stadt",krsfr. Stadt,2009,41
01001,"Flensburg, Stadt",krsfr. Stadt,2010,41
01001,"Flensburg, Stadt",krsfr. Stadt,2011,45.6
01001,"Flensburg, Stadt",krsfr. Stadt,2012,45.4
01001,"Flensburg, Stadt",krsfr. Stadt,2013,45.5
01001,"Flensburg, Stadt",krsfr. Stadt,2014,45.2
01001,"Flensburg, Stadt",krsfr. Stadt,2015,44.9
01001,"Flensburg, Stadt",krsfr. Stadt,2016,44.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,44.1
01002,"Kiel, Stadt",krsfr. Stadt,1995,34.7
01002,"Kiel, Stadt",krsfr. Stadt,1996,35.2
01002,"Kiel, Stadt",krsfr. Stadt,1997,36.1
01002,"Kiel, Stadt",krsfr. Stadt,1998,37
01002,"Kiel, Stadt",krsfr. Stadt,1999,37.8
01002,"Kiel, Stadt",krsfr. Stadt,2000,38.1
01002,"Kiel, Stadt",krsfr. Stadt,2001,38.2
01002,"Kiel, Stadt",krsfr. Stadt,2002,37.8
01002,"Kiel, Stadt",krsfr. Stadt,2003,38.5
01002,"Kiel, Stadt",krsfr. Stadt,2004,38.5
01002,"Kiel, Stadt",krsfr. Stadt,2005,38.5
01002,"Kiel, Stadt",krsfr. Stadt,2006,38.5
01002,"Kiel, Stadt",krsfr. Stadt,2007,38.4
01002,"Kiel, Stadt",krsfr. Stadt,2008,38.3
01002,"Kiel, Stadt",krsfr. Stadt,2009,38.4
01002,"Kiel, Stadt",krsfr. Stadt,2010,38.2
01002,"Kiel, Stadt",krsfr. Stadt,2011,39.7
01002,"Kiel, Stadt",krsfr. Stadt,2012,39.5
01002,"Kiel, Stadt",krsfr. Stadt,2013,39.3
01002,"Kiel, Stadt",krsfr. Stadt,2014,39.2
01002,"Kiel, Stadt",krsfr. Stadt,2015,38.9
01002,"Kiel, Stadt",krsfr. Stadt,2016,38.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,38.9
01003,"Lübeck, Stadt",krsfr. Stadt,1995,34.7
01003,"Lübeck, Stadt",krsfr. Stadt,1996,35.2
01003,"Lübeck, Stadt",krsfr. Stadt,1997,35.6
01003,"Lübeck, Stadt",krsfr. Stadt,1998,36.3
01003,"Lübeck, Stadt",krsfr. Stadt,1999,36.7
01003,"Lübeck, Stadt",krsfr. Stadt,2000,36.8
01003,"Lübeck, Stadt",krsfr. Stadt,2001,37
01003,"Lübeck, Stadt",krsfr. Stadt,2002,36.5
01003,"Lübeck, Stadt",krsfr. Stadt,2003,37.4
01003,"Lübeck, Stadt",krsfr. Stadt,2004,37.8
01003,"Lübeck, Stadt",krsfr. Stadt,2005,38
01003,"Lübeck, Stadt",krsfr. Stadt,2006,38.4
01003,"Lübeck, Stadt",krsfr. Stadt,2007,38.5
01003,"Lübeck, Stadt",krsfr. Stadt,2008,38.8
01003,"Lübeck, Stadt",krsfr. Stadt,2009,39.2
01003,"Lübeck, Stadt",krsfr. Stadt,2010,39.3
01003,"Lübeck, Stadt",krsfr. Stadt,2011,40.5
01003,"Lübeck, Stadt",krsfr. Stadt,2012,40.5
01003,"Lübeck, Stadt",krsfr. Stadt,2013,40.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,40.3
01003,"Lübeck, Stadt",krsfr. Stadt,2015,40
01003,"Lübeck, Stadt",krsfr. Stadt,2016,40.3
01003,"Lübeck, Stadt",krsfr. Stadt,2017,40.5
01004,"Neumünster, Stadt",krsfr. Stadt,1995,35.6
01004,"Neumünster, Stadt",krsfr. Stadt,1996,36.2
01004,"Neumünster, Stadt",krsfr. Stadt,1997,36.9
01004,"Neumünster, Stadt",krsfr. Stadt,1998,37.6
01004,"Neumünster, Stadt",krsfr. Stadt,1999,38.2
01004,"Neumünster, Stadt",krsfr. Stadt,2000,38.9
01004,"Neumünster, Stadt",krsfr. Stadt,2001,39.4
01004,"Neumünster, Stadt",krsfr. Stadt,2002,39
01004,"Neumünster, Stadt",krsfr. Stadt,2003,40.2
01004,"Neumünster, Stadt",krsfr. Stadt,2004,40.6
01004,"Neumünster, Stadt",krsfr. Stadt,2005,41.1
01004,"Neumünster, Stadt",krsfr. Stadt,2006,41.3
01004,"Neumünster, Stadt",krsfr. Stadt,2007,41.5
01004,"Neumünster, Stadt",krsfr. Stadt,2008,41.7
01004,"Neumünster, Stadt",krsfr. Stadt,2009,42
01004,"Neumünster, Stadt",krsfr. Stadt,2010,42.2
01004,"Neumünster, Stadt",krsfr. Stadt,2011,43.4
01004,"Neumünster, Stadt",krsfr. Stadt,2012,43.7
01004,"Neumünster, Stadt",krsfr. Stadt,2013,43.7
01004,"Neumünster, Stadt",krsfr. Stadt,2014,43.6
01004,"Neumünster, Stadt",krsfr. Stadt,2015,42.8
01004,"Neumünster, Stadt",krsfr. Stadt,2016,42.7
01004,"Neumünster, Stadt",krsfr. Stadt,2017,43.1
01051,Dithmarschen,Landkreis,1995,41.9
01051,Dithmarschen,Landkreis,1996,42.1
01051,Dithmarschen,Landkreis,1997,42.6
01051,Dithmarschen,Landkreis,1998,43.2
01051,Dithmarschen,Landkreis,1999,43.8
01051,Dithmarschen,Landkreis,2000,44.7
01051,Dithmarschen,Landkreis,2001,45.1
01051,Dithmarschen,Landkreis,2002,43.7
01051,Dithmarschen,Landkreis,2003,45.8
01051,Dithmarschen,Landkreis,2004,46.2
01051,Dithmarschen,Landkreis,2005,46.5
01051,Dithmarschen,Landkreis,2006,47
01051,Dithmarschen,Landkreis,2007,47.3
01051,Dithmarschen,Landkreis,2008,47.7
01051,Dithmarschen,Landkreis,2009,48.1
01051,Dithmarschen,Landkreis,2010,48.4
01051,Dithmarschen,Landkreis,2011,52.6
01051,Dithmarschen,Landkreis,2012,53
01051,Dithmarschen,Landkreis,2013,53.4
01051,Dithmarschen,Landkreis,2014,53.7
01051,Dithmarschen,Landkreis,2015,53.8
01051,Dithmarschen,Landkreis,2016,54
01051,Dithmarschen,Landkreis,2017,54.3
01053,Herzogtum Lauenburg,Landkreis,1995,37.7
01053,Herzogtum Lauenburg,Landkreis,1996,38
01053,Herzogtum Lauenburg,Landkreis,1997,38.4
01053,Herzogtum Lauenburg,Landkreis,1998,38.7
01053,Herzogtum Lauenburg,Landkreis,1999,39
01053,Herzogtum Lauenburg,Landkreis,2000,39.3
01053,Herzogtum Lauenburg,Landkreis,2001,39.4
01053,Herzogtum Lauenburg,Landkreis,2002,38.4
01053,Herzogtum Lauenburg,Landkreis,2003,39.7
01053,Herzogtum Lauenburg,Landkreis,2004,39.9
01053,Herzogtum Lauenburg,Landkreis,2005,40.2
01053,Herzogtum Lauenburg,Landkreis,2006,40.5
01053,Herzogtum Lauenburg,Landkreis,2007,40.8
01053,Herzogtum Lauenburg,Landkreis,2008,41.1
01053,Herzogtum Lauenburg,Landkreis,2009,41.5
01053,Herzogtum Lauenburg,Landkreis,2010,41.8
01053,Herzogtum Lauenburg,Landkreis,2011,47
01053,Herzogtum Lauenburg,Landkreis,2012,47.2
01053,Herzogtum Lauenburg,Landkreis,2013,47.2
01053,Herzogtum Lauenburg,Landkreis,2014,47.2
01053,Herzogtum Lauenburg,Landkreis,2015,47.1
01053,Herzogtum Lauenburg,Landkreis,2016,47.1
01053,Herzogtum Lauenburg,Landkreis,2017,47.5
01054,Nordfriesland,Landkreis,1995,44.8
01054,Nordfriesland,Landkreis,1996,45.3
01054,Nordfriesland,Landkreis,1997,45.9
01054,Nordfriesland,Landkreis,1998,46.6
01054,Nordfriesland,Landkreis,1999,47.3
01054,Nordfriesland,Landkreis,2000,47.9
01054,Nordfriesland,Landkreis,2001,48.3
01054,Nordfriesland,Landkreis,2002,46.7
01054,Nordfriesland,Landkreis,2003,49.2
01054,Nordfriesland,Landkreis,2004,49.7
01054,Nordfriesland,Landkreis,2005,50.1
01054,Nordfriesland,Landkreis,2006,50.6
01054,Nordfriesland,Landkreis,2007,51
01054,Nordfriesland,Landkreis,2008,51.5
01054,Nordfriesland,Landkreis,2009,52.2
01054,Nordfriesland,Landkreis,2010,52.7
01054,Nordfriesland,Landkreis,2011,54.8
01054,Nordfriesland,Landkreis,2012,55.6
01054,Nordfriesland,Landkreis,2013,56.3
01054,Nordfriesland,Landkreis,2014,56.9
01054,Nordfriesland,Landkreis,2015,57
01054,Nordfriesland,Landkreis,2016,57.5
01054,Nordfriesland,Landkreis,2017,58.1
01055,Ostholstein,Landkreis,1995,40.8
01055,Ostholstein,Landkreis,1996,41.3
01055,Ostholstein,Landkreis,1997,41.7
01055,Ostholstein,Landkreis,1998,42.4
01055,Ostholstein,Landkreis,1999,42.8
01055,Ostholstein,Landkreis,2000,43.2
01055,Ostholstein,Landkreis,2001,43.3
01055,Ostholstein,Landkreis,2002,42.2
01055,Ostholstein,Landkreis,2003,43.7
01055,Ostholstein,Landkreis,2004,44
01055,Ostholstein,Landkreis,2005,44.5
01055,Ostholstein,Landkreis,2006,44.9
01055,Ostholstein,Landkreis,2007,45.3
01055,Ostholstein,Landkreis,2008,45.7
01055,Ostholstein,Landkreis,2009,46.1
01055,Ostholstein,Landkreis,2010,46.5
01055,Ostholstein,Landkreis,2011,51
01055,Ostholstein,Landkreis,2012,51.3
01055,Ostholstein,Landkreis,2013,51.7
01055,Ostholstein,Landkreis,2014,52
01055,Ostholstein,Landkreis,2015,52.1
01055,Ostholstein,Landkreis,2016,52.4
01055,Ostholstein,Landkreis,2017,52.9
01056,Pinneberg,Landkreis,1995,37.6
01056,Pinneberg,Landkreis,1996,37.9
01056,Pinneberg,Landkreis,1997,38.3
01056,Pinneberg,Landkreis,1998,38.8
01056,Pinneberg,Landkreis,1999,39.3
01056,Pinneberg,Landkreis,2000,39.7
01056,Pinneberg,Landkreis,2001,39.8
01056,Pinneberg,Landkreis,2002,39.2
01056,Pinneberg,Landkreis,2003,40.3
01056,Pinneberg,Landkreis,2004,40.7
01056,Pinneberg,Landkreis,2005,41
01056,Pinneberg,Landkreis,2006,41.3
01056,Pinneberg,Landkreis,2007,41.5
01056,Pinneberg,Landkreis,2008,41.8
01056,Pinneberg,Landkreis,2009,42
01056,Pinneberg,Landkreis,2010,42.2
01056,Pinneberg,Landkreis,2011,45
01056,Pinneberg,Landkreis,2012,45.2
01056,Pinneberg,Landkreis,2013,45.2
01056,Pinneberg,Landkreis,2014,45.4
01056,Pinneberg,Landkreis,2015,45.4
01056,Pinneberg,Landkreis,2016,45.4
01056,Pinneberg,Landkreis,2017,45.7
01057,Plön,Landkreis,1995,38.6
01057,Plön,Landkreis,1996,38.9
01057,Plön,Landkreis,1997,39.2
01057,Plön,Landkreis,1998,39.6
01057,Plön,Landkreis,1999,40
01057,Plön,Landkreis,2000,40.4
01057,Plön,Landkreis,2001,40.7
01057,Plön,Landkreis,2002,39.7
01057,Plön,Landkreis,2003,41.1
01057,Plön,Landkreis,2004,41.5
01057,Plön,Landkreis,2005,41.9
01057,Plön,Landkreis,2006,42.3
01057,Plön,Landkreis,2007,42.5
01057,Plön,Landkreis,2008,42.9
01057,Plön,Landkreis,2009,43.2
01057,Plön,Landkreis,2010,43.5
01057,Plön,Landkreis,2011,48.8
01057,Plön,Landkreis,2012,49.2
01057,Plön,Landkreis,2013,49.5
01057,Plön,Landkreis,2014,49.8
01057,Plön,Landkreis,2015,49.6
01057,Plön,Landkreis,2016,49.8
01057,Plön,Landkreis,2017,50.1
01058,Rendsburg-Eckernförde,Landkreis,1995,38.5
01058,Rendsburg-Eckernförde,Landkreis,1996,38.7
01058,Rendsburg-Eckernförde,Landkreis,1997,39.1
01058,Rendsburg-Eckernförde,Landkreis,1998,39.5
01058,Rendsburg-Eckernförde,Landkreis,1999,39.9
01058,Rendsburg-Eckernförde,Landkreis,2000,40.3
01058,Rendsburg-Eckernförde,Landkreis,2001,40.5
01058,Rendsburg-Eckernförde,Landkreis,2002,39.7
01058,Rendsburg-Eckernförde,Landkreis,2003,41.1
01058,Rendsburg-Eckernförde,Landkreis,2004,41.5
01058,Rendsburg-Eckernförde,Landkreis,2005,41.8
01058,Rendsburg-Eckernförde,Landkreis,2006,42.3
01058,Rendsburg-Eckernförde,Landkreis,2007,42.6
01058,Rendsburg-Eckernförde,Landkreis,2008,43
01058,Rendsburg-Eckernförde,Landkreis,2009,43.4
01058,Rendsburg-Eckernförde,Landkreis,2010,43.7
01058,Rendsburg-Eckernförde,Landkreis,2011,49
01058,Rendsburg-Eckernförde,Landkreis,2012,49.5
01058,Rendsburg-Eckernförde,Landkreis,2013,49.7
01058,Rendsburg-Eckernförde,Landkreis,2014,50.2
01058,Rendsburg-Eckernförde,Landkreis,2015,50.2
01058,Rendsburg-Eckernförde,Landkreis,2016,50.1
01058,Rendsburg-Eckernförde,Landkreis,2017,50.4
01059,Schleswig-Flensburg,Landkreis,1995,39.2
01059,Schleswig-Flensburg,Landkreis,1996,39.5
01059,Schleswig-Flensburg,Landkreis,1997,39.9
01059,Schleswig-Flensburg,Landkreis,1998,40.3
01059,Schleswig-Flensburg,Landkreis,1999,40.8
01059,Schleswig-Flensburg,Landkreis,2000,41.1
01059,Schleswig-Flensburg,Landkreis,2001,41.6
01059,Schleswig-Flensburg,Landkreis,2002,40.8
01059,Schleswig-Flensburg,Landkreis,2003,42.3
01059,Schleswig-Flensburg,Landkreis,2004,42.7
01059,Schleswig-Flensburg,Landkreis,2005,43
01059,Schleswig-Flensburg,Landkreis,2006,43.5
01059,Schleswig-Flensburg,Landkreis,2007,43.8
01059,Schleswig-Flensburg,Landkreis,2008,44.2
01059,Schleswig-Flensburg,Landkreis,2009,44.5
01059,Schleswig-Flensburg,Landkreis,2010,44.9
01059,Schleswig-Flensburg,Landkreis,2011,50.7
01059,Schleswig-Flensburg,Landkreis,2012,51.3
01059,Schleswig-Flensburg,Landkreis,2013,51.7
01059,Schleswig-Flensburg,Landkreis,2014,52.1
01059,Schleswig-Flensburg,Landkreis,2015,52.2
01059,Schleswig-Flensburg,Landkreis,2016,52.4
01059,Schleswig-Flensburg,Landkreis,2017,52.9
01060,Segeberg,Landkreis,1995,37.9
01060,Segeberg,Landkreis,1996,38.1
01060,Segeberg,Landkreis,1997,38.5
01060,Segeberg,Landkreis,1998,38.8
01060,Segeberg,Landkreis,1999,39.4
01060,Segeberg,Landkreis,2000,39.8
01060,Segeberg,Landkreis,2001,39.8
