Kennziffer;Raumeinheit;Aggregat;Beschäftigte am Arbeitsort;Beschäftigte am Wohnort;Beschäftigtendichte (AO);Beschäftigtendichte (WO);Entwicklung Beschäftigte;Einpendler;Auspendler;Pendlersaldo 
;;;2017;2017;2017;2017;2012-2017;2017;2017;2017
"01001000";"Flensburg, Stadt";"Oberzentrum";"42.517";"30.733";"480,0";"347,0";"15,5";"22.266";"10.498,0";"27,7"
"01002000";"Kiel, Landeshauptstadt";"Oberzentrum";"121.304";"88.428";"489,0";"356,0";"11,7";"59.605";"26.762,0";"27,1"
"01003000";"Lübeck, Hansestadt";"Oberzentrum";"95.055";"78.029";"439,0";"360,0";"10,2";"41.403";"24.403,0";"17,9"
"01004000";"Neumünster, Stadt";"Oberzentrum";"38.476";"28.506";"484,0";"359,0";"16,8";"20.966";"11.010,0";"25,9"
"02000000";"Hamburg, Freie und Hansestadt";"Oberzentrum";"952.959";"731.093";"520,0";"399,0";"11,5";"346.358";"124.876,0";"23,2"
"03101000";"Braunschweig, Stadt";"Oberzentrum";"127.827";"98.845";"515,0";"398,0";"10,6";"63.856";"34.950,0";"22,6"
"03102000";"Salzgitter, Stadt";"Oberzentrum";"47.405";"37.705";"453,0";"360,0";"5,4";"24.593";"14.929,0";"20,4"
"03103000";"Wolfsburg, Stadt";"Oberzentrum";"118.922";"51.112";"959,0";"412,0";"5,5";"76.771";"9.044,0";"57,0"
"03159016";"Göttingen, Stadt";"Oberzentrum";"69.403";"42.569";"580,0";"356,0";"9,1";"38.764";"11.963,0";"38,6"
"03241001";"Hannover, Landeshauptstadt";"Oberzentrum";"318.934";"203.689";"596,0";"380,0";"10,5";"175.530";"60.440,0";"36,1"
"03254021";"Hildesheim, Stadt";"Oberzentrum";"49.183";"35.847";"483,0";"352,0";"12,7";"27.460";"14.144,0";"27,1"
"03351006";"Celle, Stadt";"Oberzentrum";"35.120";"24.195";"503,0";"347,0";"4,9";"19.956";"9.045,0";"31,1"
"03355022";"Lüneburg, Hansestadt";"Oberzentrum";"40.052";"26.641";"532,0";"354,0";"13,4";"25.390";"11.991,0";"33,5"
"03403000";"Oldenburg (Oldenburg), Stadt";"Oberzentrum";"81.268";"61.890";"486,0";"370,0";"9,6";"41.965";"22.612,0";"23,8"
"03404000";"Osnabrück, Stadt";"Oberzentrum";"92.701";"63.419";"563,0";"385,0";"7,8";"54.178";"24.928,0";"31,6"
"03405000";"Wilhelmshaven, Stadt";"Oberzentrum";"29.722";"24.974";"389,0";"327,0";"10,1";"12.538";"7.799,0";"15,9"
"04011000";"Bremen, Stadt";"Oberzentrum";"273.068";"200.871";"480,0";"353,0";"10,2";"116.883";"44.770,0";"26,4"
"04012000";"Bremerhaven, Stadt";"Oberzentrum";"52.307";"39.271";"462,0";"347,0";"7,4";"24.377";"11.359,0";"24,9"
"05111000";"Düsseldorf, Stadt";"Oberzentrum";"409.195";"239.810";"662,0";"388,0";"10,3";"253.758";"84.587,0";"41,3"
"05112000";"Duisburg, Stadt";"Oberzentrum";"171.054";"166.482";"343,0";"334,0";"7,9";"84.697";"80.193,0";"2,6"
"05113000";"Essen, Stadt";"Oberzentrum";"240.680";"198.254";"412,0";"339,0";"7,4";"123.978";"81.642,0";"17,6"
"05114000";"Krefeld, Stadt";"Oberzentrum";"91.220";"80.395";"402,0";"354,0";"9,8";"49.287";"38.513,0";"11,8"
