Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,10498
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,26762
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,24403
01004000,"Neumünster, Stadt",Oberzentrum,2017,11010
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,124876
03101000,"Braunschweig, Stadt",Oberzentrum,2017,34950
03102000,"Salzgitter, Stadt",Oberzentrum,2017,14929
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,9044
03159016,"Göttingen, Stadt",Oberzentrum,2017,11963
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,60440
03254021,"Hildesheim, Stadt",Oberzentrum,2017,14144
03351006,"Celle, Stadt",Oberzentrum,2017,9045
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,11991
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,22612
03404000,"Osnabrück, Stadt",Oberzentrum,2017,24928
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,7799
04011000,"Bremen, Stadt",Oberzentrum,2017,44770
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,11359
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,84587
05112000,"Duisburg, Stadt",Oberzentrum,2017,80193
05113000,"Essen, Stadt",Oberzentrum,2017,81642
05114000,"Krefeld, Stadt",Oberzentrum,2017,38513
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,40119
05124000,"Wuppertal, Stadt",Oberzentrum,2017,48069
05314000,"Bonn, Stadt",Oberzentrum,2017,42516
05315000,"Köln, Stadt",Oberzentrum,2017,121675
05334002,"Aachen, Stadt",Oberzentrum,2017,25977
05515000,"Münster, Stadt",Oberzentrum,2017,30389
05711000,"Bielefeld, Stadt",Oberzentrum,2017,37546
05774032,"Paderborn, Stadt",Oberzentrum,2017,20550
05911000,"Bochum, Stadt",Oberzentrum,2017,61866
05913000,"Dortmund, Stadt",Oberzentrum,2017,79403
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,28649
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,17515
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,29340
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,95074
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,36393
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,48408
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,22054
