Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,42517
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,121304
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,95055
01004000,"Neumünster, Stadt",Oberzentrum,2017,38476
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,952959
03101000,"Braunschweig, Stadt",Oberzentrum,2017,127827
03102000,"Salzgitter, Stadt",Oberzentrum,2017,47405
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,118922
03159016,"Göttingen, Stadt",Oberzentrum,2017,69403
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,318934
03254021,"Hildesheim, Stadt",Oberzentrum,2017,49183
03351006,"Celle, Stadt",Oberzentrum,2017,35120
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,40052
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,81268
03404000,"Osnabrück, Stadt",Oberzentrum,2017,92701
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,29722
04011000,"Bremen, Stadt",Oberzentrum,2017,273068
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,52307
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,409195
05112000,"Duisburg, Stadt",Oberzentrum,2017,171054
05113000,"Essen, Stadt",Oberzentrum,2017,240680
05114000,"Krefeld, Stadt",Oberzentrum,2017,91220
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,96392
05124000,"Wuppertal, Stadt",Oberzentrum,2017,124801
05314000,"Bonn, Stadt",Oberzentrum,2017,173531
05315000,"Köln, Stadt",Oberzentrum,2017,553442
05334002,"Aachen, Stadt",Oberzentrum,2017,129137
05515000,"Münster, Stadt",Oberzentrum,2017,164707
05711000,"Bielefeld, Stadt",Oberzentrum,2017,151171
05774032,"Paderborn, Stadt",Oberzentrum,2017,73772
05911000,"Bochum, Stadt",Oberzentrum,2017,130040
05913000,"Dortmund, Stadt",Oberzentrum,2017,231529
