Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,30733
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,88428
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,78029
01004000,"Neumünster, Stadt",Oberzentrum,2017,28506
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,731093
03101000,"Braunschweig, Stadt",Oberzentrum,2017,98845
03102000,"Salzgitter, Stadt",Oberzentrum,2017,37705
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,51112
03159016,"Göttingen, Stadt",Oberzentrum,2017,42569
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,203689
03254021,"Hildesheim, Stadt",Oberzentrum,2017,35847
03351006,"Celle, Stadt",Oberzentrum,2017,24195
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,26641
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,61890
03404000,"Osnabrück, Stadt",Oberzentrum,2017,63419
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,24974
04011000,"Bremen, Stadt",Oberzentrum,2017,200871
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,39271
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,239810
05112000,"Duisburg, Stadt",Oberzentrum,2017,166482
05113000,"Essen, Stadt",Oberzentrum,2017,198254
05114000,"Krefeld, Stadt",Oberzentrum,2017,80395
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,93418
05124000,"Wuppertal, Stadt",Oberzentrum,2017,123121
05314000,"Bonn, Stadt",Oberzentrum,2017,113899
05315000,"Köln, Stadt",Oberzentrum,2017,404702
05334002,"Aachen, Stadt",Oberzentrum,2017,85558
05515000,"Münster, Stadt",Oberzentrum,2017,113615
05711000,"Bielefeld, Stadt",Oberzentrum,2017,122383
05774032,"Paderborn, Stadt",Oberzentrum,2017,56593
05911000,"Bochum, Stadt",Oberzentrum,2017,126595
05913000,"Dortmund, Stadt",Oberzentrum,2017,206288
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,66980
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,38814
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,60564
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,297069
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,51081
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,106702
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,35578
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,28154
