Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,480
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,489
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,439
01004000,"Neumünster, Stadt",Oberzentrum,2017,484
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,520
03101000,"Braunschweig, Stadt",Oberzentrum,2017,515
03102000,"Salzgitter, Stadt",Oberzentrum,2017,453
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,959
03159016,"Göttingen, Stadt",Oberzentrum,2017,580
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,596
03254021,"Hildesheim, Stadt",Oberzentrum,2017,483
03351006,"Celle, Stadt",Oberzentrum,2017,503
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,532
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,486
03404000,"Osnabrück, Stadt",Oberzentrum,2017,563
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,389
04011000,"Bremen, Stadt",Oberzentrum,2017,480
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,462
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,662
05112000,"Duisburg, Stadt",Oberzentrum,2017,343
05113000,"Essen, Stadt",Oberzentrum,2017,412
05114000,"Krefeld, Stadt",Oberzentrum,2017,402
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,367
05124000,"Wuppertal, Stadt",Oberzentrum,2017,352
05314000,"Bonn, Stadt",Oberzentrum,2017,533
05315000,"Köln, Stadt",Oberzentrum,2017,512
05334002,"Aachen, Stadt",Oberzentrum,2017,524
05515000,"Münster, Stadt",Oberzentrum,2017,525
05711000,"Bielefeld, Stadt",Oberzentrum,2017,454
05774032,"Paderborn, Stadt",Oberzentrum,2017,494
05911000,"Bochum, Stadt",Oberzentrum,2017,355
05913000,"Dortmund, Stadt",Oberzentrum,2017,394
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,372
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,480
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,638
