Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,347
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,356
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,360
01004000,"Neumünster, Stadt",Oberzentrum,2017,359
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,399
03101000,"Braunschweig, Stadt",Oberzentrum,2017,398
03102000,"Salzgitter, Stadt",Oberzentrum,2017,360
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,412
03159016,"Göttingen, Stadt",Oberzentrum,2017,356
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,380
03254021,"Hildesheim, Stadt",Oberzentrum,2017,352
03351006,"Celle, Stadt",Oberzentrum,2017,347
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,354
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,370
03404000,"Osnabrück, Stadt",Oberzentrum,2017,385
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,327
04011000,"Bremen, Stadt",Oberzentrum,2017,353
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,347
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,388
05112000,"Duisburg, Stadt",Oberzentrum,2017,334
05113000,"Essen, Stadt",Oberzentrum,2017,339
05114000,"Krefeld, Stadt",Oberzentrum,2017,354
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,356
05124000,"Wuppertal, Stadt",Oberzentrum,2017,348
05314000,"Bonn, Stadt",Oberzentrum,2017,349
05315000,"Köln, Stadt",Oberzentrum,2017,374
05334002,"Aachen, Stadt",Oberzentrum,2017,347
05515000,"Münster, Stadt",Oberzentrum,2017,362
05711000,"Bielefeld, Stadt",Oberzentrum,2017,368
05774032,"Paderborn, Stadt",Oberzentrum,2017,379
05911000,"Bochum, Stadt",Oberzentrum,2017,346
05913000,"Dortmund, Stadt",Oberzentrum,2017,351
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,356
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,379
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,382
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,397
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,403
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,382
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,370
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,322
06532023,"Wetzlar, Stadt",Oberzentrum,2017,356
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,325
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,356
06631009,"Fulda, Stadt",Oberzentrum,2017,370
07111000,"Koblenz, Stadt",Oberzentrum,2017,355
07211000,"Trier, Stadt",Oberzentrum,2017,307
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,353
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,380
07315000,"Mainz, Stadt",Oberzentrum,2017,379
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,399
08121000,"Heilbronn, Stadt",Oberzentrum,2017,411
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,378
08221000,"Heidelberg, Stadt",Oberzentrum,2017,318
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,395
08231000,"Pforzheim, Stadt",Oberzentrum,2017,392
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,347
08317096,"Offenburg, Stadt",Oberzentrum,2017,407
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,399
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,331
08336050,"Lörrach, Stadt",Oberzentrum,2017,315
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,310
08415061,"Reutlingen, Stadt",Oberzentrum,2017,394
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,344
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,405
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,428
08436064,"Ravensburg, Stadt",Oberzentrum,2017,419
08436082,"Weingarten, Stadt",Oberzentrum,2017,396
09161000,Ingolstadt,Oberzentrum,2017,446
09162000,"München, Landeshauptstadt",Oberzentrum,2017,443
09163000,Rosenheim,Oberzentrum,2017,392
09171111,"Altötting, Stadt",Oberzentrum,2017,390
09171112,"Burghausen, Stadt",Oberzentrum,2017,396
09171125,"Neuötting, Stadt",Oberzentrum,2017,377
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,296
09172118,"Freilassing, Stadt",Oberzentrum,2017,312
09177117,"Erding, GKSt",Oberzentrum,2017,451
09178124,"Freising, GKSt",Oberzentrum,2017,445
09180117,"Garmisch-Partenkirchen, Markt",Oberzentrum,2017,358
09183128,"Mühldorf a.Inn, Stadt",Oberzentrum,2017,411
09183148,"Waldkraiburg, Stadt",Oberzentrum,2017,432
