Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,22266
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,59605
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,41403
01004000,"Neumünster, Stadt",Oberzentrum,2017,20966
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,346358
03101000,"Braunschweig, Stadt",Oberzentrum,2017,63856
03102000,"Salzgitter, Stadt",Oberzentrum,2017,24593
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,76771
03159016,"Göttingen, Stadt",Oberzentrum,2017,38764
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,175530
03254021,"Hildesheim, Stadt",Oberzentrum,2017,27460
03351006,"Celle, Stadt",Oberzentrum,2017,19956
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,25390
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,41965
03404000,"Osnabrück, Stadt",Oberzentrum,2017,54178
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,12538
04011000,"Bremen, Stadt",Oberzentrum,2017,116883
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,24377
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,253758
05112000,"Duisburg, Stadt",Oberzentrum,2017,84697
05113000,"Essen, Stadt",Oberzentrum,2017,123978
05114000,"Krefeld, Stadt",Oberzentrum,2017,49287
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,43041
05124000,"Wuppertal, Stadt",Oberzentrum,2017,49695
05314000,"Bonn, Stadt",Oberzentrum,2017,102067
05315000,"Köln, Stadt",Oberzentrum,2017,270118
05334002,"Aachen, Stadt",Oberzentrum,2017,69485
05515000,"Münster, Stadt",Oberzentrum,2017,81420
05711000,"Bielefeld, Stadt",Oberzentrum,2017,66262
05774032,"Paderborn, Stadt",Oberzentrum,2017,37711
05911000,"Bochum, Stadt",Oberzentrum,2017,65284
05913000,"Dortmund, Stadt",Oberzentrum,2017,104524
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,31546
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,27891
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,69744
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,362450
