Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,27.7
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,27.1
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,17.9
01004000,"Neumünster, Stadt",Oberzentrum,2017,25.9
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,23.2
03101000,"Braunschweig, Stadt",Oberzentrum,2017,22.6
03102000,"Salzgitter, Stadt",Oberzentrum,2017,20.4
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,57
03159016,"Göttingen, Stadt",Oberzentrum,2017,38.6
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,36.1
03254021,"Hildesheim, Stadt",Oberzentrum,2017,27.1
03351006,"Celle, Stadt",Oberzentrum,2017,31.1
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,33.5
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,23.8
03404000,"Osnabrück, Stadt",Oberzentrum,2017,31.6
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,15.9
04011000,"Bremen, Stadt",Oberzentrum,2017,26.4
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,24.9
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,41.3
05112000,"Duisburg, Stadt",Oberzentrum,2017,2.6
05113000,"Essen, Stadt",Oberzentrum,2017,17.6
05114000,"Krefeld, Stadt",Oberzentrum,2017,11.8
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,3
05124000,"Wuppertal, Stadt",Oberzentrum,2017,1.3
05314000,"Bonn, Stadt",Oberzentrum,2017,34.3
05315000,"Köln, Stadt",Oberzentrum,2017,26.8
05334002,"Aachen, Stadt",Oberzentrum,2017,33.7
05515000,"Münster, Stadt",Oberzentrum,2017,31
05711000,"Bielefeld, Stadt",Oberzentrum,2017,19
05774032,"Paderborn, Stadt",Oberzentrum,2017,23.3
05911000,"Bochum, Stadt",Oberzentrum,2017,2.6
05913000,"Dortmund, Stadt",Oberzentrum,2017,10.9
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,4.1
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,21.1
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,40
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,47.3
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,-7.8
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,20.4
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,24.9
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,40.5
06532023,"Wetzlar, Stadt",Oberzentrum,2017,35.4
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,41.9
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,34.8
06631009,"Fulda, Stadt",Oberzentrum,2017,51.2
07111000,"Koblenz, Stadt",Oberzentrum,2017,44.4
07211000,"Trier, Stadt",Oberzentrum,2017,38.6
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,33.1
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,37.2
07315000,"Mainz, Stadt",Oberzentrum,2017,26.9
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,37.7
08121000,"Heilbronn, Stadt",Oberzentrum,2017,27.1
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,33.1
08221000,"Heidelberg, Stadt",Oberzentrum,2017,43.8
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,34.3
08231000,"Pforzheim, Stadt",Oberzentrum,2017,15.5
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,35.1
08317096,"Offenburg, Stadt",Oberzentrum,2017,40.9
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,17.8
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,8.9
08336050,"Lörrach, Stadt",Oberzentrum,2017,29.3
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,20.2
08415061,"Reutlingen, Stadt",Oberzentrum,2017,18
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,33
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,45.7
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,27.7
08436064,"Ravensburg, Stadt",Oberzentrum,2017,41.7
08436082,"Weingarten, Stadt",Oberzentrum,2017,16.1
09161000,Ingolstadt,Oberzentrum,2017,42.8
09162000,"München, Landeshauptstadt",Oberzentrum,2017,24
09163000,Rosenheim,Oberzentrum,2017,30
09171111,"Altötting, Stadt",Oberzentrum,2017,34.4
09171112,"Burghausen, Stadt",Oberzentrum,2017,58.2
09171125,"Neuötting, Stadt",Oberzentrum,2017,-5.7
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,26.7
09172118,"Freilassing, Stadt",Oberzentrum,2017,33.9
09177117,"Erding, GKSt",Oberzentrum,2017,-17.6
09178124,"Freising, GKSt",Oberzentrum,2017,44.9
09180117,"Garmisch-Partenkirchen, Markt",Oberzentrum,2017,16.8
09183128,"Mühldorf a.Inn, Stadt",Oberzentrum,2017,28.7
09183148,"Waldkraiburg, Stadt",Oberzentrum,2017,-18.2
09189155,"Traunstein, GKSt",Oberzentrum,2017,49.9
09190157,"Weilheim i.OB, Stadt",Oberzentrum,2017,14.7
09261000,Landshut,Oberzentrum,2017,25.1
09262000,Passau,Oberzentrum,2017,53.6
09263000,Straubing,Oberzentrum,2017,34.9
09271119,"Deggendorf, GKSt",Oberzentrum,2017,44
09271146,"Plattling, Stadt",Oberzentrum,2017,40.3
09279112,"Dingolfing, Stadt",Oberzentrum,2017,68.8
09361000,Amberg,Oberzentrum,2017,39.5
09362000,Regensburg,Oberzentrum,2017,48.7
09363000,Weiden i.d.OPf.,Oberzentrum,2017,41.2
09372116,"Cham, Stadt",Oberzentrum,2017,58.3
09373147,"Neumarkt i.d.OPf., GKSt",Oberzentrum,2017,21.2
09377158,"Waldsassen, Stadt",Oberzentrum,2017,-1.9
09461000,Bamberg,Oberzentrum,2017,48.7
09462000,Bayreuth,Oberzentrum,2017,44.2
09463000,Coburg,Oberzentrum,2017,50.2
09464000,Hof,Oberzentrum,2017,30.9
09474126,"Forchheim, GKSt",Oberzentrum,2017,17.4
09477128,"Kulmbach, GKSt",Oberzentrum,2017,27.1
09479136,"Marktredwitz, GKSt",Oberzentrum,2017,37
09479152,"Selb, GKSt",Oberzentrum,2017,24.4
09479169,"Wunsiedel, Stadt",Oberzentrum,2017,13.4
09561000,Ansbach,Oberzentrum,2017,38
09562000,Erlangen,Oberzentrum,2017,48.6
09563000,Fürth,Oberzentrum,2017,-15.4
09564000,Nürnberg,Oberzentrum,2017,30.9
