Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,30
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,60
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,54
01004000,"Neumünster, Stadt",Oberzentrum,2017,25
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,397
03101000,"Braunschweig, Stadt",Oberzentrum,2017,77
03102000,"Salzgitter, Stadt",Oberzentrum,2017,32
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,37
03159016,"Göttingen, Stadt",Oberzentrum,2017,40
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,131
03254021,"Hildesheim, Stadt",Oberzentrum,2017,38
03351006,"Celle, Stadt",Oberzentrum,2017,29
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,24
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,52
03404000,"Osnabrück, Stadt",Oberzentrum,2017,50
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,18
04011000,"Bremen, Stadt",Oberzentrum,2017,140
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,36
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,166
05112000,"Duisburg, Stadt",Oberzentrum,2017,133
05113000,"Essen, Stadt",Oberzentrum,2017,152
05114000,"Krefeld, Stadt",Oberzentrum,2017,63
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,71
05124000,"Wuppertal, Stadt",Oberzentrum,2017,105
05314000,"Bonn, Stadt",Oberzentrum,2017,104
05315000,"Köln, Stadt",Oberzentrum,2017,271
05334002,"Aachen, Stadt",Oberzentrum,2017,74
05515000,"Münster, Stadt",Oberzentrum,2017,93
05711000,"Bielefeld, Stadt",Oberzentrum,2017,103
05774032,"Paderborn, Stadt",Oberzentrum,2017,44
05911000,"Bochum, Stadt",Oberzentrum,2017,88
05913000,"Dortmund, Stadt",Oberzentrum,2017,160
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,62
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,43
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,44
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,169
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,29
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,77
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,28
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,28
06532023,"Wetzlar, Stadt",Oberzentrum,2017,21
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,30
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,61
06631009,"Fulda, Stadt",Oberzentrum,2017,28
07111000,"Koblenz, Stadt",Oberzentrum,2017,42
07211000,"Trier, Stadt",Oberzentrum,2017,42
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,33
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,43
07315000,"Mainz, Stadt",Oberzentrum,2017,47
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,181
08121000,"Heilbronn, Stadt",Oberzentrum,2017,43
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,93
08221000,"Heidelberg, Stadt",Oberzentrum,2017,48
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,88
08231000,"Pforzheim, Stadt",Oberzentrum,2017,41
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,86
08317096,"Offenburg, Stadt",Oberzentrum,2017,33
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,36
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,24
08336050,"Lörrach, Stadt",Oberzentrum,2017,19
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,14
08415061,"Reutlingen, Stadt",Oberzentrum,2017,41
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,35
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,57
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,23
08436064,"Ravensburg, Stadt",Oberzentrum,2017,29
08436082,"Weingarten, Stadt",Oberzentrum,2017,6
09161000,Ingolstadt,Oberzentrum,2017,39
09162000,"München, Landeshauptstadt",Oberzentrum,2017,336
09163000,Rosenheim,Oberzentrum,2017,20
09171111,"Altötting, Stadt",Oberzentrum,2017,8
09171112,"Burghausen, Stadt",Oberzentrum,2017,7
09171125,"Neuötting, Stadt",Oberzentrum,2017,3
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,7
09172118,"Freilassing, Stadt",Oberzentrum,2017,5
09177117,"Erding, GKSt",Oberzentrum,2017,14
09178124,"Freising, GKSt",Oberzentrum,2017,16
09180117,"Garmisch-Partenkirchen, Markt",Oberzentrum,2017,11
09183128,"Mühldorf a.Inn, Stadt",Oberzentrum,2017,4
09183148,"Waldkraiburg, Stadt",Oberzentrum,2017,9
09189155,"Traunstein, GKSt",Oberzentrum,2017,9
09190157,"Weilheim i.OB, Stadt",Oberzentrum,2017,7
09261000,Landshut,Oberzentrum,2017,19
09262000,Passau,Oberzentrum,2017,20
09263000,Straubing,Oberzentrum,2017,21
09271119,"Deggendorf, GKSt",Oberzentrum,2017,12
09271146,"Plattling, Stadt",Oberzentrum,2017,3
09279112,"Dingolfing, Stadt",Oberzentrum,2017,7
09361000,Amberg,Oberzentrum,2017,17
09362000,Regensburg,Oberzentrum,2017,51
09363000,Weiden i.d.OPf.,Oberzentrum,2017,16
09372116,"Cham, Stadt",Oberzentrum,2017,11
09373147,"Neumarkt i.d.OPf., GKSt",Oberzentrum,2017,16
09377158,"Waldsassen, Stadt",Oberzentrum,2017,4
09461000,Bamberg,Oberzentrum,2017,33
09462000,Bayreuth,Oberzentrum,2017,26
09463000,Coburg,Oberzentrum,2017,19
09464000,Hof,Oberzentrum,2017,19
09474126,"Forchheim, GKSt",Oberzentrum,2017,12
09477128,"Kulmbach, GKSt",Oberzentrum,2017,13
09479136,"Marktredwitz, GKSt",Oberzentrum,2017,7
09479152,"Selb, GKSt",Oberzentrum,2017,7
09479169,"Wunsiedel, Stadt",Oberzentrum,2017,4
09561000,Ansbach,Oberzentrum,2017,18
09562000,Erlangen,Oberzentrum,2017,33
09563000,Fürth,Oberzentrum,2017,32
09564000,Nürnberg,Oberzentrum,2017,131
09565000,Schwabach,Oberzentrum,2017,11
09661000,Aschaffenburg,Oberzentrum,2017,30
09662000,Schweinfurt,Oberzentrum,2017,27
09663000,Würzburg,Oberzentrum,2017,48
09672114,"Bad Kissingen, GKSt",Oberzentrum,2017,9
09673114,"Bad Neustadt a.d.Saale, Stadt",Oberzentrum,2017,6
09761000,Augsburg,Oberzentrum,2017,76
09762000,Kaufbeuren,Oberzentrum,2017,16
09763000,Kempten (Allgäu),Oberzentrum,2017,26
09764000,Memmingen,Oberzentrum,2017,15
09773125,"Dillingen a.d.Donau, GKSt",Oberzentrum,2017,7
09773144,"Lauingen (Donau), Stadt",Oberzentrum,2017,4
09774135,"Günzburg, GKSt",Oberzentrum,2017,11
09774155,"Leipheim, Stadt",Oberzentrum,2017,2
09775135,"Neu-Ulm, GKSt",Oberzentrum,2017,19
09776116,"Lindau (Bodensee), GKSt",Oberzentrum,2017,12
09779131,"Donauwörth, GKSt",Oberzentrum,2017,7
09779194,"Nördlingen, GKSt",Oberzentrum,2017,8
09780124,"Immenstadt i.Allgäu, Stadt",Oberzentrum,2017,6
