Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,995327
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,2374849
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,1094379
01004000,"Neumünster, Stadt",Oberzentrum,2017,422763
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,14207379
03101000,"Braunschweig, Stadt",Oberzentrum,2017,2491304
03102000,"Salzgitter, Stadt",Oberzentrum,2017,445670
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,605797
03159016,"Göttingen, Stadt",Oberzentrum,2017,1759294
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,5698613
03254021,"Hildesheim, Stadt",Oberzentrum,2017,1147524
03351006,"Celle, Stadt",Oberzentrum,2017,401455
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,854570
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,1192029
03404000,"Osnabrück, Stadt",Oberzentrum,2017,1456377
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,340189
04011000,"Bremen, Stadt",Oberzentrum,2017,4824696
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,517960
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,5769741
05112000,"Duisburg, Stadt",Oberzentrum,2017,2636613
05113000,"Essen, Stadt",Oberzentrum,2017,5085408
05114000,"Krefeld, Stadt",Oberzentrum,2017,889358
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,1081874
05124000,"Wuppertal, Stadt",Oberzentrum,2017,1544087
05314000,"Bonn, Stadt",Oberzentrum,2017,2303657
05315000,"Köln, Stadt",Oberzentrum,2017,2151236
05334002,"Aachen, Stadt",Oberzentrum,2017,1418114
05515000,"Münster, Stadt",Oberzentrum,2017,3683837
05711000,"Bielefeld, Stadt",Oberzentrum,2017,2554097
05774032,"Paderborn, Stadt",Oberzentrum,2017,2707465
05911000,"Bochum, Stadt",Oberzentrum,2017,2725344
05913000,"Dortmund, Stadt",Oberzentrum,2017,2375388
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,1719557
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,273091
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,1188982
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,4680376
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,427056
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,1180914
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,342902
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,1290953
06532023,"Wetzlar, Stadt",Oberzentrum,2017,143475
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,824893
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,1808315
06631009,"Fulda, Stadt",Oberzentrum,2017,507884
07111000,"Koblenz, Stadt",Oberzentrum,2017,1263005
07211000,"Trier, Stadt",Oberzentrum,2017,950051
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,546224
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,524889
07315000,"Mainz, Stadt",Oberzentrum,2017,1292664
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,7630922
08121000,"Heilbronn, Stadt",Oberzentrum,2017,1177716
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,3108650
08221000,"Heidelberg, Stadt",Oberzentrum,2017,2558231
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,1656619
08231000,"Pforzheim, Stadt",Oberzentrum,2017,660881
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,2910038
08317096,"Offenburg, Stadt",Oberzentrum,2017,693495
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,418793
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,1237957
08336050,"Lörrach, Stadt",Oberzentrum,2017,394051
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,164807
08415061,"Reutlingen, Stadt",Oberzentrum,2017,1476605
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,2442195
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,1164503
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,606902
08436064,"Ravensburg, Stadt",Oberzentrum,2017,704965
08436082,"Weingarten, Stadt",Oberzentrum,2017,276389
09161000,Ingolstadt,Oberzentrum,2017,869101
09162000,"München, Landeshauptstadt",Oberzentrum,2017,15740484
09163000,Rosenheim,Oberzentrum,2017,509792
09171111,"Altötting, Stadt",Oberzentrum,2017,68478
09171112,"Burghausen, Stadt",Oberzentrum,2017,173711
09171125,"Neuötting, Stadt",Oberzentrum,2017,27638
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,56129
09172118,"Freilassing, Stadt",Oberzentrum,2017,98840
09177117,"Erding, GKSt",Oberzentrum,2017,253223
09178124,"Freising, GKSt",Oberzentrum,2017,410979
09180117,"Garmisch-Partenkirchen, Markt",Oberzentrum,2017,103866
09183128,"Mühldorf a.Inn, Stadt",Oberzentrum,2017,204352
09183148,"Waldkraiburg, Stadt",Oberzentrum,2017,122232
09189155,"Traunstein, GKSt",Oberzentrum,2017,131194
09190157,"Weilheim i.OB, Stadt",Oberzentrum,2017,162231
09261000,Landshut,Oberzentrum,2017,809227
09262000,Passau,Oberzentrum,2017,474989
09263000,Straubing,Oberzentrum,2017,333768
09271119,"Deggendorf, GKSt",Oberzentrum,2017,289899
09271146,"Plattling, Stadt",Oberzentrum,2017,59610
09279112,"Dingolfing, Stadt",Oberzentrum,2017,88903
09361000,Amberg,Oberzentrum,2017,299132
09362000,Regensburg,Oberzentrum,2017,2504837
09363000,Weiden i.d.OPf.,Oberzentrum,2017,449425
09372116,"Cham, Stadt",Oberzentrum,2017,167769
09373147,"Neumarkt i.d.OPf., GKSt",Oberzentrum,2017,305971
09377158,"Waldsassen, Stadt",Oberzentrum,2017,32134
09461000,Bamberg,Oberzentrum,2017,1342263
09462000,Bayreuth,Oberzentrum,2017,834341
09463000,Coburg,Oberzentrum,2017,235953
09464000,Hof,Oberzentrum,2017,291212
09474126,"Forchheim, GKSt",Oberzentrum,2017,224198
09477128,"Kulmbach, GKSt",Oberzentrum,2017,194418
09479136,"Marktredwitz, GKSt",Oberzentrum,2017,89884
09479152,"Selb, GKSt",Oberzentrum,2017,90694
09479169,"Wunsiedel, Stadt",Oberzentrum,2017,52699
09561000,Ansbach,Oberzentrum,2017,165582
09562000,Erlangen,Oberzentrum,2017,1751424
09563000,Fürth,Oberzentrum,2017,549988
09564000,Nürnberg,Oberzentrum,2017,2254131
09565000,Schwabach,Oberzentrum,2017,122255
09661000,Aschaffenburg,Oberzentrum,2017,529432
09662000,Schweinfurt,Oberzentrum,2017,249424
09663000,Würzburg,Oberzentrum,2017,1745697
09672114,"Bad Kissingen, GKSt",Oberzentrum,2017,111932
09673114,"Bad Neustadt a.d.Saale, Stadt",Oberzentrum,2017,225237
09761000,Augsburg,Oberzentrum,2017,1789215
09762000,Kaufbeuren,Oberzentrum,2017,232600
09763000,Kempten (Allgäu),Oberzentrum,2017,727313
09764000,Memmingen,Oberzentrum,2017,368036
09773125,"Dillingen a.d.Donau, GKSt",Oberzentrum,2017,113260
09773144,"Lauingen (Donau), Stadt",Oberzentrum,2017,30600
09774135,"Günzburg, GKSt",Oberzentrum,2017,120371
09774155,"Leipheim, Stadt",Oberzentrum,2017,9918
09775135,"Neu-Ulm, GKSt",Oberzentrum,2017,322121
09776116,"Lindau (Bodensee), GKSt",Oberzentrum,2017,133817
09779131,"Donauwörth, GKSt",Oberzentrum,2017,143540
09779194,"Nördlingen, GKSt",Oberzentrum,2017,101250
09780124,"Immenstadt i.Allgäu, Stadt",Oberzentrum,2017,85104
09780139,"Sonthofen, Stadt",Oberzentrum,2017,95607
10041100,"Saarbrücken, Landeshauptstadt",Oberzentrum,2017,1149342
11000000,"Berlin, Stadt",Oberzentrum,2017,24507836
12051000,"Brandenburg an der Havel, Stadt",Oberzentrum,2017,515983
12052000,"Cottbus, Stadt",Oberzentrum,2017,561076
12053000,"Frankfurt (Oder), Stadt",Oberzentrum,2017,87309
12054000,"Potsdam, Stadt",Oberzentrum,2017,1566528
13003000,"Rostock, Hansestadt",Oberzentrum,2017,1570648
13004000,"Schwerin, Landeshauptstadt",Oberzentrum,2017,503870
13071107,"Neubrandenburg, Stadt",Oberzentrum,2017,438231
13073088,"Stralsund, Hansestadt",Oberzentrum,2017,330542
13075039,"Greifswald, Hansestadt",Oberzentrum,2017,671735
14511000,"Chemnitz, Stadt",Oberzentrum,2017,2250871
14523320,"Plauen, Stadt",Oberzentrum,2017,313045
14524330,"Zwickau, Stadt",Oberzentrum,2017,577516
14612000,"Dresden, Stadt",Oberzentrum,2017,5153185
14625020,"Bautzen, Stadt",Oberzentrum,2017,364253
14625240,"Hoyerswerda, Stadt",Oberzentrum,2017,280495
14626110,"Görlitz, Stadt",Oberzentrum,2017,303999
14713000,"Leipzig, Stadt",Oberzentrum,2017,6122456
15001000,"Dessau-Roßlau, Stadt",Oberzentrum,2017,340614
15002000,"Halle (Saale), Stadt",Oberzentrum,2017,1611143
15003000,"Magdeburg, Landeshauptstadt",Oberzentrum,2017,1436968
16051000,"Erfurt, Stadt",Oberzentrum,2017,1388664
16052000,"Gera, Stadt",Oberzentrum,2017,434291
16053000,"Jena, Stadt",Oberzentrum,2017,1648304
