Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,2101
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,4309
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,1884
01004000,"Neumünster, Stadt",Oberzentrum,2017,2548
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,17550
03101000,"Braunschweig, Stadt",Oberzentrum,2017,2860
03102000,"Salzgitter, Stadt",Oberzentrum,2017,2406
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,2367
03159016,"Göttingen, Stadt",Oberzentrum,2017,1802
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,5182
03254021,"Hildesheim, Stadt",Oberzentrum,2017,1326
03351006,"Celle, Stadt",Oberzentrum,2017,34
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,1895
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,2731
03404000,"Osnabrück, Stadt",Oberzentrum,2017,4579
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,1684
04011000,"Bremen, Stadt",Oberzentrum,2017,10295
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,1344
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,9063
05112000,"Duisburg, Stadt",Oberzentrum,2017,2262
05113000,"Essen, Stadt",Oberzentrum,2017,7672
05114000,"Krefeld, Stadt",Oberzentrum,2017,2930
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,1998
05124000,"Wuppertal, Stadt",Oberzentrum,2017,3258
05314000,"Bonn, Stadt",Oberzentrum,2017,4014
05315000,"Köln, Stadt",Oberzentrum,2017,7342
05334002,"Aachen, Stadt",Oberzentrum,2017,4356
05515000,"Münster, Stadt",Oberzentrum,2017,3344
05711000,"Bielefeld, Stadt",Oberzentrum,2017,6067
05774032,"Paderborn, Stadt",Oberzentrum,2017,2734
05911000,"Bochum, Stadt",Oberzentrum,2017,5846
05913000,"Dortmund, Stadt",Oberzentrum,2017,5175
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,2161
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,2086
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,3447
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,9092
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,1639
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,2734
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,1131
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,2051
06532023,"Wetzlar, Stadt",Oberzentrum,2017,394
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,2626
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,5290
06631009,"Fulda, Stadt",Oberzentrum,2017,1743
07111000,"Koblenz, Stadt",Oberzentrum,2017,2596
07211000,"Trier, Stadt",Oberzentrum,2017,2261
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,2675
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,2039
07315000,"Mainz, Stadt",Oberzentrum,2017,3426
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,10894
08121000,"Heilbronn, Stadt",Oberzentrum,2017,1896
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,4698
08221000,"Heidelberg, Stadt",Oberzentrum,2017,803
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,4300
08231000,"Pforzheim, Stadt",Oberzentrum,2017,2196
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,3849
08317096,"Offenburg, Stadt",Oberzentrum,2017,1435
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,2515
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,1537
08336050,"Lörrach, Stadt",Oberzentrum,2017,1153
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,690
08415061,"Reutlingen, Stadt",Oberzentrum,2017,1322
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,827
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,2639
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,1431
08436064,"Ravensburg, Stadt",Oberzentrum,2017,2301
08436082,"Weingarten, Stadt",Oberzentrum,2017,245
09161000,Ingolstadt,Oberzentrum,2017,2084
09162000,"München, Landeshauptstadt",Oberzentrum,2017,7255
09163000,Rosenheim,Oberzentrum,2017,1426
09171111,"Altötting, Stadt",Oberzentrum,2017,0
09171112,"Burghausen, Stadt",Oberzentrum,2017,783
09171125,"Neuötting, Stadt",Oberzentrum,2017,0
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,215
09172118,"Freilassing, Stadt",Oberzentrum,2017,0
09177117,"Erding, GKSt",Oberzentrum,2017,995
09178124,"Freising, GKSt",Oberzentrum,2017,0
09180117,"Garmisch-Partenkirchen, Markt",Oberzentrum,2017,0
09183128,"Mühldorf a.Inn, Stadt",Oberzentrum,2017,932
09183148,"Waldkraiburg, Stadt",Oberzentrum,2017,1060
09189155,"Traunstein, GKSt",Oberzentrum,2017,748
09190157,"Weilheim i.OB, Stadt",Oberzentrum,2017,729
09261000,Landshut,Oberzentrum,2017,1649
09262000,Passau,Oberzentrum,2017,2053
09263000,Straubing,Oberzentrum,2017,1079
09271119,"Deggendorf, GKSt",Oberzentrum,2017,736
09271146,"Plattling, Stadt",Oberzentrum,2017,1084
09279112,"Dingolfing, Stadt",Oberzentrum,2017,454
09361000,Amberg,Oberzentrum,2017,1754
09362000,Regensburg,Oberzentrum,2017,2720
09363000,Weiden i.d.OPf.,Oberzentrum,2017,1193
09372116,"Cham, Stadt",Oberzentrum,2017,996
09373147,"Neumarkt i.d.OPf., GKSt",Oberzentrum,2017,1128
09377158,"Waldsassen, Stadt",Oberzentrum,2017,0
09461000,Bamberg,Oberzentrum,2017,1946
09462000,Bayreuth,Oberzentrum,2017,1258
09463000,Coburg,Oberzentrum,2017,1351
09464000,Hof,Oberzentrum,2017,1683
09474126,"Forchheim, GKSt",Oberzentrum,2017,817
09477128,"Kulmbach, GKSt",Oberzentrum,2017,390
09479136,"Marktredwitz, GKSt",Oberzentrum,2017,823
09479152,"Selb, GKSt",Oberzentrum,2017,0
09479169,"Wunsiedel, Stadt",Oberzentrum,2017,0
09561000,Ansbach,Oberzentrum,2017,1579
09562000,Erlangen,Oberzentrum,2017,2153
09563000,Fürth,Oberzentrum,2017,196
09564000,Nürnberg,Oberzentrum,2017,2266
09565000,Schwabach,Oberzentrum,2017,266
09661000,Aschaffenburg,Oberzentrum,2017,1790
09662000,Schweinfurt,Oberzentrum,2017,993
09663000,Würzburg,Oberzentrum,2017,2011
09672114,"Bad Kissingen, GKSt",Oberzentrum,2017,471
09673114,"Bad Neustadt a.d.Saale, Stadt",Oberzentrum,2017,0
09761000,Augsburg,Oberzentrum,2017,3389
09762000,Kaufbeuren,Oberzentrum,2017,1704
09763000,Kempten (Allgäu),Oberzentrum,2017,1218
09764000,Memmingen,Oberzentrum,2017,1261
09773125,"Dillingen a.d.Donau, GKSt",Oberzentrum,2017,570
09773144,"Lauingen (Donau), Stadt",Oberzentrum,2017,0
09774135,"Günzburg, GKSt",Oberzentrum,2017,670
09774155,"Leipheim, Stadt",Oberzentrum,2017,0
09775135,"Neu-Ulm, GKSt",Oberzentrum,2017,2650
09776116,"Lindau (Bodensee), GKSt",Oberzentrum,2017,670
09779131,"Donauwörth, GKSt",Oberzentrum,2017,548
09779194,"Nördlingen, GKSt",Oberzentrum,2017,1022
09780124,"Immenstadt i.Allgäu, Stadt",Oberzentrum,2017,360
09780139,"Sonthofen, Stadt",Oberzentrum,2017,280
10041100,"Saarbrücken, Landeshauptstadt",Oberzentrum,2017,4444
11000000,"Berlin, Stadt",Oberzentrum,2017,50141
12051000,"Brandenburg an der Havel, Stadt",Oberzentrum,2017,1478
12052000,"Cottbus, Stadt",Oberzentrum,2017,3468
12053000,"Frankfurt (Oder), Stadt",Oberzentrum,2017,2157
12054000,"Potsdam, Stadt",Oberzentrum,2017,3010
13003000,"Rostock, Hansestadt",Oberzentrum,2017,3211
13004000,"Schwerin, Landeshauptstadt",Oberzentrum,2017,2499
13071107,"Neubrandenburg, Stadt",Oberzentrum,2017,1833
13073088,"Stralsund, Hansestadt",Oberzentrum,2017,1173
13075039,"Greifswald, Hansestadt",Oberzentrum,2017,989
14511000,"Chemnitz, Stadt",Oberzentrum,2017,2953
14523320,"Plauen, Stadt",Oberzentrum,2017,1162
14524330,"Zwickau, Stadt",Oberzentrum,2017,1350
14612000,"Dresden, Stadt",Oberzentrum,2017,11692
14625020,"Bautzen, Stadt",Oberzentrum,2017,664
14625240,"Hoyerswerda, Stadt",Oberzentrum,2017,999
14626110,"Görlitz, Stadt",Oberzentrum,2017,778
14713000,"Leipzig, Stadt",Oberzentrum,2017,6978
15001000,"Dessau-Roßlau, Stadt",Oberzentrum,2017,1422
15002000,"Halle (Saale), Stadt",Oberzentrum,2017,4274
15003000,"Magdeburg, Landeshauptstadt",Oberzentrum,2017,5915
16051000,"Erfurt, Stadt",Oberzentrum,2017,2260
16052000,"Gera, Stadt",Oberzentrum,2017,1934
