Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,2438
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,6763
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,5250
01004000,"Neumünster, Stadt",Oberzentrum,2017,2390
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,57143
03101000,"Braunschweig, Stadt",Oberzentrum,2017,7744
03102000,"Salzgitter, Stadt",Oberzentrum,2017,3922
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,4230
03159016,"Göttingen, Stadt",Oberzentrum,2017,3590
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,17192
03254021,"Hildesheim, Stadt",Oberzentrum,2017,3405
03351006,"Celle, Stadt",Oberzentrum,2017,2600
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,2828
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,5538
03404000,"Osnabrück, Stadt",Oberzentrum,2017,5433
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,2310
04011000,"Bremen, Stadt",Oberzentrum,2017,18470
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,4363
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,21225
05112000,"Duisburg, Stadt",Oberzentrum,2017,17540
05113000,"Essen, Stadt",Oberzentrum,2017,19493
05114000,"Krefeld, Stadt",Oberzentrum,2017,8053
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,9156
05124000,"Wuppertal, Stadt",Oberzentrum,2017,12343
05314000,"Bonn, Stadt",Oberzentrum,2017,12071
05315000,"Köln, Stadt",Oberzentrum,2017,37465
05334002,"Aachen, Stadt",Oberzentrum,2017,7400
05515000,"Münster, Stadt",Oberzentrum,2017,9889
05711000,"Bielefeld, Stadt",Oberzentrum,2017,12241
05774032,"Paderborn, Stadt",Oberzentrum,2017,5398
05911000,"Bochum, Stadt",Oberzentrum,2017,11262
05913000,"Dortmund, Stadt",Oberzentrum,2017,20757
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,6788
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,3251
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,4859
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,22159
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,4413
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,10156
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,3407
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,2110
06532023,"Wetzlar, Stadt",Oberzentrum,2017,2317
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,1822
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,5689
06631009,"Fulda, Stadt",Oberzentrum,2017,2142
07111000,"Koblenz, Stadt",Oberzentrum,2017,3496
07211000,"Trier, Stadt",Oberzentrum,2017,3151
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,2988
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,6207
07315000,"Mainz, Stadt",Oberzentrum,2017,6679
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,12969
08121000,"Heilbronn, Stadt",Oberzentrum,2017,2140
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,5515
08221000,"Heidelberg, Stadt",Oberzentrum,2017,3613
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,8426
08231000,"Pforzheim, Stadt",Oberzentrum,2017,1900
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,5872
08317096,"Offenburg, Stadt",Oberzentrum,2017,1004
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,2192
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,1994
08336050,"Lörrach, Stadt",Oberzentrum,2017,1214
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,1184
08415061,"Reutlingen, Stadt",Oberzentrum,2017,2159
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,2306
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,3486
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,837
08436064,"Ravensburg, Stadt",Oberzentrum,2017,1377
08436082,"Weingarten, Stadt",Oberzentrum,2017,314
09161000,Ingolstadt,Oberzentrum,2017,4227
09162000,"München, Landeshauptstadt",Oberzentrum,2017,43009
09163000,Rosenheim,Oberzentrum,2017,2047
09171111,"Altötting, Stadt",Oberzentrum,2017,375
