Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,129
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,95
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,96
01004000,"Neumünster, Stadt",Oberzentrum,2017,136
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,100
03101000,"Braunschweig, Stadt",Oberzentrum,2017,104
03102000,"Salzgitter, Stadt",Oberzentrum,2017,101
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,121
03159016,"Göttingen, Stadt",Oberzentrum,2017,116
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,101
03254021,"Hildesheim, Stadt",Oberzentrum,2017,146
03351006,"Celle, Stadt",Oberzentrum,2017,130
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,145
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,115
03404000,"Osnabrück, Stadt",Oberzentrum,2017,121
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,93
04011000,"Bremen, Stadt",Oberzentrum,2017,93
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,108
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,97
05112000,"Duisburg, Stadt",Oberzentrum,2017,103
05113000,"Essen, Stadt",Oberzentrum,2017,101
05114000,"Krefeld, Stadt",Oberzentrum,2017,114
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,109
05124000,"Wuppertal, Stadt",Oberzentrum,2017,107
05314000,"Bonn, Stadt",Oberzentrum,2017,126
05315000,"Köln, Stadt",Oberzentrum,2017,99
05334002,"Aachen, Stadt",Oberzentrum,2017,105
05515000,"Münster, Stadt",Oberzentrum,2017,105
05711000,"Bielefeld, Stadt",Oberzentrum,2017,118
05774032,"Paderborn, Stadt",Oberzentrum,2017,131
05911000,"Bochum, Stadt",Oberzentrum,2017,100
05913000,"Dortmund, Stadt",Oberzentrum,2017,103
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,117
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,122
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,117
