Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,11464
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,23718
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,20873
01004000,"Neumünster, Stadt",Oberzentrum,2017,10817
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,183253
03101000,"Braunschweig, Stadt",Oberzentrum,2017,25985
03102000,"Salzgitter, Stadt",Oberzentrum,2017,10649
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,15112
03159016,"Göttingen, Stadt",Oberzentrum,2017,13943
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,54380
03254021,"Hildesheim, Stadt",Oberzentrum,2017,14953
03351006,"Celle, Stadt",Oberzentrum,2017,9115
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,10944
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,19348
03404000,"Osnabrück, Stadt",Oberzentrum,2017,20049
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,7116
04011000,"Bremen, Stadt",Oberzentrum,2017,52973
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,12291
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,60357
05112000,"Duisburg, Stadt",Oberzentrum,2017,51676
05113000,"Essen, Stadt",Oberzentrum,2017,59423
05114000,"Krefeld, Stadt",Oberzentrum,2017,25917
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,28712
05124000,"Wuppertal, Stadt",Oberzentrum,2017,38028
05314000,"Bonn, Stadt",Oberzentrum,2017,41037
05315000,"Köln, Stadt",Oberzentrum,2017,107002
05334002,"Aachen, Stadt",Oberzentrum,2017,25976
05515000,"Münster, Stadt",Oberzentrum,2017,32988
05711000,"Bielefeld, Stadt",Oberzentrum,2017,39404
05774032,"Paderborn, Stadt",Oberzentrum,2017,19557
05911000,"Bochum, Stadt",Oberzentrum,2017,36862
05913000,"Dortmund, Stadt",Oberzentrum,2017,60619
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,21991
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,12496
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,18600
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,68646
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,13722
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,30389
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,12161
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,12168
