Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,7122
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,13659
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,16083
01004000,"Neumünster, Stadt",Oberzentrum,2017,7939
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,53372
03101000,"Braunschweig, Stadt",Oberzentrum,2017,13168
03102000,"Salzgitter, Stadt",Oberzentrum,2017,3315
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,5950
03159016,"Göttingen, Stadt",Oberzentrum,2017,6070
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,31544
03254021,"Hildesheim, Stadt",Oberzentrum,2017,7687
03351006,"Celle, Stadt",Oberzentrum,2017,5975
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,6781
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,13035
03404000,"Osnabrück, Stadt",Oberzentrum,2017,16842
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,2988
04011000,"Bremen, Stadt",Oberzentrum,2017,20545
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,5202
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,29636
05112000,"Duisburg, Stadt",Oberzentrum,2017,17150
05113000,"Essen, Stadt",Oberzentrum,2017,23174
05114000,"Krefeld, Stadt",Oberzentrum,2017,10560
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,10421
05124000,"Wuppertal, Stadt",Oberzentrum,2017,11705
05314000,"Bonn, Stadt",Oberzentrum,2017,15474
05315000,"Köln, Stadt",Oberzentrum,2017,45963
05334002,"Aachen, Stadt",Oberzentrum,2017,12246
05515000,"Münster, Stadt",Oberzentrum,2017,21470
05711000,"Bielefeld, Stadt",Oberzentrum,2017,18224
05774032,"Paderborn, Stadt",Oberzentrum,2017,11971
05911000,"Bochum, Stadt",Oberzentrum,2017,13355
05913000,"Dortmund, Stadt",Oberzentrum,2017,25390
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,10034
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,10177
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,11357
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,29698
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,6864
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,11584
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,7529
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,9120
06532023,"Wetzlar, Stadt",Oberzentrum,2017,5788
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,5971
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,15887
06631009,"Fulda, Stadt",Oberzentrum,2017,8032
07111000,"Koblenz, Stadt",Oberzentrum,2017,10463
07211000,"Trier, Stadt",Oberzentrum,2017,9089
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,6913
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,12737
07315000,"Mainz, Stadt",Oberzentrum,2017,10142
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,39486
08121000,"Heilbronn, Stadt",Oberzentrum,2017,14644
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,19396
08221000,"Heidelberg, Stadt",Oberzentrum,2017,9703
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,16212
08231000,"Pforzheim, Stadt",Oberzentrum,2017,9290
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,17425
08317096,"Offenburg, Stadt",Oberzentrum,2017,6194
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,7848
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,2595
08336050,"Lörrach, Stadt",Oberzentrum,2017,4274
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,45
08415061,"Reutlingen, Stadt",Oberzentrum,2017,9079
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,6214
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,13049
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,4353
08436064,"Ravensburg, Stadt",Oberzentrum,2017,5908
08436082,"Weingarten, Stadt",Oberzentrum,2017,3506
09161000,Ingolstadt,Oberzentrum,2017,9019
09162000,"München, Landeshauptstadt",Oberzentrum,2017,62692
09163000,Rosenheim,Oberzentrum,2017,6135
09171111,"Altötting, Stadt",Oberzentrum,2017,3766
09171112,"Burghausen, Stadt",Oberzentrum,2017,48
09171125,"Neuötting, Stadt",Oberzentrum,2017,53
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,202
