Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,76
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,46
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,33
01004000,"Neumünster, Stadt",Oberzentrum,2017,81
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,63
03101000,"Braunschweig, Stadt",Oberzentrum,2017,66
03102000,"Salzgitter, Stadt",Oberzentrum,2017,60
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,78
03159016,"Göttingen, Stadt",Oberzentrum,2017,81
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,62
03254021,"Hildesheim, Stadt",Oberzentrum,2017,106
03351006,"Celle, Stadt",Oberzentrum,2017,84
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,103
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,75
03404000,"Osnabrück, Stadt",Oberzentrum,2017,81
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,60
04011000,"Bremen, Stadt",Oberzentrum,2017,59
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,69
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,56
05112000,"Duisburg, Stadt",Oberzentrum,2017,63
05113000,"Essen, Stadt",Oberzentrum,2017,60
05114000,"Krefeld, Stadt",Oberzentrum,2017,68
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,68
05124000,"Wuppertal, Stadt",Oberzentrum,2017,64
05314000,"Bonn, Stadt",Oberzentrum,2017,79
05315000,"Köln, Stadt",Oberzentrum,2017,57
05334002,"Aachen, Stadt",Oberzentrum,2017,65
05515000,"Münster, Stadt",Oberzentrum,2017,62
05711000,"Bielefeld, Stadt",Oberzentrum,2017,68
05774032,"Paderborn, Stadt",Oberzentrum,2017,83
05911000,"Bochum, Stadt",Oberzentrum,2017,58
05913000,"Dortmund, Stadt",Oberzentrum,2017,59
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,70
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,77
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,61
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,43
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,54
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,60
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,82
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,82
06532023,"Wetzlar, Stadt",Oberzentrum,2017,54
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,55
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,61
06631009,"Fulda, Stadt",Oberzentrum,2017,87
07111000,"Koblenz, Stadt",Oberzentrum,2017,76
07211000,"Trier, Stadt",Oberzentrum,2017,71
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,85
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,61
07315000,"Mainz, Stadt",Oberzentrum,2017,66
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,44
08121000,"Heilbronn, Stadt",Oberzentrum,2017,52
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,45
08221000,"Heidelberg, Stadt",Oberzentrum,2017,47
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,56
08231000,"Pforzheim, Stadt",Oberzentrum,2017,60
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,55
08317096,"Offenburg, Stadt",Oberzentrum,2017,76
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,52
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,54
08336050,"Lörrach, Stadt",Oberzentrum,2017,54
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,76
08415061,"Reutlingen, Stadt",Oberzentrum,2017,55
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,64
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,69
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,53
08436064,"Ravensburg, Stadt",Oberzentrum,2017,84
08436082,"Weingarten, Stadt",Oberzentrum,2017,58
09161000,Ingolstadt,Oberzentrum,2017,68
09162000,"München, Landeshauptstadt",Oberzentrum,2017,49
09163000,Rosenheim,Oberzentrum,2017,89
09171111,"Altötting, Stadt",Oberzentrum,2017,286
09171112,"Burghausen, Stadt",Oberzentrum,2017,111
09171125,"Neuötting, Stadt",Oberzentrum,2017,20
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,94
09172118,"Freilassing, Stadt",Oberzentrum,2017,79
09177117,"Erding, GKSt",Oberzentrum,2017,138
09178124,"Freising, GKSt",Oberzentrum,2017,91
09180117,"Garmisch-Partenkirchen, Markt",Oberzentrum,2017,101
09183128,"Mühldorf a.Inn, Stadt",Oberzentrum,2017,64
09183148,"Waldkraiburg, Stadt",Oberzentrum,2017,113
