Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,9651
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,34869
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,10651
01004000,"Neumünster, Stadt",Oberzentrum,2017,0
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,107912
03101000,"Braunschweig, Stadt",Oberzentrum,2017,21116
03102000,"Salzgitter, Stadt",Oberzentrum,2017,2422
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,3092
03159016,"Göttingen, Stadt",Oberzentrum,2017,35670
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,49380
03254021,"Hildesheim, Stadt",Oberzentrum,2017,11454
03351006,"Celle, Stadt",Oberzentrum,2017,0
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,9736
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,17451
03404000,"Osnabrück, Stadt",Oberzentrum,2017,25605
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,4592
04011000,"Bremen, Stadt",Oberzentrum,2017,34813
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,2986
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,56887
05112000,"Duisburg, Stadt",Oberzentrum,2017,23872
05113000,"Essen, Stadt",Oberzentrum,2017,27552
05114000,"Krefeld, Stadt",Oberzentrum,2017,6059
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,8440
05124000,"Wuppertal, Stadt",Oberzentrum,2017,22776
05314000,"Bonn, Stadt",Oberzentrum,2017,39836
05315000,"Köln, Stadt",Oberzentrum,2017,102020
05334002,"Aachen, Stadt",Oberzentrum,2017,57573
05515000,"Münster, Stadt",Oberzentrum,2017,60089
05711000,"Bielefeld, Stadt",Oberzentrum,2017,38175
05774032,"Paderborn, Stadt",Oberzentrum,2017,21990
05911000,"Bochum, Stadt",Oberzentrum,2017,58137
05913000,"Dortmund, Stadt",Oberzentrum,2017,54221
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,71823
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,20119
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,46147
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,72124
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,754
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,11902
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,0
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,40082
06532023,"Wetzlar, Stadt",Oberzentrum,2017,1355
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,25762
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,30496
06631009,"Fulda, Stadt",Oberzentrum,2017,8861
07111000,"Koblenz, Stadt",Oberzentrum,2017,15228
07211000,"Trier, Stadt",Oberzentrum,2017,18136
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,17365
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,4478
07315000,"Mainz, Stadt",Oberzentrum,2017,37449
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,62728
08121000,"Heilbronn, Stadt",Oberzentrum,2017,8268
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,41668
08221000,"Heidelberg, Stadt",Oberzentrum,2017,35126
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,28373
08231000,"Pforzheim, Stadt",Oberzentrum,2017,6093
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,32752
08317096,"Offenburg, Stadt",Oberzentrum,2017,4390
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,6314
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,16211
08336050,"Lörrach, Stadt",Oberzentrum,2017,2079
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,0
08415061,"Reutlingen, Stadt",Oberzentrum,2017,5761
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,27318
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,14600
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,2265
08436064,"Ravensburg, Stadt",Oberzentrum,2017,4227
08436082,"Weingarten, Stadt",Oberzentrum,2017,5284
09161000,Ingolstadt,Oberzentrum,2017,6396
09162000,"München, Landeshauptstadt",Oberzentrum,2017,106383
09163000,Rosenheim,Oberzentrum,2017,5437
09171111,"Altötting, Stadt",Oberzentrum,2017,0
09171112,"Burghausen, Stadt",Oberzentrum,2017,178
09171125,"Neuötting, Stadt",Oberzentrum,2017,0
09172114,"Bad Reichenhall, GKSt",Oberzentrum,2017,0
09172118,"Freilassing, Stadt",Oberzentrum,2017,0
09177117,"Erding, GKSt",Oberzentrum,2017,0
09178124,"Freising, GKSt",Oberzentrum,2017,8801
09180117,"Garmisch-Partenkirchen, Markt",Oberzentrum,2017,0
09183128,"Mühldorf a.Inn, Stadt",Oberzentrum,2017,273
09183148,"Waldkraiburg, Stadt",Oberzentrum,2017,0
09189155,"Traunstein, GKSt",Oberzentrum,2017,0
09190157,"Weilheim i.OB, Stadt",Oberzentrum,2017,0
09261000,Landshut,Oberzentrum,2017,4926
09262000,Passau,Oberzentrum,2017,12742
09263000,Straubing,Oberzentrum,2017,495
09271119,"Deggendorf, GKSt",Oberzentrum,2017,6427
09271146,"Plattling, Stadt",Oberzentrum,2017,0
09279112,"Dingolfing, Stadt",Oberzentrum,2017,0
09361000,Amberg,Oberzentrum,2017,1661
09362000,Regensburg,Oberzentrum,2017,32212
09363000,Weiden i.d.OPf.,Oberzentrum,2017,1435
09372116,"Cham, Stadt",Oberzentrum,2017,0
09373147,"Neumarkt i.d.OPf., GKSt",Oberzentrum,2017,0
09377158,"Waldsassen, Stadt",Oberzentrum,2017,0
09461000,Bamberg,Oberzentrum,2017,12984
