Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,109.03
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,140.63
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,49.24
01004000,"Neumünster, Stadt",Oberzentrum,2017,0
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,58.95
03101000,"Braunschweig, Stadt",Oberzentrum,2017,85.14
03102000,"Salzgitter, Stadt",Oberzentrum,2017,23.17
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,24.95
03159016,"Göttingen, Stadt",Oberzentrum,2017,298.42
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,92.29
03254021,"Hildesheim, Stadt",Oberzentrum,2017,112.58
03351006,"Celle, Stadt",Oberzentrum,2017,0
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,129.48
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,104.45
03404000,"Osnabrück, Stadt",Oberzentrum,2017,155.77
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,60.17
04011000,"Bremen, Stadt",Oberzentrum,2017,61.29
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,26.42
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,92.16
05112000,"Duisburg, Stadt",Oberzentrum,2017,47.93
05113000,"Essen, Stadt",Oberzentrum,2017,47.23
05114000,"Krefeld, Stadt",Oberzentrum,2017,26.73
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,32.19
05124000,"Wuppertal, Stadt",Oberzentrum,2017,64.41
05314000,"Bonn, Stadt",Oberzentrum,2017,122.39
05315000,"Köln, Stadt",Oberzentrum,2017,94.43
05334002,"Aachen, Stadt",Oberzentrum,2017,233.78
05515000,"Münster, Stadt",Oberzentrum,2017,191.64
05711000,"Bielefeld, Stadt",Oberzentrum,2017,114.79
05774032,"Paderborn, Stadt",Oberzentrum,2017,147.51
05911000,"Bochum, Stadt",Oberzentrum,2017,159.05
05913000,"Dortmund, Stadt",Oberzentrum,2017,92.43
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,382.59
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,196.6
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,291.6
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,96.57
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,5.95
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,42.71
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,0
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,458.9
06532023,"Wetzlar, Stadt",Oberzentrum,2017,25.65
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,337.97
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,151.92
06631009,"Fulda, Stadt",Oberzentrum,2017,130.36
07111000,"Koblenz, Stadt",Oberzentrum,2017,133.76
07211000,"Trier, Stadt",Oberzentrum,2017,164.85
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,174.2
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,26.58
07315000,"Mainz, Stadt",Oberzentrum,2017,174.09
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,99.14
08121000,"Heilbronn, Stadt",Oberzentrum,2017,66.08
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,133.59
08221000,"Heidelberg, Stadt",Oberzentrum,2017,218.72
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,92.12
08231000,"Pforzheim, Stadt",Oberzentrum,2017,49.02
