Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Oberzentrum,2017,10
01002000,"Kiel, Landeshauptstadt",Oberzentrum,2017,19
01003000,"Lübeck, Hansestadt",Oberzentrum,2017,10
01004000,"Neumünster, Stadt",Oberzentrum,2017,9
02000000,"Hamburg, Freie und Hansestadt",Oberzentrum,2017,150
03101000,"Braunschweig, Stadt",Oberzentrum,2017,26
03102000,"Salzgitter, Stadt",Oberzentrum,2017,13
03103000,"Wolfsburg, Stadt",Oberzentrum,2017,15
03159016,"Göttingen, Stadt",Oberzentrum,2017,14
03241001,"Hannover, Landeshauptstadt",Oberzentrum,2017,50
03254021,"Hildesheim, Stadt",Oberzentrum,2017,15
03351006,"Celle, Stadt",Oberzentrum,2017,8
03355022,"Lüneburg, Hansestadt",Oberzentrum,2017,9
03403000,"Oldenburg (Oldenburg), Stadt",Oberzentrum,2017,16
03404000,"Osnabrück, Stadt",Oberzentrum,2017,17
03405000,"Wilhelmshaven, Stadt",Oberzentrum,2017,6
04011000,"Bremen, Stadt",Oberzentrum,2017,48
04012000,"Bremerhaven, Stadt",Oberzentrum,2017,16
05111000,"Düsseldorf, Stadt",Oberzentrum,2017,60
05112000,"Duisburg, Stadt",Oberzentrum,2017,42
05113000,"Essen, Stadt",Oberzentrum,2017,48
05114000,"Krefeld, Stadt",Oberzentrum,2017,25
05116000,"Mönchengladbach, Stadt",Oberzentrum,2017,28
05124000,"Wuppertal, Stadt",Oberzentrum,2017,36
05314000,"Bonn, Stadt",Oberzentrum,2017,42
05315000,"Köln, Stadt",Oberzentrum,2017,95
05334002,"Aachen, Stadt",Oberzentrum,2017,23
05515000,"Münster, Stadt",Oberzentrum,2017,33
05711000,"Bielefeld, Stadt",Oberzentrum,2017,36
05774032,"Paderborn, Stadt",Oberzentrum,2017,16
05911000,"Bochum, Stadt",Oberzentrum,2017,28
05913000,"Dortmund, Stadt",Oberzentrum,2017,50
05914000,"Hagen, Stadt der FernUniversität",Oberzentrum,2017,25
05970040,"Siegen, Universitätsstadt",Oberzentrum,2017,16
06411000,"Darmstadt, Wissenschaftsstadt",Oberzentrum,2017,13
06412000,"Frankfurt am Main, Stadt",Oberzentrum,2017,47
06413000,"Offenbach am Main, Stadt",Oberzentrum,2017,8
06414000,"Wiesbaden, Landeshauptstadt",Oberzentrum,2017,24
06435014,"Hanau, Brüder-Grimm-Stadt",Oberzentrum,2017,9
06531005,"Gießen, Universitätsstadt",Oberzentrum,2017,7
06532023,"Wetzlar, Stadt",Oberzentrum,2017,4
06534014,"Marburg, Universitätsstadt",Oberzentrum,2017,6
06611000,"Kassel, documenta-Stadt",Oberzentrum,2017,16
06631009,"Fulda, Stadt",Oberzentrum,2017,7
07111000,"Koblenz, Stadt",Oberzentrum,2017,13
07211000,"Trier, Stadt",Oberzentrum,2017,12
07312000,"Kaiserslautern, Stadt",Oberzentrum,2017,11
07314000,"Ludwigshafen am Rhein, Stadt",Oberzentrum,2017,14
07315000,"Mainz, Stadt",Oberzentrum,2017,16
08111000,"Stuttgart, Landeshauptstadt",Oberzentrum,2017,52
08121000,"Heilbronn, Stadt",Oberzentrum,2017,10
08212000,"Karlsruhe, Stadt",Oberzentrum,2017,26
08221000,"Heidelberg, Stadt",Oberzentrum,2017,12
08222000,"Mannheim, Universitätsstadt",Oberzentrum,2017,30
08231000,"Pforzheim, Stadt",Oberzentrum,2017,12
08311000,"Freiburg im Breisgau, Stadt",Oberzentrum,2017,23
08317096,"Offenburg, Stadt",Oberzentrum,2017,8
08326074,"Villingen-Schwenningen, Stadt",Oberzentrum,2017,6
08335043,"Konstanz, Universitätsstadt",Oberzentrum,2017,6
08336050,"Lörrach, Stadt",Oberzentrum,2017,3
08336091,"Weil am Rhein, Stadt",Oberzentrum,2017,4
08415061,"Reutlingen, Stadt",Oberzentrum,2017,9
08416041,"Tübingen, Universitätsstadt",Oberzentrum,2017,8
08421000,"Ulm, Universitätsstadt",Oberzentrum,2017,15
08435016,"Friedrichshafen, Stadt",Oberzentrum,2017,5
08436064,"Ravensburg, Stadt",Oberzentrum,2017,11
08436082,"Weingarten, Stadt",Oberzentrum,2017,2
