Kennziffer;Raumeinheit;Aggregat;Zentralörtlicher Status;Zentralörtlicher Status (zusammengefasst);Zentralörtlicher Status (differenziert);Stadt-/Gemeindetyp;Raumtyp nach Lage;Bevölkerung;Fläche;Einwohnerdichte;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte
;;;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017
"01001000";"Flensburg, Stadt";"Gemeinde";"1";"1";"10";"20";"2";"88.519";"56,00";"1.560,0";"52,0";"2.945,0"
"01002000";"Kiel, Landeshauptstadt";"Gemeinde";"1";"1";"10";"10";"2";"247.943";"118,00";"2.089,0";"54,0";"3.842,0"
"01003000";"Lübeck, Hansestadt";"Gemeinde";"1";"1";"10";"10";"1";"216.318";"214,00";"1.009,0";"37,0";"2.678,0"
"01004000";"Neumünster, Stadt";"Gemeinde";"1";"1";"10";"20";"2";"79.335";"71,00";"1.107,0";"50,0";"2.183,0"
"01051001";"Albersdorf";"Gemeinde";"1";"3";"50";"40";"3";"3.717";"17,00";"217,0";"19,0";"1.099,0"
"01051002";"Arkebek";"Gemeinde";"0";"0";"0";"40";"3";"198";"6,00";"28,0";"9,0";"300,0"
"01051003";"Averlak";"Gemeinde";"0";"0";"0";"50";"4";"566";"9,00";"62,0";"7,0";"884,0"
"01051004";"Bargenstedt";"Gemeinde";"0";"0";"0";"40";"4";"939";"11,00";"78,0";"11,0";"711,0"
"01051005";"Barkenholm";"Gemeinde";"0";"0";"0";"50";"4";"160";"5,00";"31,0";"6,0";"470,0"
"01051006";"Barlt";"Gemeinde";"0";"0";"0";"40";"4";"763";"22,00";"33,0";"6,0";"512,0"
"01051008";"Bergewöhrden";"Gemeinde";"0";"0";"0";"50";"4";"33";"2,00";"12,0";"4,0";"275,0"
"01051010";"Brickeln";"Gemeinde";"0";"0";"0";"50";"4";"220";"6,00";"36,0";"11,0";"328,0"
"01051011";"Brunsbüttel, Stadt";"Gemeinde";"1";"2";"30";"30";"4";"12.704";"65,00";"194,0";"21,0";"885,0"
"01051012";"Buchholz";"Gemeinde";"0";"0";"0";"50";"4";"1.010";"14,00";"69,0";"10,0";"639,0"
"01051013";"Büsum";"Gemeinde";"1";"3";"50";"50";"4";"4.867";"8,00";"573,0";"39,0";"1.439,0"
"01051014";"Büsumer Deichhausen";"Gemeinde";"0";"0";"0";"50";"4";"361";"2,00";"125,0";"13,0";"950,0"
"01051015";"Bunsoh";"Gemeinde";"0";"0";"0";"40";"3";"782";"11,00";"66,0";"13,0";"501,0"
"01051016";"Burg (Dithmarschen)";"Gemeinde";"1";"3";"50";"50";"4";"4.141";"11,00";"368,0";"23,0";"1.580,0"
"01051017";"Busenwurth";"Gemeinde";"0";"0";"0";"40";"4";"316";"10,00";"31,0";"5,0";"526,0"
"01051019";"Dellstedt";"Gemeinde";"0";"0";"0";"50";"3";"741";"21,00";"34,0";"6,0";"565,0"
"01051020";"Delve";"Gemeinde";"0";"0";"0";"50";"4";"696";"15,00";"43,0";"6,0";"632,0"
"01051021";"Diekhusen-Fahrstedt";"Gemeinde";"0";"0";"0";"40";"4";"712";"7,00";"95,0";"10,0";"924,0"
"01051022";"Dingen";"Gemeinde";"0";"0";"0";"50";"4";"621";"7,00";"88,0";"11,0";"796,0"
"01051023";"Dörpling";"Gemeinde";"0";"0";"0";"50";"3";"602";"7,00";"76,0";"10,0";"725,0"
"01051024";"Eddelak";"Gemeinde";"0";"0";"0";"50";"4";"1.361";"9,00";"147,0";"14,0";"1.038,0"
"01051026";"Eggstedt";"Gemeinde";"0";"0";"0";"50";"4";"745";"12,00";"58,0";"8,0";"671,0"
"01051027";"Elpersbüttel";"Gemeinde";"0";"0";"0";"40";"4";"865";"30,00";"28,0";"5,0";"502,0"
"01051028";"Epenwöhrden";"Gemeinde";"0";"0";"0";"40";"4";"786";"13,00";"58,0";"8,0";"714,0"
"01051030";"Fedderingen";"Gemeinde";"0";"0";"0";"50";"4";"286";"9,00";"29,0";"6,0";"468,0"
"01051032";"Frestedt";"Gemeinde";"0";"0";"0";"50";"4";"344";"10,00";"33,0";"7,0";"471,0"
"01051033";"Friedrichsgabekoog";"Gemeinde";"0";"0";"0";"50";"4";"54";"8,00";"6,0";"8,0";"78,0"
"01051034";"Friedrichskoog";"Gemeinde";"0";"0";"0";"40";"4";"2.570";"53,00";"48,0";"8,0";"567,0"
"01051035";"Gaushorn";"Gemeinde";"0";"0";"0";"50";"3";"170";"6,00";"26,0";"6,0";"425,0"
"01051036";"Glüsing";"Gemeinde";"0";"0";"0";"50";"4";"110";"4,00";"23,0";"10,0";"220,0"
"01051037";"Großenrade";"Gemeinde";"0";"0";"0";"50";"4";"470";"10,00";"45,0";"8,0";"540,0"
"01051038";"Groven";"Gemeinde";"0";"0";"0";"50";"4";"86";"7,00";"10,0";"6,0";"179,0"
"01051039";"Gudendorf";"Gemeinde";"0";"0";"0";"40";"4";"376";"6,00";"62,0";"11,0";"522,0"
"01051043";"Hedwigenkoog";"Gemeinde";"0";"0";"0";"50";"4";"216";"16,00";"13,0";"5,0";"263,0"
"01051044";"Heide, Stadt";"Gemeinde";"1";"2";"30";"20";"3";"21.699";"31,00";"678,0";"34,0";"1.958,0"
"01051045";"Hellschen-Heringsand-Unterschaar";"Gemeinde";"0";"0";"0";"50";"4";"170";"7,00";"24,0";"6,0";"386,0"
"01051046";"Helse";"Gemeinde";"0";"0";"0";"40";"4";"836";"11,00";"73,0";"10,0";"696,0"
"01051047";"Hemme";"Gemeinde";"0";"0";"0";"50";"4";"493";"16,00";"29,0";"9,0";"328,0"
"01051048";"Hemmingstedt";"Gemeinde";"0";"0";"0";"50";"3";"2.863";"16,00";"178,0";"21,0";"827,0"
"01051049";"Hennstedt";"Gemeinde";"1";"3";"70";"50";"4";"1.940";"21,00";"88,0";"14,0";"591,0"
"01051050";"Hillgroven";"Gemeinde";"0";"0";"0";"50";"4";"65";"3,00";"18,0";"7,0";"250,0"
"01051051";"Hochdonn";"Gemeinde";"0";"0";"0";"50";"4";"1.101";"5,00";"201,0";"20,0";"983,0"
