Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Gemeinde,2017,1560
01002000,"Kiel, Landeshauptstadt",Gemeinde,2017,2089
01003000,"Lübeck, Hansestadt",Gemeinde,2017,1009
01004000,"Neumünster, Stadt",Gemeinde,2017,1107
01051001,Albersdorf,Gemeinde,2017,217
01051002,Arkebek,Gemeinde,2017,28
01051003,Averlak,Gemeinde,2017,62
01051004,Bargenstedt,Gemeinde,2017,78
01051005,Barkenholm,Gemeinde,2017,31
01051006,Barlt,Gemeinde,2017,33
01051008,Bergewöhrden,Gemeinde,2017,12
01051010,Brickeln,Gemeinde,2017,36
01051011,"Brunsbüttel, Stadt",Gemeinde,2017,194
01051012,Buchholz,Gemeinde,2017,69
01051013,Büsum,Gemeinde,2017,573
01051014,Büsumer Deichhausen,Gemeinde,2017,125
01051015,Bunsoh,Gemeinde,2017,66
01051016,Burg (Dithmarschen),Gemeinde,2017,368
01051017,Busenwurth,Gemeinde,2017,31
01051019,Dellstedt,Gemeinde,2017,34
01051020,Delve,Gemeinde,2017,43
01051021,Diekhusen-Fahrstedt,Gemeinde,2017,95
01051022,Dingen,Gemeinde,2017,88
01051023,Dörpling,Gemeinde,2017,76
01051024,Eddelak,Gemeinde,2017,147
01051026,Eggstedt,Gemeinde,2017,58
01051027,Elpersbüttel,Gemeinde,2017,28
01051028,Epenwöhrden,Gemeinde,2017,58
01051030,Fedderingen,Gemeinde,2017,29
01051032,Frestedt,Gemeinde,2017,33
01051033,Friedrichsgabekoog,Gemeinde,2017,6
01051034,Friedrichskoog,Gemeinde,2017,48
01051035,Gaushorn,Gemeinde,2017,26
01051036,Glüsing,Gemeinde,2017,23
01051037,Großenrade,Gemeinde,2017,45
01051038,Groven,Gemeinde,2017,10
01051039,Gudendorf,Gemeinde,2017,62
01051043,Hedwigenkoog,Gemeinde,2017,13
01051044,"Heide, Stadt",Gemeinde,2017,678
01051045,Hellschen-Heringsand-Unterschaar,Gemeinde,2017,24
01051046,Helse,Gemeinde,2017,73
01051047,Hemme,Gemeinde,2017,29
01051048,Hemmingstedt,Gemeinde,2017,178
01051049,Hennstedt,Gemeinde,2017,88
01051050,Hillgroven,Gemeinde,2017,18
01051051,Hochdonn,Gemeinde,2017,201
01051052,Hövede,Gemeinde,2017,20
