Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Gemeinde,2017,2945
01002000,"Kiel, Landeshauptstadt",Gemeinde,2017,3842
01003000,"Lübeck, Hansestadt",Gemeinde,2017,2678
01004000,"Neumünster, Stadt",Gemeinde,2017,2183
01051001,Albersdorf,Gemeinde,2017,1099
01051002,Arkebek,Gemeinde,2017,300
01051003,Averlak,Gemeinde,2017,884
01051004,Bargenstedt,Gemeinde,2017,711
01051005,Barkenholm,Gemeinde,2017,470
01051006,Barlt,Gemeinde,2017,512
01051008,Bergewöhrden,Gemeinde,2017,275
01051010,Brickeln,Gemeinde,2017,328
01051011,"Brunsbüttel, Stadt",Gemeinde,2017,885
01051012,Buchholz,Gemeinde,2017,639
01051013,Büsum,Gemeinde,2017,1439
01051014,Büsumer Deichhausen,Gemeinde,2017,950
01051015,Bunsoh,Gemeinde,2017,501
01051016,Burg (Dithmarschen),Gemeinde,2017,1580
01051017,Busenwurth,Gemeinde,2017,526
01051019,Dellstedt,Gemeinde,2017,565
01051020,Delve,Gemeinde,2017,632
01051021,Diekhusen-Fahrstedt,Gemeinde,2017,924
01051022,Dingen,Gemeinde,2017,796
01051023,Dörpling,Gemeinde,2017,725
01051024,Eddelak,Gemeinde,2017,1038
01051026,Eggstedt,Gemeinde,2017,671
01051027,Elpersbüttel,Gemeinde,2017,502
01051028,Epenwöhrden,Gemeinde,2017,714
01051030,Fedderingen,Gemeinde,2017,468
01051032,Frestedt,Gemeinde,2017,471
01051033,Friedrichsgabekoog,Gemeinde,2017,78
01051034,Friedrichskoog,Gemeinde,2017,567
01051035,Gaushorn,Gemeinde,2017,425
01051036,Glüsing,Gemeinde,2017,220
01051037,Großenrade,Gemeinde,2017,540
01051038,Groven,Gemeinde,2017,179
01051039,Gudendorf,Gemeinde,2017,522
01051043,Hedwigenkoog,Gemeinde,2017,263
01051044,"Heide, Stadt",Gemeinde,2017,1958
01051045,Hellschen-Heringsand-Unterschaar,Gemeinde,2017,386
01051046,Helse,Gemeinde,2017,696
01051047,Hemme,Gemeinde,2017,328
01051048,Hemmingstedt,Gemeinde,2017,827
01051049,Hennstedt,Gemeinde,2017,591
01051050,Hillgroven,Gemeinde,2017,250
01051051,Hochdonn,Gemeinde,2017,983
01051052,Hövede,Gemeinde,2017,169
01051053,Hollingstedt,Gemeinde,2017,488
01051054,Immenstedt,Gemeinde,2017,392
01051057,Kaiser-Wilhelm-Koog,Gemeinde,2017,412
01051058,Karolinenkoog,Gemeinde,2017,206
01051060,Kleve,Gemeinde,2017,572
01051061,Krempel,Gemeinde,2017,1122
01051062,Kronprinzenkoog,Gemeinde,2017,418
01051063,Krumstedt,Gemeinde,2017,418
01051064,Kuden,Gemeinde,2017,613
01051065,Lehe,Gemeinde,2017,809
01051067,Lieth,Gemeinde,2017,315
01051068,Linden,Gemeinde,2017,734
01051069,Lohe-Rickelshof,Gemeinde,2017,1451
01051071,Lunden,Gemeinde,2017,1625
01051072,"Marne, Stadt",Gemeinde,2017,1944
01051073,Marnerdeich,Gemeinde,2017,1616
01051074,"Meldorf, Stadt",Gemeinde,2017,1457
01051075,Neuenkirchen,Gemeinde,2017,523
01051076,Neufeld,Gemeinde,2017,604
01051077,Neufelderkoog,Gemeinde,2017,244
01051078,Nindorf,Gemeinde,2017,773
01051079,Norddeich,Gemeinde,2017,662
01051080,Norderheistedt,Gemeinde,2017,538
01051081,Norderwöhrden,Gemeinde,2017,199
01051082,Nordhastedt,Gemeinde,2017,879
01051083,Odderade,Gemeinde,2017,480
01051084,Oesterdeichstrich,Gemeinde,2017,498
01051085,Offenbüttel,Gemeinde,2017,329
01051086,Osterrade,Gemeinde,2017,404
01051087,Ostrohe,Gemeinde,2017,941
01051088,Pahlen,Gemeinde,2017,673
01051089,Quickborn,Gemeinde,2017,320
01051090,Ramhusen,Gemeinde,2017,418
01051092,Rehm-Flehde-Bargen,Gemeinde,2017,464
01051093,Reinsbüttel,Gemeinde,2017,779
01051096,Sankt Annen,Gemeinde,2017,322
01051097,Sankt Michaelisdonn,Gemeinde,2017,739
01051098,Sarzbüttel,Gemeinde,2017,615
01051099,Schafstedt,Gemeinde,2017,524
01051100,Schalkholz,Gemeinde,2017,282
01051102,Schlichting,Gemeinde,2017,292
01051103,Schmedeswurth,Gemeinde,2017,381
01051104,Schrum,Gemeinde,2017,265
01051105,Schülp,Gemeinde,2017,457
01051107,Stelle-Wittenwurth,Gemeinde,2017,421
01051108,Strübbel,Gemeinde,2017,296
01051109,Süderdeich,Gemeinde,2017,764
01051110,Süderhastedt,Gemeinde,2017,636
01051113,Wöhrden,Gemeinde,2017,599
01051114,Tellingstedt,Gemeinde,2017,941
01051117,Tielenhemme,Gemeinde,2017,345
01051118,Trennewurth,Gemeinde,2017,413
01051119,Volsemenhusen,Gemeinde,2017,311
01051120,Wallen,Gemeinde,2017,261
01051121,Warwerort,Gemeinde,2017,347
01051122,Weddingstedt,Gemeinde,2017,901
01051125,Welmbüttel,Gemeinde,2017,591
01051126,Wennbüttel,Gemeinde,2017,306
01051127,"Wesselburen, Stadt",Gemeinde,2017,1863
01051128,Wesselburener Deichhausen,Gemeinde,2017,345
01051129,Wesselburenerkoog,Gemeinde,2017,184
01051130,Wesseln,Gemeinde,2017,1370
01051131,Westerborstel,Gemeinde,2017,416
01051132,Westerdeichstrich,Gemeinde,2017,931
01051133,Wiemerstedt,Gemeinde,2017,490
01051134,Windbergen,Gemeinde,2017,548
01051135,Wolmersdorf,Gemeinde,2017,634
01051136,Wrohm,Gemeinde,2017,561
01051137,Nordermeldorf,Gemeinde,2017,303
01051138,Tensbüttel-Röst,Gemeinde,2017,313
01051139,Süderdorf,Gemeinde,2017,325
01051140,Oesterwurth,Gemeinde,2017,269
01051141,Süderheistedt,Gemeinde,2017,692
01053001,Albsfelde,Gemeinde,2017,672
01053002,Alt Mölln,Gemeinde,2017,720
01053003,Aumühle,Gemeinde,2017,1547
01053004,Bäk,Gemeinde,2017,1551
01053005,Bälau,Gemeinde,2017,575
01053006,Basedow,Gemeinde,2017,989
01053007,Basthorst,Gemeinde,2017,567
01053008,Behlendorf,Gemeinde,2017,601
01053009,Berkenthin,Gemeinde,2017,1297
01053010,Besenthal,Gemeinde,2017,106
01053011,Bliestorf,Gemeinde,2017,833
01053012,Börnsen,Gemeinde,2017,2120
01053013,Borstorf,Gemeinde,2017,695
01053014,Breitenfelde,Gemeinde,2017,1094
01053015,Bröthen,Gemeinde,2017,498
01053016,Brunsmark,Gemeinde,2017,567
01053017,Brunstorf,Gemeinde,2017,364
01053018,Buchholz,Gemeinde,2017,468
01053019,Buchhorst,Gemeinde,2017,175
01053020,Büchen,Gemeinde,2017,1365
01053021,Dahmker,Gemeinde,2017,700
01053022,Dalldorf,Gemeinde,2017,513
01053023,Dassendorf,Gemeinde,2017,1487
01053024,Düchelsdorf,Gemeinde,2017,976
01053025,Duvensee,Gemeinde,2017,721
01053026,Einhaus,Gemeinde,2017,1030
01053027,Elmenhorst,Gemeinde,2017,415
01053028,Escheburg,Gemeinde,2017,1425
01053029,Fitzen,Gemeinde,2017,361
01053030,Fredeburg,Gemeinde,2017,97
01053031,Fuhlenhagen,Gemeinde,2017,689
01053032,"Geesthacht, Stadt",Gemeinde,2017,2394
01053033,Giesensdorf,Gemeinde,2017,864
01053034,Göldenitz,Gemeinde,2017,780
01053035,Göttin,Gemeinde,2017,159
01053036,Grabau,Gemeinde,2017,638
01053037,Grambek,Gemeinde,2017,243
01053038,Grinau,Gemeinde,2017,1192
01053039,Groß Boden,Gemeinde,2017,808
01053040,Groß Disnack,Gemeinde,2017,233
01053041,Groß Grönau,Gemeinde,2017,2214
01053042,Groß Pampau,Gemeinde,2017,185
01053043,Groß Sarau,Gemeinde,2017,481
01053044,Groß Schenkenberg,Gemeinde,2017,985
01053045,Grove,Gemeinde,2017,585
01053046,Gudow,Gemeinde,2017,386
01053047,Gülzow,Gemeinde,2017,1044
01053048,Güster,Gemeinde,2017,760
01053049,Hamfelde,Gemeinde,2017,1139
01053050,Hamwarde,Gemeinde,2017,1092
01053051,Harmsdorf,Gemeinde,2017,935
01053052,Havekost,Gemeinde,2017,423
01053053,Hohenhorn,Gemeinde,2017,816
01053054,Hollenbek,Gemeinde,2017,758
01053056,Hornbek,Gemeinde,2017,287
01053057,Horst,Gemeinde,2017,323
01053058,Juliusburg,Gemeinde,2017,514
01053059,Kankelau,Gemeinde,2017,586
01053060,Kasseburg,Gemeinde,2017,627
01053061,Kastorf,Gemeinde,2017,1182
01053062,Kittlitz,Gemeinde,2017,341
01053064,Klein Pampau,Gemeinde,2017,1116
01053066,Klein Zecher,Gemeinde,2017,521
01053067,Klempau,Gemeinde,2017,648
01053068,Klinkrade,Gemeinde,2017,1125
01053069,Koberg,Gemeinde,2017,1105
01053070,Köthel,Gemeinde,2017,1218
01053071,Kollow,Gemeinde,2017,976
01053072,Kröppelshagen-Fahrendorf,Gemeinde,2017,1334
01053073,Krüzen,Gemeinde,2017,555
01053074,Krukow,Gemeinde,2017,283
01053075,Krummesse,Gemeinde,2017,2041
01053076,Kuddewörde,Gemeinde,2017,1187
01053077,Kühsen,Gemeinde,2017,701
01053078,Kulpin,Gemeinde,2017,726
01053079,Labenz,Gemeinde,2017,1253
01053080,Langenlehsten,Gemeinde,2017,158
01053081,Lankau,Gemeinde,2017,419
01053082,Lanze,Gemeinde,2017,283
01053083,"Lauenburg/ Elbe, Stadt",Gemeinde,2017,2433
01053084,Lehmrade,Gemeinde,2017,578
01053085,Linau,Gemeinde,2017,1219
01053086,Lüchow,Gemeinde,2017,1062
01053087,Lütau,Gemeinde,2017,927
01053088,Mechow,Gemeinde,2017,453
01053089,Möhnsen,Gemeinde,2017,701
01053090,"Mölln, Stadt",Gemeinde,2017,2363
01053091,Mühlenrade,Gemeinde,2017,537
01053092,Müssen,Gemeinde,2017,833
01053093,Mustin,Gemeinde,2017,911
01053094,Niendorf bei Berkenthin,Gemeinde,2017,575
01053095,Niendorf/ Stecknitz,Gemeinde,2017,1049
01053096,Nusse,Gemeinde,2017,1254
