Kennziffer,Raumeinheit,Aggregat,year,value
01001000,"Flensburg, Stadt",Gemeinde,2017,1
01002000,"Kiel, Landeshauptstadt",Gemeinde,2017,1
01003000,"Lübeck, Hansestadt",Gemeinde,2017,1
01004000,"Neumünster, Stadt",Gemeinde,2017,1
01051001,Albersdorf,Gemeinde,2017,1
01051002,Arkebek,Gemeinde,2017,0
01051003,Averlak,Gemeinde,2017,0
01051004,Bargenstedt,Gemeinde,2017,0
01051005,Barkenholm,Gemeinde,2017,0
01051006,Barlt,Gemeinde,2017,0
01051008,Bergewöhrden,Gemeinde,2017,0
01051010,Brickeln,Gemeinde,2017,0
01051011,"Brunsbüttel, Stadt",Gemeinde,2017,1
01051012,Buchholz,Gemeinde,2017,0
01051013,Büsum,Gemeinde,2017,1
01051014,Büsumer Deichhausen,Gemeinde,2017,0
01051015,Bunsoh,Gemeinde,2017,0
01051016,Burg (Dithmarschen),Gemeinde,2017,1
01051017,Busenwurth,Gemeinde,2017,0
01051019,Dellstedt,Gemeinde,2017,0
01051020,Delve,Gemeinde,2017,0
01051021,Diekhusen-Fahrstedt,Gemeinde,2017,0
01051022,Dingen,Gemeinde,2017,0
01051023,Dörpling,Gemeinde,2017,0
01051024,Eddelak,Gemeinde,2017,0
01051026,Eggstedt,Gemeinde,2017,0
01051027,Elpersbüttel,Gemeinde,2017,0
01051028,Epenwöhrden,Gemeinde,2017,0
01051030,Fedderingen,Gemeinde,2017,0
01051032,Frestedt,Gemeinde,2017,0
01051033,Friedrichsgabekoog,Gemeinde,2017,0
01051034,Friedrichskoog,Gemeinde,2017,0
01051035,Gaushorn,Gemeinde,2017,0
01051036,Glüsing,Gemeinde,2017,0
01051037,Großenrade,Gemeinde,2017,0
01051038,Groven,Gemeinde,2017,0
01051039,Gudendorf,Gemeinde,2017,0
01051043,Hedwigenkoog,Gemeinde,2017,0
01051044,"Heide, Stadt",Gemeinde,2017,1
01051045,Hellschen-Heringsand-Unterschaar,Gemeinde,2017,0
01051046,Helse,Gemeinde,2017,0
01051047,Hemme,Gemeinde,2017,0
01051048,Hemmingstedt,Gemeinde,2017,0
01051049,Hennstedt,Gemeinde,2017,1
01051050,Hillgroven,Gemeinde,2017,0
01051051,Hochdonn,Gemeinde,2017,0
01051052,Hövede,Gemeinde,2017,0
01051053,Hollingstedt,Gemeinde,2017,0
01051054,Immenstedt,Gemeinde,2017,0
01051057,Kaiser-Wilhelm-Koog,Gemeinde,2017,0
01051058,Karolinenkoog,Gemeinde,2017,0
01051060,Kleve,Gemeinde,2017,0
01051061,Krempel,Gemeinde,2017,0
01051062,Kronprinzenkoog,Gemeinde,2017,0
01051063,Krumstedt,Gemeinde,2017,0
01051064,Kuden,Gemeinde,2017,0
01051065,Lehe,Gemeinde,2017,0
01051067,Lieth,Gemeinde,2017,0
01051068,Linden,Gemeinde,2017,0
01051069,Lohe-Rickelshof,Gemeinde,2017,0
01051071,Lunden,Gemeinde,2017,1
01051072,"Marne, Stadt",Gemeinde,2017,1
01051073,Marnerdeich,Gemeinde,2017,0
01051074,"Meldorf, Stadt",Gemeinde,2017,1
01051075,Neuenkirchen,Gemeinde,2017,0
01051076,Neufeld,Gemeinde,2017,0
01051077,Neufelderkoog,Gemeinde,2017,0
01051078,Nindorf,Gemeinde,2017,0
01051079,Norddeich,Gemeinde,2017,0
01051080,Norderheistedt,Gemeinde,2017,0
01051081,Norderwöhrden,Gemeinde,2017,0
01051082,Nordhastedt,Gemeinde,2017,0
01051083,Odderade,Gemeinde,2017,0
01051084,Oesterdeichstrich,Gemeinde,2017,0
01051085,Offenbüttel,Gemeinde,2017,0
01051086,Osterrade,Gemeinde,2017,0
01051087,Ostrohe,Gemeinde,2017,0
01051088,Pahlen,Gemeinde,2017,0
01051089,Quickborn,Gemeinde,2017,0
01051090,Ramhusen,Gemeinde,2017,0
01051092,Rehm-Flehde-Bargen,Gemeinde,2017,0
01051093,Reinsbüttel,Gemeinde,2017,0
01051096,Sankt Annen,Gemeinde,2017,0
01051097,Sankt Michaelisdonn,Gemeinde,2017,1
01051098,Sarzbüttel,Gemeinde,2017,0
01051099,Schafstedt,Gemeinde,2017,0
01051100,Schalkholz,Gemeinde,2017,0
01051102,Schlichting,Gemeinde,2017,0
01051103,Schmedeswurth,Gemeinde,2017,0
01051104,Schrum,Gemeinde,2017,0
01051105,Schülp,Gemeinde,2017,0
01051107,Stelle-Wittenwurth,Gemeinde,2017,0
01051108,Strübbel,Gemeinde,2017,0
01051109,Süderdeich,Gemeinde,2017,0
01051110,Süderhastedt,Gemeinde,2017,0
01051113,Wöhrden,Gemeinde,2017,0
01051114,Tellingstedt,Gemeinde,2017,1
01051117,Tielenhemme,Gemeinde,2017,0
01051118,Trennewurth,Gemeinde,2017,0
01051119,Volsemenhusen,Gemeinde,2017,0
01051120,Wallen,Gemeinde,2017,0
01051121,Warwerort,Gemeinde,2017,0
01051122,Weddingstedt,Gemeinde,2017,0
01051125,Welmbüttel,Gemeinde,2017,0
01051126,Wennbüttel,Gemeinde,2017,0
01051127,"Wesselburen, Stadt",Gemeinde,2017,1
01051128,Wesselburener Deichhausen,Gemeinde,2017,0
01051129,Wesselburenerkoog,Gemeinde,2017,0
01051130,Wesseln,Gemeinde,2017,0
01051131,Westerborstel,Gemeinde,2017,0
01051132,Westerdeichstrich,Gemeinde,2017,0
01051133,Wiemerstedt,Gemeinde,2017,0
01051134,Windbergen,Gemeinde,2017,0
01051135,Wolmersdorf,Gemeinde,2017,0
01051136,Wrohm,Gemeinde,2017,0
01051137,Nordermeldorf,Gemeinde,2017,0
01051138,Tensbüttel-Röst,Gemeinde,2017,0
01051139,Süderdorf,Gemeinde,2017,0
01051140,Oesterwurth,Gemeinde,2017,0
01051141,Süderheistedt,Gemeinde,2017,0
01053001,Albsfelde,Gemeinde,2017,0
01053002,Alt Mölln,Gemeinde,2017,0
01053003,Aumühle,Gemeinde,2017,0
01053004,Bäk,Gemeinde,2017,0
01053005,Bälau,Gemeinde,2017,0
01053006,Basedow,Gemeinde,2017,0
01053007,Basthorst,Gemeinde,2017,0
01053008,Behlendorf,Gemeinde,2017,0
01053009,Berkenthin,Gemeinde,2017,1
01053010,Besenthal,Gemeinde,2017,0
01053011,Bliestorf,Gemeinde,2017,0
01053012,Börnsen,Gemeinde,2017,0
01053013,Borstorf,Gemeinde,2017,0
01053014,Breitenfelde,Gemeinde,2017,0
01053015,Bröthen,Gemeinde,2017,0
