Kennziffer;Raumeinheit;Aggregat;Krankenhäuser insgesamt;Anzahl Krankenhäuser unter Grundversorgung;Anzahl Krankenhäuser mit Grundversorgung ;Anzahl Krankenhäuser mit Regelversorgung ;Anzahl Krankenhäuser mit Schwerpunktversorgung ;Anzahl Krankenhäuser mit Maximalversorgung ;Krankenhausbetten;Krankenhausbetten je 1000 Einwohner;Krankenhäuser – höchste Versorgungsstufe;Erreichbarkeit Apotheken;Ärzte je  Einwohner;Ärzte je  Einwohner;Ärzte je  Einwohner;Einwohner je Arzt;Einwohner je Arzt;Einwohner je Arzt;Hausärzte;Hausärzte;Hausärzte;Allgemeinärzte;Allgemeinärzte;Allgemeinärzte;Internisten;Internisten;Internisten;Kinderärzte;Kinderärzte;Kinderärzte
;;;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017;2015;2016;2017
"01001000";"Flensburg, Stadt";"Oberzentrum";"8";"7";"1";"0";"0";"0";"950";"11,00";"2";"90,0";"22,8";"22,2";"21,7";"438,5";"450,7";"461,0";"7,2";"7,7";"7,3";"4,5";"4,3";"4,1";"2,7";"2,1";"2,0";"8,6";"8,2";"8,0"
"01002000";"Kiel, Landeshauptstadt";"Oberzentrum";"17";"10";"3";"2";"1";"1";"2.490";"10,00";"5";"94,0";"22,9";"23,0";"23,0";"435,9";"434,1";"434,2";"6,4";"6,8";"6,7";"4,1";"4,2";"4,0";"2,2";"1,7";"1,7";"8,1";"7,9";"7,9"
"01003000";"Lübeck, Hansestadt";"Oberzentrum";"15";"8";"3";"2";"1";"1";"2.059";"10,00";"5";"82,0";"22,0";"21,9";"21,7";"454,3";"457,2";"461,2";"6,3";"6,7";"6,8";"4,0";"3,9";"3,9";"2,2";"1,8";"1,8";"7,9";"7,4";"7,4"
"01004000";"Neumünster, Stadt";"Oberzentrum";"7";"4";"1";"1";"1";"0";"686";"9,00";"4";"82,0";"15,0";"16,6";"16,4";"665,5";"603,6";"610,3";"5,3";"6,4";"6,2";"3,0";"3,4";"2,9";"1,9";"1,5";"1,5";"6,7";"6,7";"6,6"
"02000000";"Hamburg, Freie und Hansestadt";"Oberzentrum";"61";"30";"20";"8";"2";"1";"12.680";"7,00";"5";"92,0";"18,8";"18,5";"18,2";"530,9";"541,7";"549,2";"6,9";"6,7";"6,6";"3,9";"3,8";"3,7";"1,4";"1,4";"1,3";"5,9";"5,7";"5,6"
"03101000";"Braunschweig, Stadt";"Oberzentrum";"10";"3";"3";"2";"1";"1";"1.842";"7,00";"5";"89,0";"19,1";"19,7";"19,9";"522,6";"507,5";"503,1";"6,3";"6,7";"6,7";"4,0";"4,0";"4,1";"2,1";"1,9";"1,9";"7,7";"7,6";"7,6"
"03102000";"Salzgitter, Stadt";"Oberzentrum";"3";"0";"2";"1";"0";"0";"444";"4,00";"3";"79,0";"17,8";"17,3";"16,9";"561,6";"579,2";"590,7";"6,5";"6,5";"6,2";"4,5";"4,3";"4,2";"1,6";"1,4";"1,4";"6,6";"6,1";"5,3"
"03103000";"Wolfsburg, Stadt";"Oberzentrum";"4";"0";"1";"1";"1";"1";"547";"4,00";"5";"77,0";"16,4";"16,9";"16,9";"611,1";"592,9";"590,1";"5,3";"5,6";"5,7";"3,1";"3,1";"3,2";"1,5";"1,6";"1,5";"6,8";"7,2";"7,7"
"03159016";"Göttingen, Stadt";"Oberzentrum";"10";"1";"4";"3";"1";"1";"2.619";"22,00";"5";"93,0";"25,7";"25,6";"25,3";"388,6";"390,7";"394,5";"7,9";"7,9";"7,5";"5,1";"5,2";"4,9";"2,1";"2,2";"2,3";"6,7";"6,5";"6,5"
"03241001";"Hannover, Landeshauptstadt";"Oberzentrum";"20";"5";"8";"5";"1";"1";"4.852";"9,00";"5";"97,0";"20,9";"21,3";"21,1";"479,4";"469,1";"473,1";"6,6";"6,8";"6,7";"3,9";"3,9";"3,8";"2,0";"1,8";"1,9";"6,6";"6,5";"6,2"
