Kennziffer;Raumeinheit;Aggregat;Gemeindeverwaltungen;Kreisverwaltungen;Finanzämter;Polizeidienststellen;Polizeidienststellen, zeitweise besetzt;Polizeidienststellen, durchgehend besetzt;Arbeitsmarktverwaltungseinrichtungen;Jobcenter;Geschäftsstellen der Agentur für Arbeit;Agenturen für Arbeit oder Regionaldirektionen;Gerichte;Amtsgerichte;Landgerichte;Oberlandesgerichte
;;;2017;2017;2017;2019;2019;2019;2018;2018;2018;2018;2018;2018;2018;2018
"01001000";"Flensburg, Stadt";"Oberzentrum";"1";"1";"1";"8";"6";"2";"2";"1";"0";"1";"2";"1";"1";"0"
"01002000";"Kiel, Landeshauptstadt";"Oberzentrum";"1";"1";"2";"13";"8";"5";"16";"13";"1";"2";"2";"1";"1";"0"
"01003000";"Lübeck, Hansestadt";"Oberzentrum";"1";"1";"1";"14";"9";"5";"8";"7";"0";"1";"2";"1";"1";"0"
"01004000";"Neumünster, Stadt";"Oberzentrum";"1";"1";"1";"8";"5";"3";"4";"3";"0";"1";"1";"1";"0";"0"
"02000000";"Hamburg, Freie und Hansestadt";"Oberzentrum";"1";"1";"19";"50";"21";"29";"42";"35";"6";"1";"10";"8";"1";"1"
"03101000";"Braunschweig, Stadt";"Oberzentrum";"1";"1";"3";"14";"9";"5";"3";"2";"0";"1";"3";"1";"1";"1"
"03102000";"Salzgitter, Stadt";"Oberzentrum";"1";"1";"0";"5";"3";"2";"5";"4";"1";"0";"1";"1";"0";"0"
"03103000";"Wolfsburg, Stadt";"Oberzentrum";"1";"1";"0";"3";"2";"1";"3";"2";"1";"0";"1";"1";"0";"0"
"03159016";"Göttingen, Stadt";"Oberzentrum";"1";"1";"2";"1";"0";"1";"2";"1";"0";"1";"1";"1";"1";"0"
"03241001";"Hannover, Landeshauptstadt";"Oberzentrum";"1";"1";"6";"20";"9";"11";"13";"11";"0";"2";"2";"1";"1";"0"
"03254021";"Hildesheim, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"5";"4";"0";"1";"2";"1";"1";"0"
"03351006";"Celle, Stadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"3";"2";"0";"1";"2";"1";"0";"1"
"03355022";"Lüneburg, Hansestadt";"Oberzentrum";"1";"1";"1";"1";"0";"1";"2";"1";"0";"1";"2";"1";"1";"0"
"03403000";"Oldenburg (Oldenburg), Stadt";"Oberzentrum";"1";"1";"2";"8";"7";"1";"3";"2";"0";"1";"3";"1";"1";"1"
