Kennziffer;Raumeinheit;Aggregat;Erreichbarkeit Supermärkte und Discounter ;Shopping Center;Erreichbarkeit Shopping Center
;;;2017;2017;2017
"01001000";"Flensburg, Stadt";"Oberzentrum";"92";"3";"2,0"
"01002000";"Kiel, Landeshauptstadt";"Oberzentrum";"92";"4";"1,0"
"01003000";"Lübeck, Hansestadt";"Oberzentrum";"90";"4";"1,0"
"01004000";"Neumünster, Stadt";"Oberzentrum";"85";"2";"1,0"
"02000000";"Hamburg, Freie und Hansestadt";"Oberzentrum";"94";"22";"1,0"
"03101000";"Braunschweig, Stadt";"Oberzentrum";"94";"2";"3,0"
"03102000";"Salzgitter, Stadt";"Oberzentrum";"82";"1";"0,0"
"03103000";"Wolfsburg, Stadt";"Oberzentrum";"90";"1";"2,0"
"03159016";"Göttingen, Stadt";"Oberzentrum";"90";"0";"3,0"
"03241001";"Hannover, Landeshauptstadt";"Oberzentrum";"98";"1";"4,0"
"03254021";"Hildesheim, Stadt";"Oberzentrum";"96";"1";"2,0"
"03351006";"Celle, Stadt";"Oberzentrum";"88";"0";"30,0"
"03355022";"Lüneburg, Hansestadt";"Oberzentrum";"87";"0";"33,0"
"03403000";"Oldenburg (Oldenburg), Stadt";"Oberzentrum";"92";"2";"1,0"
"03404000";"Osnabrück, Stadt";"Oberzentrum";"88";"2";"0,0"
"03405000";"Wilhelmshaven, Stadt";"Oberzentrum";"90";"1";"2,0"
"04011000";"Bremen, Stadt";"Oberzentrum";"95";"9";"5,0"
"04012000";"Bremerhaven, Stadt";"Oberzentrum";"92";"1";"1,0"
"05111000";"Düsseldorf, Stadt";"Oberzentrum";"94";"4";"1,0"
"05112000";"Duisburg, Stadt";"Oberzentrum";"95";"3";"1,0"
"05113000";"Essen, Stadt";"Oberzentrum";"94";"4";"3,0"
"05114000";"Krefeld, Stadt";"Oberzentrum";"89";"1";"0,0"
"05116000";"Mönchengladbach, Stadt";"Oberzentrum";"85";"1";"2,0"
"05124000";"Wuppertal, Stadt";"Oberzentrum";"85";"2";"0,0"
"05314000";"Bonn, Stadt";"Oberzentrum";"93";"2";"9,0"
"05315000";"Köln, Stadt";"Oberzentrum";"96";"5";"1,0"
"05334002";"Aachen, Stadt";"Oberzentrum";"87";"0";"0,0"
"05515000";"Münster, Stadt";"Oberzentrum";"92";"1";"4,0"
"05711000";"Bielefeld, Stadt";"Oberzentrum";"87";"1";"1,0"
"05774032";"Paderborn, Stadt";"Oberzentrum";"94";"1";"3,0"
"05911000";"Bochum, Stadt";"Oberzentrum";"91";"5";"1,0"
"05913000";"Dortmund, Stadt";"Oberzentrum";"91";"4";"1,0"
"05914000";"Hagen, Stadt der FernUniversität";"Oberzentrum";"87";"2";"1,0"
