Kennziffer;Raumeinheit;Aggregat;ÖV-Haltestellen;Bahnhaltestellen;Bushaltestellen;U-/Strassenbahnhaltestellen;ÖV-Abfahrten;Bahn-Abfahrten;Bus-Abfahrten;U-/Straßenbahn-Abfahrten;Erreichbarkeit von IC/EC/ICE-Bahnhöfen ;Erreichbarkeit Autobahnen;Erreichbarkeit Flughäfen;Erreichbarkeit KV-Terminal;Erreichbarkeit von Mittelzentren;Erreichbarkeit von Oberzentren
;;;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018
"01001000";"Flensburg, Stadt";"Oberzentrum";"168";"1";"168";"0";"33.781";"50";"33.731";"0";"0,0";"5,9";"98,3";"76,7";"0,0";"0,0"
"01002000";"Kiel, Landeshauptstadt";"Oberzentrum";"335";"8";"335";"0";"66.560";"570";"65.990";"0";"0,0";"3,0";"64,5";"2,6";"0,0";"0,0"
"01003000";"Lübeck, Hansestadt";"Oberzentrum";"378";"9";"378";"0";"53.373";"533";"52.840";"0";"0,0";"3,4";"9,6";"8,0";"0,0";"0,0"
"01004000";"Neumünster, Stadt";"Oberzentrum";"209";"4";"208";"0";"16.842";"364";"16.478";"0";"0,0";"7,6";"48,0";"4,7";"0,0";"0,0"
"02000000";"Hamburg, Freie und Hansestadt";"Oberzentrum";"1.870";"61";"1.858";"80";"480.844";"29.727";"415.732";"35.385";"0,0";"6,5";"15,1";"12,0";"0,0";"0,0"
"03101000";"Braunschweig, Stadt";"Oberzentrum";"356";"2";"332";"76";"67.902";"298";"48.412";"19.192";"3,9";"2,4";"46,8";"11,3";"0,0";"0,0"
"03102000";"Salzgitter, Stadt";"Oberzentrum";"230";"6";"230";"0";"16.650";"295";"16.355";"0";"15,6";"3,0";"53,5";"10,5";"0,0";"0,0"
"03103000";"Wolfsburg, Stadt";"Oberzentrum";"284";"2";"284";"0";"37.928";"256";"37.672";"0";"0,0";"4,5";"61,8";"5,7";"0,0";"0,0"
"03159016";"Göttingen, Stadt";"Oberzentrum";"235";"1";"234";"0";"31.787";"236";"31.551";"0";"0,0";"3,5";"80,1";"3,1";"0,0";"0,0"
"03241001";"Hannover, Landeshauptstadt";"Oberzentrum";"444";"13";"385";"158";"121.522";"2.379";"63.669";"55.474";"4,0";"7,9";"14,4";"8,0";"0,0";"0,0"
"03254021";"Hildesheim, Stadt";"Oberzentrum";"150";"2";"150";"0";"20.717";"237";"20.480";"0";"2,7";"4,2";"36,7";"37,0";"0,0";"0,0"
"03351006";"Celle, Stadt";"Oberzentrum";"181";"1";"181";"0";"11.306";"103";"11.203";"0";"2,9";"24,4";"39,3";"52,7";"0,0";"0,0"
"03355022";"Lüneburg, Hansestadt";"Oberzentrum";"195";"1";"195";"0";"17.453";"140";"17.313";"0";"1,6";"5,7";"55,5";"45,3";"0,0";"0,0"
"03403000";"Oldenburg (Oldenburg), Stadt";"Oberzentrum";"302";"2";"302";"0";"55.164";"185";"54.979";"0";"0,0";"3,0";"35,8";"40,4";"0,0";"0,0"
"03404000";"Osnabrück, Stadt";"Oberzentrum";"301";"3";"301";"0";"53.649";"398";"53.251";"0";"0,0";"4,3";"25,8";"6,9";"0,0";"0,0"
"03405000";"Wilhelmshaven, Stadt";"Oberzentrum";"155";"1";"154";"0";"11.743";"42";"11.701";"0";"42,3";"9,3";"70,2";"18,8";"0,0";"0,0"
"04011000";"Bremen, Stadt";"Oberzentrum";"568";"19";"503";"152";"141.704";"2.303";"87.306";"52.095";"4,7";"5,7";"6,5";"11,3";"0,0";"0,0"
"04012000";"Bremerhaven, Stadt";"Oberzentrum";"139";"3";"138";"0";"23.965";"352";"23.613";"0";"41,7";"3,9";"43,7";"15,0";"0,0";"0,0"
"05111000";"Düsseldorf, Stadt";"Oberzentrum";"605";"25";"549";"211";"176.408";"6.456";"93.794";"76.158";"4,2";"7,3";"10,1";"12,8";"0,0";"0,0"
