Indikator,Indicator,Langname,Longname,Berechnungsgrundlage,Calculation_basis,Anmerkungen,Notes,Quelle
Bruttoinlandsprodukt je Einwohner,Gross domestic product per inhabitant,Bruttoinlandsprodukt in 1.000 € je Einwohner,"Gross domestic product in € 1,000 per inhabitant",Bruttoinlandsprodukt <Zeitpunkt> / E <Zeitpunkt> / 1.000,"Gross domestic product <time> / E <time> / 1,000","Bevölkerung 2011,2012: Fortschreibung Zensus 2011; Vorjahre: Fortschreibung Volkszählung 1987. - Bei Bezug auf die Bevölkerung als Wohlstandsmaß zu interpretieren. Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","Population 2011/2012: update of the 2011 census; Previous years: Continuation of the 1987 census. - To be interpreted as a measure of prosperity when referring to the population. The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work carried out by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.","Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder, Eurostat Regio Datenbank"
Bruttoinlandsprodukt je Erwerbstätigen,Gross domestic product per employed person,Bruttoinlandsprodukt in 1.000 € je Erwerbstätigen,"Gross domestic product in € 1,000 per employed person",Bruttoinlandsprodukt <Zeitpunkt> / Erwerbstätige <Zeitpunkt> / 1.000,"Gross domestic product <time> / employed <time> / 1,000","Bei Bezug auf die Erwerbstätigen als Maß für Wirtschaftskraft zu interpretieren. Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","To be interpreted as a measure of economic strength when referring to the workforce. The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work performed by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.","Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder, Eurostat Regio Datenbank"
Bruttowertschöpfung,Gross value added,Bruttowertschöpfung insgesamt in 1.000 € je Erwerbstätigen,"Total gross value added in € 1,000 per employed person",Bruttowertschöpfung <Zeitpunkt> / Erwerbstätige <Zeitpunkt> / 1.000,"Gross value added <time> / employed <time> / 1,000","Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work carried out by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
Bruttowertschöpfung je Erwerbstätigen Primärer Sektor,"Gross value added per employed person, primary sector",Bruttowertschöpfung im Primären Sektor in 1.000 € je Erwerbstätigen im Primären Sektor,"Gross value added in the primary sector in € 1,000 per employed person in the primary sector",Bruttowertschöpfung Primärer Sektor <Zeitpunkt> / Erwerbstätige Primärer Sektor <Zeitpunkt> / 1.000,"Gross value added Primary sector <time> / persons in employment Primary sector <time> / 1,000","Land- und Forstwirtschaft, Fischerei. Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","Agriculture, forestry, fishing. The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work carried out by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
Bruttowertschöpfung je Erwerbstätigen Sekundärer Sektor,Gross value added per person employed in the secondary sector,Bruttowertschöpfung im Sekundären Sektor in 1.000 € je Erwerbstätigen im Sekundären Sektor,"Gross value added in the secondary sector in € 1,000 per person employed in the secondary sector",Bruttowertschöpfung Sekundärer Sektor <Zeitpunkt> / Erwerbstätige Sekundärer Sektor <Zeitpunkt> / 1.000,"Gross value added secondary sector <time> / persons in employment Secondary sector <time> / 1,000","Produzierendes Gewerbe einschl. Baugewerbe. Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","Manufacturing industry including construction. The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work carried out by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
Bruttowertschöpfung je Erwerbstätigen Tertiärer Sektor,Gross value added per employed person in the tertiary sector,Bruttowertschöpfung im Tertiären Sektor in 1.000 € je Erwerbstätigen im Tertiären Sektor,"Gross value added in the tertiary sector in € 1,000 per person employed in the tertiary sector",Bruttowertschöpfung Tertiärer Sektor <Zeitpunkt> / Erwerbstätige Tertiärer Sektor <Zeitpunkt> / 1.000,"Gross value added tertiary sector <time> / employed tertiary sector <time> / 1,000","Alle Dienstleistungsbereiche (G-T). Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","All service areas (G-T). The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work carried out by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
Bruttowertschöpfung am Land,Gross value added in the country,Anteil der Bruttowertschöpfung am Land in o/oo,Share of gross value added in the country in o / oo,Bruttowertschöpfung <Zeitpunkt> / Bruttowertschöpfung Land <Zeitpunkt> x 1.000,"Gross value added <time> / gross value added country <time> x 1,000","Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work carried out by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
Bruttowertschöpfung am Bund,Gross value added at the federal level,Anteil der Bruttowertschöpfung am Bund in o/oo,Share of gross value added in the federal government in o / oo,Bruttowertschöpfung <Zeitpunkt> / Bruttowertschöpfung Bund <Zeitpunkt> x 1.000,"Gross value added <time> / gross value added federal <time> x 1,000","Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work performed by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
Anteil Bruttowertschöpfung Primärer Sektor,Share of gross value added in primary sector,Anteil Bruttowertschöpfung im Primären Sektor an der Bruttowertschöpfung in %,Share of gross value added in the primary sector in gross value added in%,Bruttowertschöpfung Primärer Sektor <Zeitpunkt> / Bruttowertschöfung <Zeitpunkt> / x 100,Gross value added primary sector <time> / gross value added <time> / x 100,"Land- und Forstwirtschaft, Fischerei. Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","Agriculture, forestry, fishing. The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work performed by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
Anteil Bruttowertschöpfung Sekundärer Sektor,Share of gross value added in the secondary sector,Anteil Bruttowertschöpfung im Sekundären Sektor an der Bruttowertschöpfung in %,Share of gross value added in the secondary sector in gross value added in%,Bruttowertschöpfung Sekundärer Sektor <Zeitpunkt> / Bruttowertschöfung <Zeitpunkt> / x 100,Gross value added secondary sector <time> / gross value added <time> / x 100,"Produzierendes Gewerbe einschl. Baugewerbe. Das BIP bzw. die BWS ist ein Maß für die ein einer Region erbrachte wirtschaftliche Leistung. Die BWS je Wirtschaftsbereich wird berechnet, indem vom Wert aller produzierten Waren und Dienstleistungen die bei der Produktion verbrauchten Vorleistungen (Roh-, Hilfs- und Betriebsstoffe, Mieten und Pachten, Kosten für durch andere Unternehmen durchgeführte Lohnarbeiten etc.) abgezogen werden. Die Bewertung der BWS erfolgt zu Herstellungspreisen. Diese Bewertungskonzept bedeutet, dass die auf die produzierten oder verkauften Waren und Dienstleistungen gewährten Gütersubventionen einbezogen sind, nicht aber die auf die produzierten Waren und Dienstleistungen zu zahlenden Gütersteuern (Mehrwertsteuer, Importabgaben, Mineralöl- und Tabaksteuer etc.).Das BIP wird zu Marktpreisen bewertet. Es wird berechnet, indem zur gesamten BWS zu Herstellungspreisen der auf die Kreise pauschal verteilte Saldo aus Gütersteuern – Gütersubventionen hinzu addiert wird. Die Finanzserviceleistung indirekte Messung (FISIM) ist implizit in den Wirtschaftsbereichen bereits berücksichtigt.","Manufacturing industry including construction. The GDP or GVA is a measure of the economic performance produced by a region. The GVA per economic sector is calculated by deducting the intermediate consumption (raw materials and supplies, rents and leases, costs for wage work carried out by other companies, etc.) from the value of all goods and services produced. The valuation of the GVA takes place at the basic price. This valuation concept means that the subsidies on goods granted on the goods and services produced or sold are included, but not the taxes on goods (VAT, import duties, mineral oil and tobacco taxes, etc.) to be paid on the goods and services produced. The GDP is valued at market prices . It is calculated by adding the balance of taxes on goods and subsidies on goods distributed across the districts to the total GVA at basic prices. The financial service indirect measurement (FISIM) is already implicitly taken into account in the economic sectors.",Arbeitskreis Volkswirtschaftliche Gesamtrechnung der Länder
