Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,0.03
01001,"Flensburg, Stadt",krsfr. Stadt,2001,0.03
01001,"Flensburg, Stadt",krsfr. Stadt,2002,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2003,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2004,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2005,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2006,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2007,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2008,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2009,0.02
01001,"Flensburg, Stadt",krsfr. Stadt,2010,0.01
01001,"Flensburg, Stadt",krsfr. Stadt,2011,0.03
01001,"Flensburg, Stadt",krsfr. Stadt,2012,0.05
01001,"Flensburg, Stadt",krsfr. Stadt,2013,0.03
01001,"Flensburg, Stadt",krsfr. Stadt,2014,0.05
01001,"Flensburg, Stadt",krsfr. Stadt,2015,0.03
01001,"Flensburg, Stadt",krsfr. Stadt,2016,0.03
01001,"Flensburg, Stadt",krsfr. Stadt,2017,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2000,0.01
01002,"Kiel, Stadt",krsfr. Stadt,2001,0.01
01002,"Kiel, Stadt",krsfr. Stadt,2002,0.01
01002,"Kiel, Stadt",krsfr. Stadt,2003,0.01
01002,"Kiel, Stadt",krsfr. Stadt,2004,0.01
01002,"Kiel, Stadt",krsfr. Stadt,2005,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2006,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2007,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2008,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2009,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2010,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2011,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2012,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2013,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2014,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2015,0.01
01002,"Kiel, Stadt",krsfr. Stadt,2016,0.02
01002,"Kiel, Stadt",krsfr. Stadt,2017,0.02
01003,"Lübeck, Stadt",krsfr. Stadt,2000,0.16
01003,"Lübeck, Stadt",krsfr. Stadt,2001,0.15
01003,"Lübeck, Stadt",krsfr. Stadt,2002,0.13
01003,"Lübeck, Stadt",krsfr. Stadt,2003,0.12
01003,"Lübeck, Stadt",krsfr. Stadt,2004,0.14
01003,"Lübeck, Stadt",krsfr. Stadt,2005,0.11
01003,"Lübeck, Stadt",krsfr. Stadt,2006,0.13
01003,"Lübeck, Stadt",krsfr. Stadt,2007,0.12
01003,"Lübeck, Stadt",krsfr. Stadt,2008,0.14
01003,"Lübeck, Stadt",krsfr. Stadt,2009,0.1
01003,"Lübeck, Stadt",krsfr. Stadt,2010,0.09
01003,"Lübeck, Stadt",krsfr. Stadt,2011,0.09
01003,"Lübeck, Stadt",krsfr. Stadt,2012,0.09
01003,"Lübeck, Stadt",krsfr. Stadt,2013,0.13
01003,"Lübeck, Stadt",krsfr. Stadt,2014,0.12
01003,"Lübeck, Stadt",krsfr. Stadt,2015,0.09
01003,"Lübeck, Stadt",krsfr. Stadt,2016,0.08
01003,"Lübeck, Stadt",krsfr. Stadt,2017,0.12
01004,"Neumünster, Stadt",krsfr. Stadt,2000,0.22
01004,"Neumünster, Stadt",krsfr. Stadt,2001,0.23
01004,"Neumünster, Stadt",krsfr. Stadt,2002,0.21
01004,"Neumünster, Stadt",krsfr. Stadt,2003,0.19
01004,"Neumünster, Stadt",krsfr. Stadt,2004,0.21
01004,"Neumünster, Stadt",krsfr. Stadt,2005,0.19
01004,"Neumünster, Stadt",krsfr. Stadt,2006,0.13
01004,"Neumünster, Stadt",krsfr. Stadt,2007,0.12
01004,"Neumünster, Stadt",krsfr. Stadt,2008,0.24
01004,"Neumünster, Stadt",krsfr. Stadt,2009,0.38
01004,"Neumünster, Stadt",krsfr. Stadt,2010,0.27
01004,"Neumünster, Stadt",krsfr. Stadt,2011,0.41
01004,"Neumünster, Stadt",krsfr. Stadt,2012,0.38
01004,"Neumünster, Stadt",krsfr. Stadt,2013,0.56
01004,"Neumünster, Stadt",krsfr. Stadt,2014,1.12
01004,"Neumünster, Stadt",krsfr. Stadt,2015,0.57
01004,"Neumünster, Stadt",krsfr. Stadt,2016,0.51
01004,"Neumünster, Stadt",krsfr. Stadt,2017,0.5
01051,Dithmarschen,Landkreis,2000,5.17
01051,Dithmarschen,Landkreis,2001,5.49
01051,Dithmarschen,Landkreis,2002,4.32
01051,Dithmarschen,Landkreis,2003,4.46
01051,Dithmarschen,Landkreis,2004,3.54
01051,Dithmarschen,Landkreis,2005,3.58
01051,Dithmarschen,Landkreis,2006,3.8
01051,Dithmarschen,Landkreis,2007,4.57
01051,Dithmarschen,Landkreis,2008,5.04
01051,Dithmarschen,Landkreis,2009,4.07
01051,Dithmarschen,Landkreis,2010,3.92
01051,Dithmarschen,Landkreis,2011,3.79
01051,Dithmarschen,Landkreis,2012,3.63
01051,Dithmarschen,Landkreis,2013,4.87
01051,Dithmarschen,Landkreis,2014,4.47
01051,Dithmarschen,Landkreis,2015,3.14
01051,Dithmarschen,Landkreis,2016,3.47
01051,Dithmarschen,Landkreis,2017,4.28
01053,Herzogtum Lauenburg,Landkreis,2000,2.18
01053,Herzogtum Lauenburg,Landkreis,2001,2.64
01053,Herzogtum Lauenburg,Landkreis,2002,2.01
01053,Herzogtum Lauenburg,Landkreis,2003,2.02
01053,Herzogtum Lauenburg,Landkreis,2004,2.22
01053,Herzogtum Lauenburg,Landkreis,2005,1.41
01053,Herzogtum Lauenburg,Landkreis,2006,1.47
01053,Herzogtum Lauenburg,Landkreis,2007,1.41
01053,Herzogtum Lauenburg,Landkreis,2008,2.2
01053,Herzogtum Lauenburg,Landkreis,2009,1.59
01053,Herzogtum Lauenburg,Landkreis,2010,1.5
01053,Herzogtum Lauenburg,Landkreis,2011,1.55
01053,Herzogtum Lauenburg,Landkreis,2012,1.51
01053,Herzogtum Lauenburg,Landkreis,2013,2.15
01053,Herzogtum Lauenburg,Landkreis,2014,2.2
01053,Herzogtum Lauenburg,Landkreis,2015,1.5
01053,Herzogtum Lauenburg,Landkreis,2016,1.53
01053,Herzogtum Lauenburg,Landkreis,2017,1.87
01054,Nordfriesland,Landkreis,2000,4.16
01054,Nordfriesland,Landkreis,2001,4.44
01054,Nordfriesland,Landkreis,2002,3.5
01054,Nordfriesland,Landkreis,2003,3.51
01054,Nordfriesland,Landkreis,2004,3.84
01054,Nordfriesland,Landkreis,2005,2.69
01054,Nordfriesland,Landkreis,2006,3.05
01054,Nordfriesland,Landkreis,2007,3.02
01054,Nordfriesland,Landkreis,2008,3.51
01054,Nordfriesland,Landkreis,2009,2.54
01054,Nordfriesland,Landkreis,2010,2.86
01054,Nordfriesland,Landkreis,2011,2.96
01054,Nordfriesland,Landkreis,2012,2.76
01054,Nordfriesland,Landkreis,2013,3.99
01054,Nordfriesland,Landkreis,2014,3.37
01054,Nordfriesland,Landkreis,2015,2.45
01054,Nordfriesland,Landkreis,2016,2.52
01054,Nordfriesland,Landkreis,2017,3.27
01055,Ostholstein,Landkreis,2000,2.59
01055,Ostholstein,Landkreis,2001,2.77
01055,Ostholstein,Landkreis,2002,2.11
01055,Ostholstein,Landkreis,2003,2.11
01055,Ostholstein,Landkreis,2004,2.4
01055,Ostholstein,Landkreis,2005,1.69
01055,Ostholstein,Landkreis,2006,2.07
01055,Ostholstein,Landkreis,2007,1.95
01055,Ostholstein,Landkreis,2008,2.31
01055,Ostholstein,Landkreis,2009,1.69
01055,Ostholstein,Landkreis,2010,1.61
01055,Ostholstein,Landkreis,2011,1.59
01055,Ostholstein,Landkreis,2012,1.53
01055,Ostholstein,Landkreis,2013,2.14
01055,Ostholstein,Landkreis,2014,1.82
01055,Ostholstein,Landkreis,2015,1.34
01055,Ostholstein,Landkreis,2016,1.38
01055,Ostholstein,Landkreis,2017,1.76
01056,Pinneberg,Landkreis,2000,2.29
01056,Pinneberg,Landkreis,2001,2.36
01056,Pinneberg,Landkreis,2002,1.89
01056,Pinneberg,Landkreis,2003,1.44
01056,Pinneberg,Landkreis,2004,1.59
01056,Pinneberg,Landkreis,2005,1.07
01056,Pinneberg,Landkreis,2006,1.33
01056,Pinneberg,Landkreis,2007,1.25
01056,Pinneberg,Landkreis,2008,1.53
01056,Pinneberg,Landkreis,2009,1.12
01056,Pinneberg,Landkreis,2010,1.15
01056,Pinneberg,Landkreis,2011,1.13
01056,Pinneberg,Landkreis,2012,1.16
01056,Pinneberg,Landkreis,2013,1.67
01056,Pinneberg,Landkreis,2014,1.41
01056,Pinneberg,Landkreis,2015,1.04
01056,Pinneberg,Landkreis,2016,0.85
01056,Pinneberg,Landkreis,2017,1.1
01057,Plön,Landkreis,2000,4.12
01057,Plön,Landkreis,2001,4.63
01057,Plön,Landkreis,2002,3.57
01057,Plön,Landkreis,2003,3.36
01057,Plön,Landkreis,2004,3.57
01057,Plön,Landkreis,2005,2.47
01057,Plön,Landkreis,2006,2.94
01057,Plön,Landkreis,2007,2.83
01057,Plön,Landkreis,2008,3.42
