Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,23.4
01001,"Flensburg, Stadt",krsfr. Stadt,2001,19.7
01001,"Flensburg, Stadt",krsfr. Stadt,2002,23.8
01001,"Flensburg, Stadt",krsfr. Stadt,2003,25.3
01001,"Flensburg, Stadt",krsfr. Stadt,2004,27.8
01001,"Flensburg, Stadt",krsfr. Stadt,2005,25
01001,"Flensburg, Stadt",krsfr. Stadt,2006,25.2
01001,"Flensburg, Stadt",krsfr. Stadt,2007,24.7
01001,"Flensburg, Stadt",krsfr. Stadt,2008,22.4
01001,"Flensburg, Stadt",krsfr. Stadt,2009,18.1
01001,"Flensburg, Stadt",krsfr. Stadt,2010,18.9
01001,"Flensburg, Stadt",krsfr. Stadt,2011,18.8
01001,"Flensburg, Stadt",krsfr. Stadt,2012,19.6
01001,"Flensburg, Stadt",krsfr. Stadt,2013,19.6
01001,"Flensburg, Stadt",krsfr. Stadt,2014,18.2
01001,"Flensburg, Stadt",krsfr. Stadt,2015,19.8
01001,"Flensburg, Stadt",krsfr. Stadt,2016,20.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,20.6
01002,"Kiel, Stadt",krsfr. Stadt,2000,18.3
01002,"Kiel, Stadt",krsfr. Stadt,2001,20
01002,"Kiel, Stadt",krsfr. Stadt,2002,16.2
01002,"Kiel, Stadt",krsfr. Stadt,2003,19
01002,"Kiel, Stadt",krsfr. Stadt,2004,16.5
01002,"Kiel, Stadt",krsfr. Stadt,2005,15.9
01002,"Kiel, Stadt",krsfr. Stadt,2006,17
01002,"Kiel, Stadt",krsfr. Stadt,2007,15
01002,"Kiel, Stadt",krsfr. Stadt,2008,17.4
01002,"Kiel, Stadt",krsfr. Stadt,2009,16.9
01002,"Kiel, Stadt",krsfr. Stadt,2010,15.4
01002,"Kiel, Stadt",krsfr. Stadt,2011,16.4
01002,"Kiel, Stadt",krsfr. Stadt,2012,16.4
01002,"Kiel, Stadt",krsfr. Stadt,2013,16.7
01002,"Kiel, Stadt",krsfr. Stadt,2014,16.1
01002,"Kiel, Stadt",krsfr. Stadt,2015,14.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,16.8
01002,"Kiel, Stadt",krsfr. Stadt,2017,16.9
01003,"Lübeck, Stadt",krsfr. Stadt,2000,23.2
01003,"Lübeck, Stadt",krsfr. Stadt,2001,21.5
01003,"Lübeck, Stadt",krsfr. Stadt,2002,23.8
01003,"Lübeck, Stadt",krsfr. Stadt,2003,26.5
01003,"Lübeck, Stadt",krsfr. Stadt,2004,23.7
01003,"Lübeck, Stadt",krsfr. Stadt,2005,23.5
