Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,76.6
01001,"Flensburg, Stadt",krsfr. Stadt,2001,80.3
01001,"Flensburg, Stadt",krsfr. Stadt,2002,76.2
01001,"Flensburg, Stadt",krsfr. Stadt,2003,74.7
01001,"Flensburg, Stadt",krsfr. Stadt,2004,72.2
01001,"Flensburg, Stadt",krsfr. Stadt,2005,75
01001,"Flensburg, Stadt",krsfr. Stadt,2006,74.8
01001,"Flensburg, Stadt",krsfr. Stadt,2007,75.3
01001,"Flensburg, Stadt",krsfr. Stadt,2008,77.6
01001,"Flensburg, Stadt",krsfr. Stadt,2009,81.9
01001,"Flensburg, Stadt",krsfr. Stadt,2010,81.1
01001,"Flensburg, Stadt",krsfr. Stadt,2011,81.1
01001,"Flensburg, Stadt",krsfr. Stadt,2012,80.4
01001,"Flensburg, Stadt",krsfr. Stadt,2013,80.4
01001,"Flensburg, Stadt",krsfr. Stadt,2014,81.8
01001,"Flensburg, Stadt",krsfr. Stadt,2015,80.1
01001,"Flensburg, Stadt",krsfr. Stadt,2016,79.6
01001,"Flensburg, Stadt",krsfr. Stadt,2017,79.4
01002,"Kiel, Stadt",krsfr. Stadt,2000,81.7
01002,"Kiel, Stadt",krsfr. Stadt,2001,80
01002,"Kiel, Stadt",krsfr. Stadt,2002,83.8
01002,"Kiel, Stadt",krsfr. Stadt,2003,81
01002,"Kiel, Stadt",krsfr. Stadt,2004,83.5
01002,"Kiel, Stadt",krsfr. Stadt,2005,84.1
01002,"Kiel, Stadt",krsfr. Stadt,2006,83
01002,"Kiel, Stadt",krsfr. Stadt,2007,85
01002,"Kiel, Stadt",krsfr. Stadt,2008,82.6
01002,"Kiel, Stadt",krsfr. Stadt,2009,83.1
01002,"Kiel, Stadt",krsfr. Stadt,2010,84.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,83.5
01002,"Kiel, Stadt",krsfr. Stadt,2012,83.6
01002,"Kiel, Stadt",krsfr. Stadt,2013,83.3
01002,"Kiel, Stadt",krsfr. Stadt,2014,83.9
01002,"Kiel, Stadt",krsfr. Stadt,2015,85.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,83.2
01002,"Kiel, Stadt",krsfr. Stadt,2017,83.1
01003,"Lübeck, Stadt",krsfr. Stadt,2000,76.6
01003,"Lübeck, Stadt",krsfr. Stadt,2001,78.4
01003,"Lübeck, Stadt",krsfr. Stadt,2002,76.1
01003,"Lübeck, Stadt",krsfr. Stadt,2003,73.3
01003,"Lübeck, Stadt",krsfr. Stadt,2004,76.1
01003,"Lübeck, Stadt",krsfr. Stadt,2005,76.4
01003,"Lübeck, Stadt",krsfr. Stadt,2006,75.2
01003,"Lübeck, Stadt",krsfr. Stadt,2007,74.1
01003,"Lübeck, Stadt",krsfr. Stadt,2008,76.4
01003,"Lübeck, Stadt",krsfr. Stadt,2009,78.7
01003,"Lübeck, Stadt",krsfr. Stadt,2010,76.3
01003,"Lübeck, Stadt",krsfr. Stadt,2011,77
01003,"Lübeck, Stadt",krsfr. Stadt,2012,75.4
01003,"Lübeck, Stadt",krsfr. Stadt,2013,74.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,77.6
01003,"Lübeck, Stadt",krsfr. Stadt,2015,77.4
01003,"Lübeck, Stadt",krsfr. Stadt,2016,76.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,76.1
01004,"Neumünster, Stadt",krsfr. Stadt,2000,72.8
01004,"Neumünster, Stadt",krsfr. Stadt,2001,76.1
01004,"Neumünster, Stadt",krsfr. Stadt,2002,76.5
01004,"Neumünster, Stadt",krsfr. Stadt,2003,72.7
01004,"Neumünster, Stadt",krsfr. Stadt,2004,75.6
01004,"Neumünster, Stadt",krsfr. Stadt,2005,75.6
01004,"Neumünster, Stadt",krsfr. Stadt,2006,72.6
01004,"Neumünster, Stadt",krsfr. Stadt,2007,73.3
01004,"Neumünster, Stadt",krsfr. Stadt,2008,76.5
01004,"Neumünster, Stadt",krsfr. Stadt,2009,79.6
01004,"Neumünster, Stadt",krsfr. Stadt,2010,77.4
01004,"Neumünster, Stadt",krsfr. Stadt,2011,75
01004,"Neumünster, Stadt",krsfr. Stadt,2012,75.1
01004,"Neumünster, Stadt",krsfr. Stadt,2013,74.8
01004,"Neumünster, Stadt",krsfr. Stadt,2014,73.9
01004,"Neumünster, Stadt",krsfr. Stadt,2015,74
01004,"Neumünster, Stadt",krsfr. Stadt,2016,76.5
01004,"Neumünster, Stadt",krsfr. Stadt,2017,76.1
01051,Dithmarschen,Landkreis,2000,63.5
01051,Dithmarschen,Landkreis,2001,63.9
01051,Dithmarschen,Landkreis,2002,65.9
01051,Dithmarschen,Landkreis,2003,67.6
01051,Dithmarschen,Landkreis,2004,50.7
01051,Dithmarschen,Landkreis,2005,69.2
01051,Dithmarschen,Landkreis,2006,63.3
01051,Dithmarschen,Landkreis,2007,69.9
01051,Dithmarschen,Landkreis,2008,64.9
01051,Dithmarschen,Landkreis,2009,68.4
01051,Dithmarschen,Landkreis,2010,62.5
01051,Dithmarschen,Landkreis,2011,63.7
01051,Dithmarschen,Landkreis,2012,61.3
01051,Dithmarschen,Landkreis,2013,62.4
01051,Dithmarschen,Landkreis,2014,62.4
01051,Dithmarschen,Landkreis,2015,59.9
01051,Dithmarschen,Landkreis,2016,60
01051,Dithmarschen,Landkreis,2017,57.2
01053,Herzogtum Lauenburg,Landkreis,2000,63
01053,Herzogtum Lauenburg,Landkreis,2001,69.7
01053,Herzogtum Lauenburg,Landkreis,2002,66.5
01053,Herzogtum Lauenburg,Landkreis,2003,70
