Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,45.5
01001,"Flensburg, Stadt",krsfr. Stadt,2001,46.5
01001,"Flensburg, Stadt",krsfr. Stadt,2002,49.1
01001,"Flensburg, Stadt",krsfr. Stadt,2003,50.5
01001,"Flensburg, Stadt",krsfr. Stadt,2004,54.4
01001,"Flensburg, Stadt",krsfr. Stadt,2005,55.2
01001,"Flensburg, Stadt",krsfr. Stadt,2006,55.5
01001,"Flensburg, Stadt",krsfr. Stadt,2007,55.4
01001,"Flensburg, Stadt",krsfr. Stadt,2008,56.7
01001,"Flensburg, Stadt",krsfr. Stadt,2009,55
01001,"Flensburg, Stadt",krsfr. Stadt,2010,55.6
01001,"Flensburg, Stadt",krsfr. Stadt,2011,56.7
01001,"Flensburg, Stadt",krsfr. Stadt,2012,57.5
01001,"Flensburg, Stadt",krsfr. Stadt,2013,57.4
01001,"Flensburg, Stadt",krsfr. Stadt,2014,57.3
01001,"Flensburg, Stadt",krsfr. Stadt,2015,59.9
01001,"Flensburg, Stadt",krsfr. Stadt,2016,60.2
01001,"Flensburg, Stadt",krsfr. Stadt,2017,62.7
01002,"Kiel, Stadt",krsfr. Stadt,2000,50.6
01002,"Kiel, Stadt",krsfr. Stadt,2001,51.8
01002,"Kiel, Stadt",krsfr. Stadt,2002,50.1
01002,"Kiel, Stadt",krsfr. Stadt,2003,53.4
01002,"Kiel, Stadt",krsfr. Stadt,2004,53
01002,"Kiel, Stadt",krsfr. Stadt,2005,53.8
01002,"Kiel, Stadt",krsfr. Stadt,2006,55.3
01002,"Kiel, Stadt",krsfr. Stadt,2007,54.7
01002,"Kiel, Stadt",krsfr. Stadt,2008,57.2
01002,"Kiel, Stadt",krsfr. Stadt,2009,57.1
01002,"Kiel, Stadt",krsfr. Stadt,2010,57.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,59
01002,"Kiel, Stadt",krsfr. Stadt,2012,59.6
01002,"Kiel, Stadt",krsfr. Stadt,2013,62.3
01002,"Kiel, Stadt",krsfr. Stadt,2014,63.6
01002,"Kiel, Stadt",krsfr. Stadt,2015,63.7
01002,"Kiel, Stadt",krsfr. Stadt,2016,65.4
01002,"Kiel, Stadt",krsfr. Stadt,2017,67.1
01003,"Lübeck, Stadt",krsfr. Stadt,2000,47.8
01003,"Lübeck, Stadt",krsfr. Stadt,2001,48.8
01003,"Lübeck, Stadt",krsfr. Stadt,2002,50.6
01003,"Lübeck, Stadt",krsfr. Stadt,2003,52.4
01003,"Lübeck, Stadt",krsfr. Stadt,2004,51.2
01003,"Lübeck, Stadt",krsfr. Stadt,2005,51.6
01003,"Lübeck, Stadt",krsfr. Stadt,2006,53.3
01003,"Lübeck, Stadt",krsfr. Stadt,2007,53.9
01003,"Lübeck, Stadt",krsfr. Stadt,2008,52.6
01003,"Lübeck, Stadt",krsfr. Stadt,2009,51.1
01003,"Lübeck, Stadt",krsfr. Stadt,2010,52.4
01003,"Lübeck, Stadt",krsfr. Stadt,2011,54.1
01003,"Lübeck, Stadt",krsfr. Stadt,2012,57.3
01003,"Lübeck, Stadt",krsfr. Stadt,2013,59.8
01003,"Lübeck, Stadt",krsfr. Stadt,2014,65
01003,"Lübeck, Stadt",krsfr. Stadt,2015,65.6
01003,"Lübeck, Stadt",krsfr. Stadt,2016,65.8
01003,"Lübeck, Stadt",krsfr. Stadt,2017,68.4
01004,"Neumünster, Stadt",krsfr. Stadt,2000,47.6
01004,"Neumünster, Stadt",krsfr. Stadt,2001,46.6
01004,"Neumünster, Stadt",krsfr. Stadt,2002,47.9
01004,"Neumünster, Stadt",krsfr. Stadt,2003,51.4
01004,"Neumünster, Stadt",krsfr. Stadt,2004,49.5
01004,"Neumünster, Stadt",krsfr. Stadt,2005,50.9
01004,"Neumünster, Stadt",krsfr. Stadt,2006,53.2
01004,"Neumünster, Stadt",krsfr. Stadt,2007,54.4
01004,"Neumünster, Stadt",krsfr. Stadt,2008,53.1
01004,"Neumünster, Stadt",krsfr. Stadt,2009,50.8
01004,"Neumünster, Stadt",krsfr. Stadt,2010,53.3
01004,"Neumünster, Stadt",krsfr. Stadt,2011,55.2
01004,"Neumünster, Stadt",krsfr. Stadt,2012,55.7
01004,"Neumünster, Stadt",krsfr. Stadt,2013,57.5
01004,"Neumünster, Stadt",krsfr. Stadt,2014,60.5
01004,"Neumünster, Stadt",krsfr. Stadt,2015,61.7
01004,"Neumünster, Stadt",krsfr. Stadt,2016,60.4
01004,"Neumünster, Stadt",krsfr. Stadt,2017,62.2
01051,Dithmarschen,Landkreis,2000,51.8
01051,Dithmarschen,Landkreis,2001,54
01051,Dithmarschen,Landkreis,2002,54.4
01051,Dithmarschen,Landkreis,2003,55.5
01051,Dithmarschen,Landkreis,2004,76.6
01051,Dithmarschen,Landkreis,2005,54.1
01051,Dithmarschen,Landkreis,2006,59
01051,Dithmarschen,Landkreis,2007,55.5
01051,Dithmarschen,Landkreis,2008,59.5
01051,Dithmarschen,Landkreis,2009,56.4
01051,Dithmarschen,Landkreis,2010,59.1
01051,Dithmarschen,Landkreis,2011,59.7
01051,Dithmarschen,Landkreis,2012,62.9
01051,Dithmarschen,Landkreis,2013,65.3
01051,Dithmarschen,Landkreis,2014,63.5
01051,Dithmarschen,Landkreis,2015,67.6
01051,Dithmarschen,Landkreis,2016,68.7
01051,Dithmarschen,Landkreis,2017,72.3
01053,Herzogtum Lauenburg,Landkreis,2000,50.9
01053,Herzogtum Lauenburg,Landkreis,2001,47.9
01053,Herzogtum Lauenburg,Landkreis,2002,49.9
01053,Herzogtum Lauenburg,Landkreis,2003,49.5
01053,Herzogtum Lauenburg,Landkreis,2004,50.4
01053,Herzogtum Lauenburg,Landkreis,2005,56
01053,Herzogtum Lauenburg,Landkreis,2006,65.3
01053,Herzogtum Lauenburg,Landkreis,2007,66.6
01053,Herzogtum Lauenburg,Landkreis,2008,53.8
01053,Herzogtum Lauenburg,Landkreis,2009,52.4
01053,Herzogtum Lauenburg,Landkreis,2010,53.9
01053,Herzogtum Lauenburg,Landkreis,2011,54.9
01053,Herzogtum Lauenburg,Landkreis,2012,56.7
01053,Herzogtum Lauenburg,Landkreis,2013,58.9
01053,Herzogtum Lauenburg,Landkreis,2014,59.2
01053,Herzogtum Lauenburg,Landkreis,2015,60.1
01053,Herzogtum Lauenburg,Landkreis,2016,61.7
01053,Herzogtum Lauenburg,Landkreis,2017,63.5
01054,Nordfriesland,Landkreis,2000,47.6
01054,Nordfriesland,Landkreis,2001,49.6
01054,Nordfriesland,Landkreis,2002,49.1
01054,Nordfriesland,Landkreis,2003,51
01054,Nordfriesland,Landkreis,2004,51.1
01054,Nordfriesland,Landkreis,2005,51.1
01054,Nordfriesland,Landkreis,2006,51.6
