Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2001,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2002,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2003,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2004,1.3
01001,"Flensburg, Stadt",krsfr. Stadt,2005,1.3
01001,"Flensburg, Stadt",krsfr. Stadt,2006,1.3
01001,"Flensburg, Stadt",krsfr. Stadt,2007,1.3
01001,"Flensburg, Stadt",krsfr. Stadt,2008,1.3
01001,"Flensburg, Stadt",krsfr. Stadt,2009,1.3
01001,"Flensburg, Stadt",krsfr. Stadt,2010,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2011,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2012,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2013,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2014,1.1
01001,"Flensburg, Stadt",krsfr. Stadt,2015,1.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,1.1
01001,"Flensburg, Stadt",krsfr. Stadt,2017,1.1
01002,"Kiel, Stadt",krsfr. Stadt,2000,3.7
01002,"Kiel, Stadt",krsfr. Stadt,2001,3.7
01002,"Kiel, Stadt",krsfr. Stadt,2002,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2003,3.6
01002,"Kiel, Stadt",krsfr. Stadt,2004,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2005,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2006,3.6
01002,"Kiel, Stadt",krsfr. Stadt,2007,3.4
01002,"Kiel, Stadt",krsfr. Stadt,2008,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2009,3.7
01002,"Kiel, Stadt",krsfr. Stadt,2010,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2012,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2013,3.6
01002,"Kiel, Stadt",krsfr. Stadt,2014,3.6
01002,"Kiel, Stadt",krsfr. Stadt,2015,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,3.5
01002,"Kiel, Stadt",krsfr. Stadt,2017,3.6
01003,"Lübeck, Stadt",krsfr. Stadt,2000,2.7
01003,"Lübeck, Stadt",krsfr. Stadt,2001,2.6
01003,"Lübeck, Stadt",krsfr. Stadt,2002,2.7
01003,"Lübeck, Stadt",krsfr. Stadt,2003,2.7
01003,"Lübeck, Stadt",krsfr. Stadt,2004,2.6
01003,"Lübeck, Stadt",krsfr. Stadt,2005,2.5
01003,"Lübeck, Stadt",krsfr. Stadt,2006,2.6
01003,"Lübeck, Stadt",krsfr. Stadt,2007,2.5
01003,"Lübeck, Stadt",krsfr. Stadt,2008,2.5
01003,"Lübeck, Stadt",krsfr. Stadt,2009,2.5
01003,"Lübeck, Stadt",krsfr. Stadt,2010,2.5
01003,"Lübeck, Stadt",krsfr. Stadt,2011,2.5
01003,"Lübeck, Stadt",krsfr. Stadt,2012,2.6
01003,"Lübeck, Stadt",krsfr. Stadt,2013,2.6
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2.7
01003,"Lübeck, Stadt",krsfr. Stadt,2015,2.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,2.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,2.7
01004,"Neumünster, Stadt",krsfr. Stadt,2000,1
01004,"Neumünster, Stadt",krsfr. Stadt,2001,1
01004,"Neumünster, Stadt",krsfr. Stadt,2002,1
01004,"Neumünster, Stadt",krsfr. Stadt,2003,1
01004,"Neumünster, Stadt",krsfr. Stadt,2004,1
01004,"Neumünster, Stadt",krsfr. Stadt,2005,1
01004,"Neumünster, Stadt",krsfr. Stadt,2006,1
01004,"Neumünster, Stadt",krsfr. Stadt,2007,1
01004,"Neumünster, Stadt",krsfr. Stadt,2008,1
01004,"Neumünster, Stadt",krsfr. Stadt,2009,1
01004,"Neumünster, Stadt",krsfr. Stadt,2010,1
01004,"Neumünster, Stadt",krsfr. Stadt,2011,1
01004,"Neumünster, Stadt",krsfr. Stadt,2012,1
01004,"Neumünster, Stadt",krsfr. Stadt,2013,1
01004,"Neumünster, Stadt",krsfr. Stadt,2014,1
01004,"Neumünster, Stadt",krsfr. Stadt,2015,1
01004,"Neumünster, Stadt",krsfr. Stadt,2016,1
01004,"Neumünster, Stadt",krsfr. Stadt,2017,1
01051,Dithmarschen,Landkreis,2000,1.5
01051,Dithmarschen,Landkreis,2001,1.5
01051,Dithmarschen,Landkreis,2002,1.4
01051,Dithmarschen,Landkreis,2003,1.4
01051,Dithmarschen,Landkreis,2004,1.9
01051,Dithmarschen,Landkreis,2005,1.3
01051,Dithmarschen,Landkreis,2006,1.4
01051,Dithmarschen,Landkreis,2007,1.2
01051,Dithmarschen,Landkreis,2008,1.3
01051,Dithmarschen,Landkreis,2009,1.3
01051,Dithmarschen,Landkreis,2010,1.3
01051,Dithmarschen,Landkreis,2011,1.3
01051,Dithmarschen,Landkreis,2012,1.3
01051,Dithmarschen,Landkreis,2013,1.3
01051,Dithmarschen,Landkreis,2014,1.3
01051,Dithmarschen,Landkreis,2015,1.3
01051,Dithmarschen,Landkreis,2016,1.3
01051,Dithmarschen,Landkreis,2017,1.3
01053,Herzogtum Lauenburg,Landkreis,2000,1.5
01053,Herzogtum Lauenburg,Landkreis,2001,1.4
01053,Herzogtum Lauenburg,Landkreis,2002,1.5
01053,Herzogtum Lauenburg,Landkreis,2003,1.4
01053,Herzogtum Lauenburg,Landkreis,2004,1.4
01053,Herzogtum Lauenburg,Landkreis,2005,1.6
01053,Herzogtum Lauenburg,Landkreis,2006,1.8
01053,Herzogtum Lauenburg,Landkreis,2007,1.7
01053,Herzogtum Lauenburg,Landkreis,2008,1.4
01053,Herzogtum Lauenburg,Landkreis,2009,1.4
01053,Herzogtum Lauenburg,Landkreis,2010,1.4
01053,Herzogtum Lauenburg,Landkreis,2011,1.4
01053,Herzogtum Lauenburg,Landkreis,2012,1.4
01053,Herzogtum Lauenburg,Landkreis,2013,1.4
01053,Herzogtum Lauenburg,Landkreis,2014,1.4
01053,Herzogtum Lauenburg,Landkreis,2015,1.3
01053,Herzogtum Lauenburg,Landkreis,2016,1.3
01053,Herzogtum Lauenburg,Landkreis,2017,1.4
01054,Nordfriesland,Landkreis,2000,1.8
01054,Nordfriesland,Landkreis,2001,1.8
01054,Nordfriesland,Landkreis,2002,1.8
01054,Nordfriesland,Landkreis,2003,1.8
01054,Nordfriesland,Landkreis,2004,1.8
01054,Nordfriesland,Landkreis,2005,1.8
01054,Nordfriesland,Landkreis,2006,1.7
01054,Nordfriesland,Landkreis,2007,1.8
01054,Nordfriesland,Landkreis,2008,1.8
01054,Nordfriesland,Landkreis,2009,1.9
01054,Nordfriesland,Landkreis,2010,1.9
01054,Nordfriesland,Landkreis,2011,1.8
01054,Nordfriesland,Landkreis,2012,1.9
01054,Nordfriesland,Landkreis,2013,1.8
01054,Nordfriesland,Landkreis,2014,1.8
01054,Nordfriesland,Landkreis,2015,1.8
01054,Nordfriesland,Landkreis,2016,1.8
01054,Nordfriesland,Landkreis,2017,1.8
01055,Ostholstein,Landkreis,2000,1.8
01055,Ostholstein,Landkreis,2001,1.8
01055,Ostholstein,Landkreis,2002,1.7
01055,Ostholstein,Landkreis,2003,1.7
01055,Ostholstein,Landkreis,2004,1.6
01055,Ostholstein,Landkreis,2005,1.7
01055,Ostholstein,Landkreis,2006,1.6
01055,Ostholstein,Landkreis,2007,1.5
01055,Ostholstein,Landkreis,2008,1.5
01055,Ostholstein,Landkreis,2009,1.6
01055,Ostholstein,Landkreis,2010,1.6
01055,Ostholstein,Landkreis,2011,1.5
01055,Ostholstein,Landkreis,2012,1.6
01055,Ostholstein,Landkreis,2013,1.6
01055,Ostholstein,Landkreis,2014,1.6
01055,Ostholstein,Landkreis,2015,1.6
01055,Ostholstein,Landkreis,2016,1.6
01055,Ostholstein,Landkreis,2017,1.6
01056,Pinneberg,Landkreis,2000,3
01056,Pinneberg,Landkreis,2001,3.1
01056,Pinneberg,Landkreis,2002,3
01056,Pinneberg,Landkreis,2003,3
01056,Pinneberg,Landkreis,2004,2.9
01056,Pinneberg,Landkreis,2005,3.1
01056,Pinneberg,Landkreis,2006,3
01056,Pinneberg,Landkreis,2007,3
01056,Pinneberg,Landkreis,2008,2.9
01056,Pinneberg,Landkreis,2009,3
01056,Pinneberg,Landkreis,2010,2.9
01056,Pinneberg,Landkreis,2011,2.9
01056,Pinneberg,Landkreis,2012,2.8
01056,Pinneberg,Landkreis,2013,2.8
01056,Pinneberg,Landkreis,2014,2.8
01056,Pinneberg,Landkreis,2015,2.7
01056,Pinneberg,Landkreis,2016,2.8
01056,Pinneberg,Landkreis,2017,2.8
01057,Plön,Landkreis,2000,0.9
01057,Plön,Landkreis,2001,0.8
01057,Plön,Landkreis,2002,0.8
01057,Plön,Landkreis,2003,0.9
01057,Plön,Landkreis,2004,0.9
01057,Plön,Landkreis,2005,0.9
01057,Plön,Landkreis,2006,0.9
01057,Plön,Landkreis,2007,0.8
01057,Plön,Landkreis,2008,0.8
01057,Plön,Landkreis,2009,0.9
01057,Plön,Landkreis,2010,0.9
01057,Plön,Landkreis,2011,0.9
01057,Plön,Landkreis,2012,0.8
01057,Plön,Landkreis,2013,0.9
01057,Plön,Landkreis,2014,0.8
01057,Plön,Landkreis,2015,0.8
01057,Plön,Landkreis,2016,0.8
01057,Plön,Landkreis,2017,0.8
01058,Rendsburg-Eckernförde,Landkreis,2000,2.8
01058,Rendsburg-Eckernförde,Landkreis,2001,2.9
01058,Rendsburg-Eckernförde,Landkreis,2002,2.9
01058,Rendsburg-Eckernförde,Landkreis,2003,2.9
01058,Rendsburg-Eckernförde,Landkreis,2004,2.7
01058,Rendsburg-Eckernförde,Landkreis,2005,2.6
01058,Rendsburg-Eckernförde,Landkreis,2006,2.6
01058,Rendsburg-Eckernförde,Landkreis,2007,2.5
01058,Rendsburg-Eckernförde,Landkreis,2008,2.6
01058,Rendsburg-Eckernförde,Landkreis,2009,2.5
01058,Rendsburg-Eckernförde,Landkreis,2010,2.5
01058,Rendsburg-Eckernförde,Landkreis,2011,2.6
01058,Rendsburg-Eckernförde,Landkreis,2012,2.8
01058,Rendsburg-Eckernförde,Landkreis,2013,2.6
01058,Rendsburg-Eckernförde,Landkreis,2014,2.5
01058,Rendsburg-Eckernförde,Landkreis,2015,2.4
01058,Rendsburg-Eckernförde,Landkreis,2016,2.4
01058,Rendsburg-Eckernförde,Landkreis,2017,2.4
01059,Schleswig-Flensburg,Landkreis,2000,1.7
01059,Schleswig-Flensburg,Landkreis,2001,1.7
01059,Schleswig-Flensburg,Landkreis,2002,1.6
01059,Schleswig-Flensburg,Landkreis,2003,1.7
01059,Schleswig-Flensburg,Landkreis,2004,1.6
01059,Schleswig-Flensburg,Landkreis,2005,1.6
01059,Schleswig-Flensburg,Landkreis,2006,1.5
01059,Schleswig-Flensburg,Landkreis,2007,1.5
01059,Schleswig-Flensburg,Landkreis,2008,1.6
01059,Schleswig-Flensburg,Landkreis,2009,1.6
01059,Schleswig-Flensburg,Landkreis,2010,1.6
01059,Schleswig-Flensburg,Landkreis,2011,1.6
01059,Schleswig-Flensburg,Landkreis,2012,1.6
01059,Schleswig-Flensburg,Landkreis,2013,1.6
01059,Schleswig-Flensburg,Landkreis,2014,1.7
01059,Schleswig-Flensburg,Landkreis,2015,1.6
01059,Schleswig-Flensburg,Landkreis,2016,1.6
01059,Schleswig-Flensburg,Landkreis,2017,1.6
01060,Segeberg,Landkreis,2000,2.8
01060,Segeberg,Landkreis,2001,2.8
01060,Segeberg,Landkreis,2002,2.7
01060,Segeberg,Landkreis,2003,2.7
01060,Segeberg,Landkreis,2004,2.7
01060,Segeberg,Landkreis,2005,2.7
01060,Segeberg,Landkreis,2006,2.7
01060,Segeberg,Landkreis,2007,2.5
01060,Segeberg,Landkreis,2008,2.7
01060,Segeberg,Landkreis,2009,2.7
01060,Segeberg,Landkreis,2010,2.6
01060,Segeberg,Landkreis,2011,2.5
01060,Segeberg,Landkreis,2012,2.6
01060,Segeberg,Landkreis,2013,2.6
01060,Segeberg,Landkreis,2014,2.6
01060,Segeberg,Landkreis,2015,2.6
01060,Segeberg,Landkreis,2016,2.6
01060,Segeberg,Landkreis,2017,2.7
01061,Steinburg,Landkreis,2000,1.5
01061,Steinburg,Landkreis,2001,1.5
01061,Steinburg,Landkreis,2002,1.4
01061,Steinburg,Landkreis,2003,1.4
01061,Steinburg,Landkreis,2004,1.3
01061,Steinburg,Landkreis,2005,1.5
01061,Steinburg,Landkreis,2006,1.4
01061,Steinburg,Landkreis,2007,1.3
01061,Steinburg,Landkreis,2008,1.5
01061,Steinburg,Landkreis,2009,1.5
01061,Steinburg,Landkreis,2010,1.5
01061,Steinburg,Landkreis,2011,1.4
01061,Steinburg,Landkreis,2012,1.4
01061,Steinburg,Landkreis,2013,1.4
01061,Steinburg,Landkreis,2014,1.4
01061,Steinburg,Landkreis,2015,1.3
01061,Steinburg,Landkreis,2016,1.3
01061,Steinburg,Landkreis,2017,1.3
01062,Stormarn,Landkreis,2000,2.5
01062,Stormarn,Landkreis,2001,2.4
01062,Stormarn,Landkreis,2002,2.3
01062,Stormarn,Landkreis,2003,2.4
01062,Stormarn,Landkreis,2004,2.5
01062,Stormarn,Landkreis,2005,2.6
01062,Stormarn,Landkreis,2006,2.5
01062,Stormarn,Landkreis,2007,2.5
01062,Stormarn,Landkreis,2008,2.6
01062,Stormarn,Landkreis,2009,2.6
01062,Stormarn,Landkreis,2010,2.5
01062,Stormarn,Landkreis,2011,2.4
01062,Stormarn,Landkreis,2012,2.5
01062,Stormarn,Landkreis,2013,2.4
01062,Stormarn,Landkreis,2014,2.5
01062,Stormarn,Landkreis,2015,2.5
01062,Stormarn,Landkreis,2016,2.5
01062,Stormarn,Landkreis,2017,2.5
02000,"Hamburg, Stadt",krsfr. Stadt,2000,36.9
02000,"Hamburg, Stadt",krsfr. Stadt,2001,37.8
02000,"Hamburg, Stadt",krsfr. Stadt,2002,38
02000,"Hamburg, Stadt",krsfr. Stadt,2003,37.9
02000,"Hamburg, Stadt",krsfr. Stadt,2004,37.9
02000,"Hamburg, Stadt",krsfr. Stadt,2005,38.2
02000,"Hamburg, Stadt",krsfr. Stadt,2006,37.3
02000,"Hamburg, Stadt",krsfr. Stadt,2007,36.8
02000,"Hamburg, Stadt",krsfr. Stadt,2008,37.1
02000,"Hamburg, Stadt",krsfr. Stadt,2009,37.3
02000,"Hamburg, Stadt",krsfr. Stadt,2010,36.7
02000,"Hamburg, Stadt",krsfr. Stadt,2011,35.5
02000,"Hamburg, Stadt",krsfr. Stadt,2012,35.5
02000,"Hamburg, Stadt",krsfr. Stadt,2013,36.2
02000,"Hamburg, Stadt",krsfr. Stadt,2014,35.7
02000,"Hamburg, Stadt",krsfr. Stadt,2015,36.2
02000,"Hamburg, Stadt",krsfr. Stadt,2016,35.3
02000,"Hamburg, Stadt",krsfr. Stadt,2017,35.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2000,3.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2001,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2002,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2003,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2004,3.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2005,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2006,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2007,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2008,3.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2009,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2010,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2011,3.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,3.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,3.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,3.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,3.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,3.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,3.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2000,1.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2001,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2002,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2003,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2004,1.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2005,1.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2006,1.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2007,1.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2008,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2009,1.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2010,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2011,1.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2012,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,1.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,1.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2000,4.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2001,4.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2002,4.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2003,4.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2004,4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2005,4.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2006,4.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2007,4.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2008,4.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2009,4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2010,5.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2011,5.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2012,5.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2013,5.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,5.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,4.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,7.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,6.5
03151,Gifhorn,Landkreis,2000,1.1
03151,Gifhorn,Landkreis,2001,1.1
03151,Gifhorn,Landkreis,2002,1.1
03151,Gifhorn,Landkreis,2003,1.1
03151,Gifhorn,Landkreis,2004,1.1
03151,Gifhorn,Landkreis,2005,1.1
03151,Gifhorn,Landkreis,2006,1.1
03151,Gifhorn,Landkreis,2007,1.1
03151,Gifhorn,Landkreis,2008,1.1
03151,Gifhorn,Landkreis,2009,1.1
03151,Gifhorn,Landkreis,2010,1
03151,Gifhorn,Landkreis,2011,1.1
03151,Gifhorn,Landkreis,2012,1.1
03151,Gifhorn,Landkreis,2013,1.1
03151,Gifhorn,Landkreis,2014,1.2
03151,Gifhorn,Landkreis,2015,1.3
03151,Gifhorn,Landkreis,2016,1.2
03151,Gifhorn,Landkreis,2017,1.2
03153,Goslar,Landkreis,2000,1.4
03153,Goslar,Landkreis,2001,1.4
03153,Goslar,Landkreis,2002,1.3
03153,Goslar,Landkreis,2003,1.3
03153,Goslar,Landkreis,2004,1.5
03153,Goslar,Landkreis,2005,1.4
03153,Goslar,Landkreis,2006,1.4
03153,Goslar,Landkreis,2007,1.3
