Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,10.76
01001,"Flensburg, Stadt",krsfr. Stadt,2001,11.22
01001,"Flensburg, Stadt",krsfr. Stadt,2002,9.71
01001,"Flensburg, Stadt",krsfr. Stadt,2003,9.02
01001,"Flensburg, Stadt",krsfr. Stadt,2004,9.16
01001,"Flensburg, Stadt",krsfr. Stadt,2005,8
01001,"Flensburg, Stadt",krsfr. Stadt,2006,11.45
01001,"Flensburg, Stadt",krsfr. Stadt,2007,10.36
01001,"Flensburg, Stadt",krsfr. Stadt,2008,11.82
01001,"Flensburg, Stadt",krsfr. Stadt,2009,6.71
01001,"Flensburg, Stadt",krsfr. Stadt,2010,6.02
01001,"Flensburg, Stadt",krsfr. Stadt,2011,16.48
01001,"Flensburg, Stadt",krsfr. Stadt,2012,30.45
01001,"Flensburg, Stadt",krsfr. Stadt,2013,24.02
01001,"Flensburg, Stadt",krsfr. Stadt,2014,39.03
01001,"Flensburg, Stadt",krsfr. Stadt,2015,26.73
01001,"Flensburg, Stadt",krsfr. Stadt,2016,20.23
01001,"Flensburg, Stadt",krsfr. Stadt,2017,17.49
01002,"Kiel, Stadt",krsfr. Stadt,2000,9.13
01002,"Kiel, Stadt",krsfr. Stadt,2001,10.01
01002,"Kiel, Stadt",krsfr. Stadt,2002,10.61
01002,"Kiel, Stadt",krsfr. Stadt,2003,10.22
01002,"Kiel, Stadt",krsfr. Stadt,2004,11.23
01002,"Kiel, Stadt",krsfr. Stadt,2005,13.12
01002,"Kiel, Stadt",krsfr. Stadt,2006,15.39
01002,"Kiel, Stadt",krsfr. Stadt,2007,14.85
01002,"Kiel, Stadt",krsfr. Stadt,2008,17.03
01002,"Kiel, Stadt",krsfr. Stadt,2009,12.83
01002,"Kiel, Stadt",krsfr. Stadt,2010,11.65
01002,"Kiel, Stadt",krsfr. Stadt,2011,13.23
01002,"Kiel, Stadt",krsfr. Stadt,2012,12.5
01002,"Kiel, Stadt",krsfr. Stadt,2013,18.58
01002,"Kiel, Stadt",krsfr. Stadt,2014,20.2
01002,"Kiel, Stadt",krsfr. Stadt,2015,12.62
01002,"Kiel, Stadt",krsfr. Stadt,2016,14.38
01002,"Kiel, Stadt",krsfr. Stadt,2017,19.63
01003,"Lübeck, Stadt",krsfr. Stadt,2000,26.23
01003,"Lübeck, Stadt",krsfr. Stadt,2001,26.74
01003,"Lübeck, Stadt",krsfr. Stadt,2002,22.41
01003,"Lübeck, Stadt",krsfr. Stadt,2003,22.18
01003,"Lübeck, Stadt",krsfr. Stadt,2004,26.53
01003,"Lübeck, Stadt",krsfr. Stadt,2005,19.27
01003,"Lübeck, Stadt",krsfr. Stadt,2006,25.03
01003,"Lübeck, Stadt",krsfr. Stadt,2007,22.54
01003,"Lübeck, Stadt",krsfr. Stadt,2008,24.53
01003,"Lübeck, Stadt",krsfr. Stadt,2009,18.01
01003,"Lübeck, Stadt",krsfr. Stadt,2010,17.01
01003,"Lübeck, Stadt",krsfr. Stadt,2011,18.25
01003,"Lübeck, Stadt",krsfr. Stadt,2012,20.47
01003,"Lübeck, Stadt",krsfr. Stadt,2013,32.27
01003,"Lübeck, Stadt",krsfr. Stadt,2014,31.41
01003,"Lübeck, Stadt",krsfr. Stadt,2015,23.25
01003,"Lübeck, Stadt",krsfr. Stadt,2016,20.93
01003,"Lübeck, Stadt",krsfr. Stadt,2017,35.77
01004,"Neumünster, Stadt",krsfr. Stadt,2000,18.48
01004,"Neumünster, Stadt",krsfr. Stadt,2001,19.8
01004,"Neumünster, Stadt",krsfr. Stadt,2002,19.17
01004,"Neumünster, Stadt",krsfr. Stadt,2003,18.74
01004,"Neumünster, Stadt",krsfr. Stadt,2004,19.9
01004,"Neumünster, Stadt",krsfr. Stadt,2005,18.89
01004,"Neumünster, Stadt",krsfr. Stadt,2006,13.29
01004,"Neumünster, Stadt",krsfr. Stadt,2007,12.03
01004,"Neumünster, Stadt",krsfr. Stadt,2008,18.39
01004,"Neumünster, Stadt",krsfr. Stadt,2009,19.62
01004,"Neumünster, Stadt",krsfr. Stadt,2010,14.78
01004,"Neumünster, Stadt",krsfr. Stadt,2011,21.88
01004,"Neumünster, Stadt",krsfr. Stadt,2012,20.34
01004,"Neumünster, Stadt",krsfr. Stadt,2013,30.7
01004,"Neumünster, Stadt",krsfr. Stadt,2014,64.07
01004,"Neumünster, Stadt",krsfr. Stadt,2015,33.88
01004,"Neumünster, Stadt",krsfr. Stadt,2016,31.9
01004,"Neumünster, Stadt",krsfr. Stadt,2017,33.71
01051,Dithmarschen,Landkreis,2000,44.52
01051,Dithmarschen,Landkreis,2001,49.96
01051,Dithmarschen,Landkreis,2002,38.87
01051,Dithmarschen,Landkreis,2003,39.24
01051,Dithmarschen,Landkreis,2004,43.05
01051,Dithmarschen,Landkreis,2005,30.99
01051,Dithmarschen,Landkreis,2006,35.13
01051,Dithmarschen,Landkreis,2007,37.99
01051,Dithmarschen,Landkreis,2008,44.61
01051,Dithmarschen,Landkreis,2009,34.82
01051,Dithmarschen,Landkreis,2010,33.1
01051,Dithmarschen,Landkreis,2011,30.12
01051,Dithmarschen,Landkreis,2012,30.71
01051,Dithmarschen,Landkreis,2013,45.57
01051,Dithmarschen,Landkreis,2014,41.93
01051,Dithmarschen,Landkreis,2015,32.45
01051,Dithmarschen,Landkreis,2016,37.59
01051,Dithmarschen,Landkreis,2017,48.66
