Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,44.4
01001,"Flensburg, Stadt",krsfr. Stadt,2001,40.8
01001,"Flensburg, Stadt",krsfr. Stadt,2002,54.2
01001,"Flensburg, Stadt",krsfr. Stadt,2003,60.3
01001,"Flensburg, Stadt",krsfr. Stadt,2004,74.4
01001,"Flensburg, Stadt",krsfr. Stadt,2005,70.8
01001,"Flensburg, Stadt",krsfr. Stadt,2006,76.1
01001,"Flensburg, Stadt",krsfr. Stadt,2007,76.6
01001,"Flensburg, Stadt",krsfr. Stadt,2008,75
01001,"Flensburg, Stadt",krsfr. Stadt,2009,64.1
01001,"Flensburg, Stadt",krsfr. Stadt,2010,71.5
01001,"Flensburg, Stadt",krsfr. Stadt,2011,74.8
01001,"Flensburg, Stadt",krsfr. Stadt,2012,77.6
01001,"Flensburg, Stadt",krsfr. Stadt,2013,75.6
01001,"Flensburg, Stadt",krsfr. Stadt,2014,70.8
01001,"Flensburg, Stadt",krsfr. Stadt,2015,81.9
01001,"Flensburg, Stadt",krsfr. Stadt,2016,84.4
01001,"Flensburg, Stadt",krsfr. Stadt,2017,88
01002,"Kiel, Stadt",krsfr. Stadt,2000,53.6
01002,"Kiel, Stadt",krsfr. Stadt,2001,61.1
01002,"Kiel, Stadt",krsfr. Stadt,2002,49.3
01002,"Kiel, Stadt",krsfr. Stadt,2003,63.5
01002,"Kiel, Stadt",krsfr. Stadt,2004,56.6
01002,"Kiel, Stadt",krsfr. Stadt,2005,58.4
01002,"Kiel, Stadt",krsfr. Stadt,2006,67.9
01002,"Kiel, Stadt",krsfr. Stadt,2007,60
01002,"Kiel, Stadt",krsfr. Stadt,2008,73.3
01002,"Kiel, Stadt",krsfr. Stadt,2009,71.1
01002,"Kiel, Stadt",krsfr. Stadt,2010,65.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,71.5
01002,"Kiel, Stadt",krsfr. Stadt,2012,73.5
01002,"Kiel, Stadt",krsfr. Stadt,2013,76.4
01002,"Kiel, Stadt",krsfr. Stadt,2014,76.1
01002,"Kiel, Stadt",krsfr. Stadt,2015,69.1
01002,"Kiel, Stadt",krsfr. Stadt,2016,83.1
01002,"Kiel, Stadt",krsfr. Stadt,2017,86.3
01003,"Lübeck, Stadt",krsfr. Stadt,2000,50.3
01003,"Lübeck, Stadt",krsfr. Stadt,2001,48.1
01003,"Lübeck, Stadt",krsfr. Stadt,2002,55.3
01003,"Lübeck, Stadt",krsfr. Stadt,2003,65.6
01003,"Lübeck, Stadt",krsfr. Stadt,2004,58.5
01003,"Lübeck, Stadt",krsfr. Stadt,2005,59.9
01003,"Lübeck, Stadt",krsfr. Stadt,2006,67.1
