Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,40.2
01001,"Flensburg, Stadt",krsfr. Stadt,2001,42.4
01001,"Flensburg, Stadt",krsfr. Stadt,2002,42.1
01001,"Flensburg, Stadt",krsfr. Stadt,2003,42.1
01001,"Flensburg, Stadt",krsfr. Stadt,2004,43.7
01001,"Flensburg, Stadt",krsfr. Stadt,2005,45.5
01001,"Flensburg, Stadt",krsfr. Stadt,2006,45.1
01001,"Flensburg, Stadt",krsfr. Stadt,2007,44.8
01001,"Flensburg, Stadt",krsfr. Stadt,2008,46.8
01001,"Flensburg, Stadt",krsfr. Stadt,2009,47
01001,"Flensburg, Stadt",krsfr. Stadt,2010,46.9
01001,"Flensburg, Stadt",krsfr. Stadt,2011,47.5
01001,"Flensburg, Stadt",krsfr. Stadt,2012,47.8
01001,"Flensburg, Stadt",krsfr. Stadt,2013,47.9
01001,"Flensburg, Stadt",krsfr. Stadt,2014,48.7
01001,"Flensburg, Stadt",krsfr. Stadt,2015,49.7
01001,"Flensburg, Stadt",krsfr. Stadt,2016,49.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,51.7
01002,"Kiel, Stadt",krsfr. Stadt,2000,44.2
01002,"Kiel, Stadt",krsfr. Stadt,2001,44.2
01002,"Kiel, Stadt",krsfr. Stadt,2002,44.6
01002,"Kiel, Stadt",krsfr. Stadt,2003,45.7
01002,"Kiel, Stadt",krsfr. Stadt,2004,46.6
01002,"Kiel, Stadt",krsfr. Stadt,2005,47.3
01002,"Kiel, Stadt",krsfr. Stadt,2006,47.5
01002,"Kiel, Stadt",krsfr. Stadt,2007,47.8
01002,"Kiel, Stadt",krsfr. Stadt,2008,48.5
01002,"Kiel, Stadt",krsfr. Stadt,2009,48.5
01002,"Kiel, Stadt",krsfr. Stadt,2010,49.9
01002,"Kiel, Stadt",krsfr. Stadt,2011,50.4
01002,"Kiel, Stadt",krsfr. Stadt,2012,50.9
01002,"Kiel, Stadt",krsfr. Stadt,2013,53.2
01002,"Kiel, Stadt",krsfr. Stadt,2014,54.7
01002,"Kiel, Stadt",krsfr. Stadt,2015,55.7
01002,"Kiel, Stadt",krsfr. Stadt,2016,55.7
01002,"Kiel, Stadt",krsfr. Stadt,2017,57.1
01003,"Lübeck, Stadt",krsfr. Stadt,2000,41.4
01003,"Lübeck, Stadt",krsfr. Stadt,2001,43.2
01003,"Lübeck, Stadt",krsfr. Stadt,2002,43.5
01003,"Lübeck, Stadt",krsfr. Stadt,2003,43.1
01003,"Lübeck, Stadt",krsfr. Stadt,2004,43.6
01003,"Lübeck, Stadt",krsfr. Stadt,2005,43.8
01003,"Lübeck, Stadt",krsfr. Stadt,2006,44.2
01003,"Lübeck, Stadt",krsfr. Stadt,2007,43.9
01003,"Lübeck, Stadt",krsfr. Stadt,2008,44.3
01003,"Lübeck, Stadt",krsfr. Stadt,2009,44
01003,"Lübeck, Stadt",krsfr. Stadt,2010,43.7
01003,"Lübeck, Stadt",krsfr. Stadt,2011,45.4
01003,"Lübeck, Stadt",krsfr. Stadt,2012,47
01003,"Lübeck, Stadt",krsfr. Stadt,2013,48.8
01003,"Lübeck, Stadt",krsfr. Stadt,2014,55.4
01003,"Lübeck, Stadt",krsfr. Stadt,2015,56
01003,"Lübeck, Stadt",krsfr. Stadt,2016,55.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,57.8
01004,"Neumünster, Stadt",krsfr. Stadt,2000,42.9
01004,"Neumünster, Stadt",krsfr. Stadt,2001,43.2
01004,"Neumünster, Stadt",krsfr. Stadt,2002,44
01004,"Neumünster, Stadt",krsfr. Stadt,2003,44.2
01004,"Neumünster, Stadt",krsfr. Stadt,2004,43.9
01004,"Neumünster, Stadt",krsfr. Stadt,2005,44.8
01004,"Neumünster, Stadt",krsfr. Stadt,2006,44.7
01004,"Neumünster, Stadt",krsfr. Stadt,2007,45.4
01004,"Neumünster, Stadt",krsfr. Stadt,2008,46
01004,"Neumünster, Stadt",krsfr. Stadt,2009,45.3
01004,"Neumünster, Stadt",krsfr. Stadt,2010,46.2
01004,"Neumünster, Stadt",krsfr. Stadt,2011,46.4
01004,"Neumünster, Stadt",krsfr. Stadt,2012,46.9
01004,"Neumünster, Stadt",krsfr. Stadt,2013,48
01004,"Neumünster, Stadt",krsfr. Stadt,2014,50.1
01004,"Neumünster, Stadt",krsfr. Stadt,2015,51.1
01004,"Neumünster, Stadt",krsfr. Stadt,2016,51.3
01004,"Neumünster, Stadt",krsfr. Stadt,2017,52.7
01051,Dithmarschen,Landkreis,2000,42.5
01051,Dithmarschen,Landkreis,2001,44
01051,Dithmarschen,Landkreis,2002,45.5
01051,Dithmarschen,Landkreis,2003,47.6
01051,Dithmarschen,Landkreis,2004,48.2
01051,Dithmarschen,Landkreis,2005,46
01051,Dithmarschen,Landkreis,2006,46.4
01051,Dithmarschen,Landkreis,2007,48.3
01051,Dithmarschen,Landkreis,2008,48.3
01051,Dithmarschen,Landkreis,2009,48.1
01051,Dithmarschen,Landkreis,2010,46.4
01051,Dithmarschen,Landkreis,2011,48
01051,Dithmarschen,Landkreis,2012,49
01051,Dithmarschen,Landkreis,2013,51.5
01051,Dithmarschen,Landkreis,2014,49.7
01051,Dithmarschen,Landkreis,2015,50.5
01051,Dithmarschen,Landkreis,2016,51.1
01051,Dithmarschen,Landkreis,2017,51.3
01053,Herzogtum Lauenburg,Landkreis,2000,41.1
01053,Herzogtum Lauenburg,Landkreis,2001,42.7
01053,Herzogtum Lauenburg,Landkreis,2002,42
01053,Herzogtum Lauenburg,Landkreis,2003,43.2
01053,Herzogtum Lauenburg,Landkreis,2004,44.6
01053,Herzogtum Lauenburg,Landkreis,2005,44.1
01053,Herzogtum Lauenburg,Landkreis,2006,45.3
01053,Herzogtum Lauenburg,Landkreis,2007,46.2
01053,Herzogtum Lauenburg,Landkreis,2008,46.5
01053,Herzogtum Lauenburg,Landkreis,2009,46.8
01053,Herzogtum Lauenburg,Landkreis,2010,48.1
01053,Herzogtum Lauenburg,Landkreis,2011,48.5
01053,Herzogtum Lauenburg,Landkreis,2012,50.5
01053,Herzogtum Lauenburg,Landkreis,2013,52.1
01053,Herzogtum Lauenburg,Landkreis,2014,51.8
01053,Herzogtum Lauenburg,Landkreis,2015,52.9
01053,Herzogtum Lauenburg,Landkreis,2016,53.5
01053,Herzogtum Lauenburg,Landkreis,2017,54.3
01054,Nordfriesland,Landkreis,2000,45.1
01054,Nordfriesland,Landkreis,2001,47
01054,Nordfriesland,Landkreis,2002,46.4
01054,Nordfriesland,Landkreis,2003,47.3
01054,Nordfriesland,Landkreis,2004,47.5
01054,Nordfriesland,Landkreis,2005,47.7
01054,Nordfriesland,Landkreis,2006,46.1
01054,Nordfriesland,Landkreis,2007,46.9
01054,Nordfriesland,Landkreis,2008,47.6
01054,Nordfriesland,Landkreis,2009,47.2
01054,Nordfriesland,Landkreis,2010,48.2
01054,Nordfriesland,Landkreis,2011,48.8
01054,Nordfriesland,Landkreis,2012,49.6
01054,Nordfriesland,Landkreis,2013,50.6
01054,Nordfriesland,Landkreis,2014,50.7
01054,Nordfriesland,Landkreis,2015,51.8
01054,Nordfriesland,Landkreis,2016,52.4
01054,Nordfriesland,Landkreis,2017,52.8
01055,Ostholstein,Landkreis,2000,38.7
01055,Ostholstein,Landkreis,2001,39.1
01055,Ostholstein,Landkreis,2002,40.2
