Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,41.1
01001,"Flensburg, Stadt",krsfr. Stadt,2001,42
01001,"Flensburg, Stadt",krsfr. Stadt,2002,44.4
01001,"Flensburg, Stadt",krsfr. Stadt,2003,45.6
01001,"Flensburg, Stadt",krsfr. Stadt,2004,49.3
01001,"Flensburg, Stadt",krsfr. Stadt,2005,49.9
01001,"Flensburg, Stadt",krsfr. Stadt,2006,50.2
01001,"Flensburg, Stadt",krsfr. Stadt,2007,49.9
01001,"Flensburg, Stadt",krsfr. Stadt,2008,51.1
01001,"Flensburg, Stadt",krsfr. Stadt,2009,49.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,50.1
01001,"Flensburg, Stadt",krsfr. Stadt,2011,50.9
01001,"Flensburg, Stadt",krsfr. Stadt,2012,51.7
01001,"Flensburg, Stadt",krsfr. Stadt,2013,51.6
01001,"Flensburg, Stadt",krsfr. Stadt,2014,51.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,53.9
01001,"Flensburg, Stadt",krsfr. Stadt,2016,54.3
01001,"Flensburg, Stadt",krsfr. Stadt,2017,56.5
01002,"Kiel, Stadt",krsfr. Stadt,2000,45.6
01002,"Kiel, Stadt",krsfr. Stadt,2001,46.8
01002,"Kiel, Stadt",krsfr. Stadt,2002,45.3
01002,"Kiel, Stadt",krsfr. Stadt,2003,48.2
01002,"Kiel, Stadt",krsfr. Stadt,2004,48
01002,"Kiel, Stadt",krsfr. Stadt,2005,48.7
01002,"Kiel, Stadt",krsfr. Stadt,2006,50
01002,"Kiel, Stadt",krsfr. Stadt,2007,49.3
01002,"Kiel, Stadt",krsfr. Stadt,2008,51.5
01002,"Kiel, Stadt",krsfr. Stadt,2009,51.2
01002,"Kiel, Stadt",krsfr. Stadt,2010,51.7
01002,"Kiel, Stadt",krsfr. Stadt,2011,53
01002,"Kiel, Stadt",krsfr. Stadt,2012,53.5
01002,"Kiel, Stadt",krsfr. Stadt,2013,56
01002,"Kiel, Stadt",krsfr. Stadt,2014,57.3
01002,"Kiel, Stadt",krsfr. Stadt,2015,57.3
01002,"Kiel, Stadt",krsfr. Stadt,2016,59
01002,"Kiel, Stadt",krsfr. Stadt,2017,60.5
01003,"Lübeck, Stadt",krsfr. Stadt,2000,43.1
01003,"Lübeck, Stadt",krsfr. Stadt,2001,44.1
01003,"Lübeck, Stadt",krsfr. Stadt,2002,45.8
01003,"Lübeck, Stadt",krsfr. Stadt,2003,47.3
01003,"Lübeck, Stadt",krsfr. Stadt,2004,46.4
01003,"Lübeck, Stadt",krsfr. Stadt,2005,46.7
01003,"Lübeck, Stadt",krsfr. Stadt,2006,48.2
01003,"Lübeck, Stadt",krsfr. Stadt,2007,48.5
01003,"Lübeck, Stadt",krsfr. Stadt,2008,47.3
01003,"Lübeck, Stadt",krsfr. Stadt,2009,45.8
01003,"Lübeck, Stadt",krsfr. Stadt,2010,47.1
01003,"Lübeck, Stadt",krsfr. Stadt,2011,48.6
01003,"Lübeck, Stadt",krsfr. Stadt,2012,51.5
01003,"Lübeck, Stadt",krsfr. Stadt,2013,53.8
01003,"Lübeck, Stadt",krsfr. Stadt,2014,58.5
01003,"Lübeck, Stadt",krsfr. Stadt,2015,59.1
01003,"Lübeck, Stadt",krsfr. Stadt,2016,59.3
01003,"Lübeck, Stadt",krsfr. Stadt,2017,61.6
01004,"Neumünster, Stadt",krsfr. Stadt,2000,42.9
01004,"Neumünster, Stadt",krsfr. Stadt,2001,42.1
01004,"Neumünster, Stadt",krsfr. Stadt,2002,43.3
01004,"Neumünster, Stadt",krsfr. Stadt,2003,46.4
01004,"Neumünster, Stadt",krsfr. Stadt,2004,44.8
01004,"Neumünster, Stadt",krsfr. Stadt,2005,46.1
01004,"Neumünster, Stadt",krsfr. Stadt,2006,48.1
01004,"Neumünster, Stadt",krsfr. Stadt,2007,49
01004,"Neumünster, Stadt",krsfr. Stadt,2008,47.7
01004,"Neumünster, Stadt",krsfr. Stadt,2009,45.5
01004,"Neumünster, Stadt",krsfr. Stadt,2010,47.9
01004,"Neumünster, Stadt",krsfr. Stadt,2011,49.6
01004,"Neumünster, Stadt",krsfr. Stadt,2012,50
01004,"Neumünster, Stadt",krsfr. Stadt,2013,51.7
01004,"Neumünster, Stadt",krsfr. Stadt,2014,54.5
01004,"Neumünster, Stadt",krsfr. Stadt,2015,55.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,54.4
01004,"Neumünster, Stadt",krsfr. Stadt,2017,56.1
01051,Dithmarschen,Landkreis,2000,46.7
01051,Dithmarschen,Landkreis,2001,48.8
01051,Dithmarschen,Landkreis,2002,49.3
01051,Dithmarschen,Landkreis,2003,50.1
01051,Dithmarschen,Landkreis,2004,69.4
01051,Dithmarschen,Landkreis,2005,49
01051,Dithmarschen,Landkreis,2006,53.4
01051,Dithmarschen,Landkreis,2007,49.9
01051,Dithmarschen,Landkreis,2008,53.5
01051,Dithmarschen,Landkreis,2009,50.6
01051,Dithmarschen,Landkreis,2010,53.2
