Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,40.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,40.1
01002,"Kiel, Stadt",krsfr. Stadt,2014,21.1
01002,"Kiel, Stadt",krsfr. Stadt,2015,21
01003,"Lübeck, Stadt",krsfr. Stadt,2014,18.8
01003,"Lübeck, Stadt",krsfr. Stadt,2015,19.7
01004,"Neumünster, Stadt",krsfr. Stadt,2014,19.7
01004,"Neumünster, Stadt",krsfr. Stadt,2015,26.6
01051,Dithmarschen,Landkreis,2014,2.6
01051,Dithmarschen,Landkreis,2015,2.6
01053,Herzogtum Lauenburg,Landkreis,2014,5.5
01053,Herzogtum Lauenburg,Landkreis,2015,4.9
01054,Nordfriesland,Landkreis,2014,2.8
01054,Nordfriesland,Landkreis,2015,2.5
01055,Ostholstein,Landkreis,2014,4.8
01055,Ostholstein,Landkreis,2015,4.4
01056,Pinneberg,Landkreis,2014,8.6
01056,Pinneberg,Landkreis,2015,8.1
01057,Plön,Landkreis,2014,3.5
01057,Plön,Landkreis,2015,3.2
01058,Rendsburg-Eckernförde,Landkreis,2014,6.5
01058,Rendsburg-Eckernförde,Landkreis,2015,6.5
01059,Schleswig-Flensburg,Landkreis,2014,19.4
01059,Schleswig-Flensburg,Landkreis,2015,19.3
01060,Segeberg,Landkreis,2014,10.4
01060,Segeberg,Landkreis,2015,10.4
01061,Steinburg,Landkreis,2014,6.5
01061,Steinburg,Landkreis,2015,8
01062,Stormarn,Landkreis,2014,14.6
01062,Stormarn,Landkreis,2015,14.6
02000,"Hamburg, Stadt",krsfr. Stadt,2014,24.7
02000,"Hamburg, Stadt",krsfr. Stadt,2015,25
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,17.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,18.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,12
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,14.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,21.6
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,21.8
03151,Gifhorn,Landkreis,2014,15.6
03151,Gifhorn,Landkreis,2015,11
03153,Goslar,Landkreis,2014,10.6
03153,Goslar,Landkreis,2015,10.3
03154,Helmstedt,Landkreis,2014,24.8
03154,Helmstedt,Landkreis,2015,16.9
03155,Northeim,Landkreis,2014,5.8
03155,Northeim,Landkreis,2015,6
03157,Peine,Landkreis,2014,15.1
03157,Peine,Landkreis,2015,14.1
03158,Wolfenbüttel,Landkreis,2014,16.1
03158,Wolfenbüttel,Landkreis,2015,17
03159,Göttingen,Landkreis,2014,13.6
03159,Göttingen,Landkreis,2015,14
03241,Region Hannover,Landkreis,2014,19.5
03241,Region Hannover,Landkreis,2015,19.9
03251,Diepholz,Landkreis,2014,12
03251,Diepholz,Landkreis,2015,11.1
03252,Hameln-Pyrmont,Landkreis,2014,5.3
03252,Hameln-Pyrmont,Landkreis,2015,6.2
03254,Hildesheim,Landkreis,2014,13.8
03254,Hildesheim,Landkreis,2015,15.1
03255,Holzminden,Landkreis,2014,13.2
03255,Holzminden,Landkreis,2015,10.1
03256,Nienburg (Weser),Landkreis,2014,9.2
03256,Nienburg (Weser),Landkreis,2015,8.7
03257,Schaumburg,Landkreis,2014,4.2
03257,Schaumburg,Landkreis,2015,4.3
03351,Celle,Landkreis,2014,16.7
03351,Celle,Landkreis,2015,15.8
