Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2014,1.8
01001,"Flensburg, Stadt",krsfr. Stadt,2015,1.6
01002,"Kiel, Stadt",krsfr. Stadt,2014,1.9
01002,"Kiel, Stadt",krsfr. Stadt,2015,2
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2.4
01003,"Lübeck, Stadt",krsfr. Stadt,2015,2.4
01004,"Neumünster, Stadt",krsfr. Stadt,2014,1.9
01004,"Neumünster, Stadt",krsfr. Stadt,2015,2.1
01051,Dithmarschen,Landkreis,2014,5
01051,Dithmarschen,Landkreis,2015,4.9
01053,Herzogtum Lauenburg,Landkreis,2014,3.2
01053,Herzogtum Lauenburg,Landkreis,2015,3.2
01054,Nordfriesland,Landkreis,2014,5.6
01054,Nordfriesland,Landkreis,2015,5.7
01055,Ostholstein,Landkreis,2014,4.7
01055,Ostholstein,Landkreis,2015,4.6
01056,Pinneberg,Landkreis,2014,2.3
01056,Pinneberg,Landkreis,2015,2.3
01057,Plön,Landkreis,2014,4.2
01057,Plön,Landkreis,2015,4.5
01058,Rendsburg-Eckernförde,Landkreis,2014,3.8
01058,Rendsburg-Eckernförde,Landkreis,2015,3.9
01059,Schleswig-Flensburg,Landkreis,2014,2.9
01059,Schleswig-Flensburg,Landkreis,2015,2.8
01060,Segeberg,Landkreis,2014,2.7
01060,Segeberg,Landkreis,2015,2.7
01061,Steinburg,Landkreis,2014,2.1
01061,Steinburg,Landkreis,2015,2.1
01062,Stormarn,Landkreis,2014,1.9
01062,Stormarn,Landkreis,2015,2
02000,"Hamburg, Stadt",krsfr. Stadt,2014,2
02000,"Hamburg, Stadt",krsfr. Stadt,2015,2
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,1.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,1.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,2.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,2.8
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,1.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,1.6
03151,Gifhorn,Landkreis,2014,2.8
03151,Gifhorn,Landkreis,2015,2.5
03153,Goslar,Landkreis,2014,3.2
03153,Goslar,Landkreis,2015,3.2
03154,Helmstedt,Landkreis,2014,1.6
03154,Helmstedt,Landkreis,2015,1.7
03155,Northeim,Landkreis,2014,2.9
03155,Northeim,Landkreis,2015,2.9
03157,Peine,Landkreis,2014,1.8
03157,Peine,Landkreis,2015,1.8
03158,Wolfenbüttel,Landkreis,2014,2.6
03158,Wolfenbüttel,Landkreis,2015,2.6
03159,Göttingen,Landkreis,2014,2.5
03159,Göttingen,Landkreis,2015,2.5
03241,Region Hannover,Landkreis,2014,1.8
03241,Region Hannover,Landkreis,2015,1.8
03251,Diepholz,Landkreis,2014,2.1
03251,Diepholz,Landkreis,2015,2
03252,Hameln-Pyrmont,Landkreis,2014,3.9
03252,Hameln-Pyrmont,Landkreis,2015,3.8
03254,Hildesheim,Landkreis,2014,2.4
03254,Hildesheim,Landkreis,2015,2.4
03255,Holzminden,Landkreis,2014,2.2
03255,Holzminden,Landkreis,2015,2.1
03256,Nienburg (Weser),Landkreis,2014,2.4
03256,Nienburg (Weser),Landkreis,2015,2.4
03257,Schaumburg,Landkreis,2014,3.7
03257,Schaumburg,Landkreis,2015,3.7
03351,Celle,Landkreis,2014,2.4
03351,Celle,Landkreis,2015,2.4
03352,Cuxhaven,Landkreis,2014,4.2
03352,Cuxhaven,Landkreis,2015,4.2
03353,Harburg,Landkreis,2014,2.2
03353,Harburg,Landkreis,2015,2.2
03354,Lüchow-Dannenberg,Landkreis,2014,2.7
03354,Lüchow-Dannenberg,Landkreis,2015,2.8
03355,Lüneburg,Landkreis,2014,2.2
03355,Lüneburg,Landkreis,2015,2.2
03356,Osterholz,Landkreis,2014,2.4
03356,Osterholz,Landkreis,2015,2.4
03357,Rotenburg (Wümme),Landkreis,2014,2.6
03357,Rotenburg (Wümme),Landkreis,2015,2.6
03358,Heidekreis,Landkreis,2014,3.2
03358,Heidekreis,Landkreis,2015,3.1
03359,Stade,Landkreis,2014,2.4
03359,Stade,Landkreis,2015,2.3
03360,Uelzen,Landkreis,2014,4.7
03360,Uelzen,Landkreis,2015,4.5
03361,Verden,Landkreis,2014,2.1
03361,Verden,Landkreis,2015,2
03401,"Delmenhorst, Stadt",krsfr. Stadt,2014,1.9
03401,"Delmenhorst, Stadt",krsfr. Stadt,2015,1.8
03402,"Emden, Stadt",krsfr. Stadt,2014,2.1
03402,"Emden, Stadt",krsfr. Stadt,2015,2.1
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2014,2.2
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,2015,2.2
03404,"Osnabrück, Stadt",krsfr. Stadt,2014,1.6
03404,"Osnabrück, Stadt",krsfr. Stadt,2015,1.5
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2014,2.7
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,2015,2.7
03451,Ammerland,Landkreis,2014,3.2
03451,Ammerland,Landkreis,2015,3.2
03452,Aurich,Landkreis,2014,4.9
03452,Aurich,Landkreis,2015,4.8
03453,Cloppenburg,Landkreis,2014,2.7
03453,Cloppenburg,Landkreis,2015,2.6
03454,Emsland,Landkreis,2014,3.2
03454,Emsland,Landkreis,2015,3.2
03455,Friesland,Landkreis,2014,5
03455,Friesland,Landkreis,2015,5.4
03456,Grafschaft Bentheim,Landkreis,2014,3.5
03456,Grafschaft Bentheim,Landkreis,2015,3.4
03457,Leer,Landkreis,2014,5.4
03457,Leer,Landkreis,2015,5.4
03458,Oldenburg,Landkreis,2014,1.9
03458,Oldenburg,Landkreis,2015,1.9
03459,Osnabrück,Landkreis,2014,3.9
03459,Osnabrück,Landkreis,2015,4
03460,Vechta,Landkreis,2014,2.5
03460,Vechta,Landkreis,2015,2.5
03461,Wesermarsch,Landkreis,2014,4
03461,Wesermarsch,Landkreis,2015,3.9
03462,Wittmund,Landkreis,2014,5.2
03462,Wittmund,Landkreis,2015,5.2
04011,"Bremen, Stadt",krsfr. Stadt,2014,1.9
04011,"Bremen, Stadt",krsfr. Stadt,2015,1.8
04012,"Bremerhaven, Stadt",krsfr. Stadt,2014,1.9
04012,"Bremerhaven, Stadt",krsfr. Stadt,2015,1.9
05111,"Düsseldorf, Stadt",krsfr. Stadt,2014,1.7
05111,"Düsseldorf, Stadt",krsfr. Stadt,2015,1.6
05112,"Duisburg, Stadt",krsfr. Stadt,2014,2.1
05112,"Duisburg, Stadt",krsfr. Stadt,2015,2
05113,"Essen, Stadt",krsfr. Stadt,2014,2
05113,"Essen, Stadt",krsfr. Stadt,2015,2
05114,"Krefeld, Stadt",krsfr. Stadt,2014,1.8
05114,"Krefeld, Stadt",krsfr. Stadt,2015,1.7
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2014,1.8
05116,"Mönchengladbach, Stadt",krsfr. Stadt,2015,1.7
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2014,1.8
05117,"Mülheim an der Ruhr, Stadt",krsfr. Stadt,2015,1.8
05119,"Oberhausen, Stadt",krsfr. Stadt,2014,2.1
05119,"Oberhausen, Stadt",krsfr. Stadt,2015,2
05120,"Remscheid, Stadt",krsfr. Stadt,2014,1.8
05120,"Remscheid, Stadt",krsfr. Stadt,2015,1.7
05122,"Solingen, Stadt",krsfr. Stadt,2014,2.5
05122,"Solingen, Stadt",krsfr. Stadt,2015,2
05124,"Wuppertal, Stadt",krsfr. Stadt,2014,2.5
05124,"Wuppertal, Stadt",krsfr. Stadt,2015,2.5
05154,Kleve,Landkreis,2014,2.1
05154,Kleve,Landkreis,2015,2.2
05158,Mettmann,Landkreis,2014,1.8
05158,Mettmann,Landkreis,2015,1.8
05162,Rhein-Kreis Neuss,Landkreis,2014,2.2
05162,Rhein-Kreis Neuss,Landkreis,2015,2.2
05166,Viersen,Landkreis,2014,2.1
05166,Viersen,Landkreis,2015,2.1
05170,Wesel,Landkreis,2014,1.9
05170,Wesel,Landkreis,2015,1.9
05314,"Bonn, Stadt",krsfr. Stadt,2014,1.9
05314,"Bonn, Stadt",krsfr. Stadt,2015,1.9
05315,"Köln, Stadt",krsfr. Stadt,2014,1.7
05315,"Köln, Stadt",krsfr. Stadt,2015,1.7
05316,"Leverkusen, Stadt",krsfr. Stadt,2014,1.8
05316,"Leverkusen, Stadt",krsfr. Stadt,2015,1.9
05334,Städteregion Aachen,Landkreis,2014,2
05334,Städteregion Aachen,Landkreis,2015,2
05358,Düren,Landkreis,2014,3
05358,Düren,Landkreis,2015,3
05362,Rhein-Erft-Kreis,Landkreis,2014,2.8
05362,Rhein-Erft-Kreis,Landkreis,2015,2.8
05366,Euskirchen,Landkreis,2014,3
05366,Euskirchen,Landkreis,2015,2.8
05370,Heinsberg,Landkreis,2014,2.4
05370,Heinsberg,Landkreis,2015,2.3
05374,Oberbergischer Kreis,Landkreis,2014,3.1
05374,Oberbergischer Kreis,Landkreis,2015,3.1
05378,Rheinisch-Bergischer Kreis,Landkreis,2014,2.4
05378,Rheinisch-Bergischer Kreis,Landkreis,2015,2.3
05382,Rhein-Sieg-Kreis,Landkreis,2014,2.2
05382,Rhein-Sieg-Kreis,Landkreis,2015,2.2
05512,"Bottrop, Stadt",krsfr. Stadt,2014,2
05512,"Bottrop, Stadt",krsfr. Stadt,2015,2
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2014,2.6
05513,"Gelsenkirchen, Stadt",krsfr. Stadt,2015,2.5
05515,"Münster, Stadt",krsfr. Stadt,2014,2.1
05515,"Münster, Stadt",krsfr. Stadt,2015,2
05554,Borken,Landkreis,2014,2
05554,Borken,Landkreis,2015,2
05558,Coesfeld,Landkreis,2014,3.2
05558,Coesfeld,Landkreis,2015,3.3
05562,Recklinghausen,Landkreis,2014,1.9
05562,Recklinghausen,Landkreis,2015,1.9
05566,Steinfurt,Landkreis,2014,2.5
05566,Steinfurt,Landkreis,2015,2.5
05570,Warendorf,Landkreis,2014,2.5
05570,Warendorf,Landkreis,2015,2.4
05711,"Bielefeld, Stadt",krsfr. Stadt,2014,1.9
05711,"Bielefeld, Stadt",krsfr. Stadt,2015,1.9
05754,Gütersloh,Landkreis,2014,2.1
05754,Gütersloh,Landkreis,2015,2.1
05758,Herford,Landkreis,2014,3.8
05758,Herford,Landkreis,2015,3.8
05762,Höxter,Landkreis,2014,4.6
05762,Höxter,Landkreis,2015,4.6
05766,Lippe,Landkreis,2014,4
05766,Lippe,Landkreis,2015,3.8
05770,Minden-Lübbecke,Landkreis,2014,4.8
05770,Minden-Lübbecke,Landkreis,2015,4.6
05774,Paderborn,Landkreis,2014,2.8
05774,Paderborn,Landkreis,2015,2.7
05911,"Bochum, Stadt",krsfr. Stadt,2014,1.7
05911,"Bochum, Stadt",krsfr. Stadt,2015,1.7
05913,"Dortmund, Stadt",krsfr. Stadt,2014,1.7
05913,"Dortmund, Stadt",krsfr. Stadt,2015,1.7
05914,"Hagen, Stadt",krsfr. Stadt,2014,2.7
05914,"Hagen, Stadt",krsfr. Stadt,2015,2.6
05915,"Hamm, Stadt",krsfr. Stadt,2014,1.4
05915,"Hamm, Stadt",krsfr. Stadt,2015,1.5
05916,"Herne, Stadt",krsfr. Stadt,2014,1.9
05916,"Herne, Stadt",krsfr. Stadt,2015,1.9
05954,Ennepe-Ruhr-Kreis,Landkreis,2014,2.7
05954,Ennepe-Ruhr-Kreis,Landkreis,2015,2.7
05958,Hochsauerlandkreis,Landkreis,2014,3.2
05958,Hochsauerlandkreis,Landkreis,2015,3.1
05962,Märkischer Kreis,Landkreis,2014,2.2
05962,Märkischer Kreis,Landkreis,2015,2.2
05966,Olpe,Landkreis,2014,2.3
05966,Olpe,Landkreis,2015,2.3
05970,Siegen-Wittgenstein,Landkreis,2014,3.3
05970,Siegen-Wittgenstein,Landkreis,2015,3.2
05974,Soest,Landkreis,2014,4
05974,Soest,Landkreis,2015,3.9
05978,Unna,Landkreis,2014,1.9
05978,Unna,Landkreis,2015,1.9
06411,"Darmstadt, Stadt",krsfr. Stadt,2014,2
06411,"Darmstadt, Stadt",krsfr. Stadt,2015,2
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2014,1.7
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,2015,1.7
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2014,1.9
06413,"Offenbach am Main, Stadt",krsfr. Stadt,2015,2
06414,"Wiesbaden, Stadt",krsfr. Stadt,2014,2.1
06414,"Wiesbaden, Stadt",krsfr. Stadt,2015,2.1
06431,Bergstraße,Landkreis,2014,2.3
06431,Bergstraße,Landkreis,2015,2.4
06432,Darmstadt-Dieburg,Landkreis,2014,2.4
06432,Darmstadt-Dieburg,Landkreis,2015,2.4
06433,Groß-Gerau,Landkreis,2014,1.7
06433,Groß-Gerau,Landkreis,2015,1.8
06434,Hochtaunuskreis,Landkreis,2014,2.8
06434,Hochtaunuskreis,Landkreis,2015,2.8
06435,Main-Kinzig-Kreis,Landkreis,2014,3.7
06435,Main-Kinzig-Kreis,Landkreis,2015,3.8
06436,Main-Taunus-Kreis,Landkreis,2014,2
06436,Main-Taunus-Kreis,Landkreis,2015,1.9
06437,Odenwaldkreis,Landkreis,2014,2.8
06437,Odenwaldkreis,Landkreis,2015,2.8
06438,Offenbach,Landkreis,2014,2.1
06438,Offenbach,Landkreis,2015,2
06439,Rheingau-Taunus-Kreis,Landkreis,2014,2.5
06439,Rheingau-Taunus-Kreis,Landkreis,2015,2.4
06440,Wetteraukreis,Landkreis,2014,4.6
06440,Wetteraukreis,Landkreis,2015,4.4
06531,Gießen,Landkreis,2014,2
06531,Gießen,Landkreis,2015,2
06532,Lahn-Dill-Kreis,Landkreis,2014,2.1
06532,Lahn-Dill-Kreis,Landkreis,2015,2.1
06533,Limburg-Weilburg,Landkreis,2014,2.6
06533,Limburg-Weilburg,Landkreis,2015,2.5
06534,Marburg-Biedenkopf,Landkreis,2014,2.5
06534,Marburg-Biedenkopf,Landkreis,2015,2.4
06535,Vogelsbergkreis,Landkreis,2014,2.5
06535,Vogelsbergkreis,Landkreis,2015,2.5
06611,"Kassel, Stadt",krsfr. Stadt,2014,1.8
06611,"Kassel, Stadt",krsfr. Stadt,2015,1.8
06631,Fulda,Landkreis,2014,2.1
06631,Fulda,Landkreis,2015,2.1
06632,Hersfeld-Rotenburg,Landkreis,2014,2.9
06632,Hersfeld-Rotenburg,Landkreis,2015,3
06633,Kassel,Landkreis,2014,2.5
06633,Kassel,Landkreis,2015,2.4
06634,Schwalm-Eder-Kreis,Landkreis,2014,2.9
06634,Schwalm-Eder-Kreis,Landkreis,2015,2.8
06635,Waldeck-Frankenberg,Landkreis,2014,4
06635,Waldeck-Frankenberg,Landkreis,2015,3.9
06636,Werra-Meißner-Kreis,Landkreis,2014,4.2
06636,Werra-Meißner-Kreis,Landkreis,2015,4.1
07111,"Koblenz, Stadt",krsfr. Stadt,2014,1.9
07111,"Koblenz, Stadt",krsfr. Stadt,2015,1.9
07131,Ahrweiler,Landkreis,2014,2.5
07131,Ahrweiler,Landkreis,2015,2.5
07132,Altenkirchen (Westerwald),Landkreis,2014,2.2
07132,Altenkirchen (Westerwald),Landkreis,2015,2.3
