Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,1995,11
01001,"Flensburg, Stadt",krsfr. Stadt,1996,11.6
01001,"Flensburg, Stadt",krsfr. Stadt,1997,11.7
01001,"Flensburg, Stadt",krsfr. Stadt,1998,12.1
01001,"Flensburg, Stadt",krsfr. Stadt,1999,13.1
01001,"Flensburg, Stadt",krsfr. Stadt,2000,14.1
01001,"Flensburg, Stadt",krsfr. Stadt,2001,14.6
01001,"Flensburg, Stadt",krsfr. Stadt,2002,15.4
01001,"Flensburg, Stadt",krsfr. Stadt,2003,16.2
01001,"Flensburg, Stadt",krsfr. Stadt,2004,15.5
01001,"Flensburg, Stadt",krsfr. Stadt,2005,17.3
01001,"Flensburg, Stadt",krsfr. Stadt,2006,17.6
01001,"Flensburg, Stadt",krsfr. Stadt,2007,18.3
01001,"Flensburg, Stadt",krsfr. Stadt,2008,17.2
01001,"Flensburg, Stadt",krsfr. Stadt,2009,15.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,17.6
01001,"Flensburg, Stadt",krsfr. Stadt,2011,19.3
01001,"Flensburg, Stadt",krsfr. Stadt,2012,20.1
01001,"Flensburg, Stadt",krsfr. Stadt,2013,22
01001,"Flensburg, Stadt",krsfr. Stadt,2014,24.1
01001,"Flensburg, Stadt",krsfr. Stadt,2015,3.3
01001,"Flensburg, Stadt",krsfr. Stadt,2016,3.3
01001,"Flensburg, Stadt",krsfr. Stadt,2017,3.5
01002,"Kiel, Stadt",krsfr. Stadt,1995,14.2
01002,"Kiel, Stadt",krsfr. Stadt,1996,13.5
01002,"Kiel, Stadt",krsfr. Stadt,1997,13.2
01002,"Kiel, Stadt",krsfr. Stadt,1998,13.6
01002,"Kiel, Stadt",krsfr. Stadt,1999,13.5
01002,"Kiel, Stadt",krsfr. Stadt,2000,14.4
01002,"Kiel, Stadt",krsfr. Stadt,2001,14.7
01002,"Kiel, Stadt",krsfr. Stadt,2002,14.5
01002,"Kiel, Stadt",krsfr. Stadt,2003,15
01002,"Kiel, Stadt",krsfr. Stadt,2004,14.6
01002,"Kiel, Stadt",krsfr. Stadt,2005,0
01002,"Kiel, Stadt",krsfr. Stadt,2006,16.4
01002,"Kiel, Stadt",krsfr. Stadt,2007,16.5
01002,"Kiel, Stadt",krsfr. Stadt,2008,17
01002,"Kiel, Stadt",krsfr. Stadt,2009,16.7
01002,"Kiel, Stadt",krsfr. Stadt,2010,17.7
01002,"Kiel, Stadt",krsfr. Stadt,2011,19
01002,"Kiel, Stadt",krsfr. Stadt,2012,19.4
01002,"Kiel, Stadt",krsfr. Stadt,2013,20.2
01002,"Kiel, Stadt",krsfr. Stadt,2014,21.5
01002,"Kiel, Stadt",krsfr. Stadt,2015,2.7
01002,"Kiel, Stadt",krsfr. Stadt,2016,2.7
