Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,77.3
01001,"Flensburg, Stadt",krsfr. Stadt,2001,77
01001,"Flensburg, Stadt",krsfr. Stadt,2002,77.6
01001,"Flensburg, Stadt",krsfr. Stadt,2003,78.9
01001,"Flensburg, Stadt",krsfr. Stadt,2004,79.1
01001,"Flensburg, Stadt",krsfr. Stadt,2005,78.8
01001,"Flensburg, Stadt",krsfr. Stadt,2006,78.4
01001,"Flensburg, Stadt",krsfr. Stadt,2007,77.6
01001,"Flensburg, Stadt",krsfr. Stadt,2008,76.5
01001,"Flensburg, Stadt",krsfr. Stadt,2009,75
01001,"Flensburg, Stadt",krsfr. Stadt,2010,73.1
01001,"Flensburg, Stadt",krsfr. Stadt,2011,71.3
01001,"Flensburg, Stadt",krsfr. Stadt,2012,72.1
01001,"Flensburg, Stadt",krsfr. Stadt,2013,71.6
01001,"Flensburg, Stadt",krsfr. Stadt,2014,72.1
01001,"Flensburg, Stadt",krsfr. Stadt,2015,72.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,72.1
01002,"Kiel, Stadt",krsfr. Stadt,2000,63.5
01002,"Kiel, Stadt",krsfr. Stadt,2001,65.1
01002,"Kiel, Stadt",krsfr. Stadt,2002,66.5
01002,"Kiel, Stadt",krsfr. Stadt,2003,66.9
01002,"Kiel, Stadt",krsfr. Stadt,2004,67.3
01002,"Kiel, Stadt",krsfr. Stadt,2005,66.6
01002,"Kiel, Stadt",krsfr. Stadt,2006,66.5
01002,"Kiel, Stadt",krsfr. Stadt,2007,67.4
01002,"Kiel, Stadt",krsfr. Stadt,2008,68.5
01002,"Kiel, Stadt",krsfr. Stadt,2009,68.5
01002,"Kiel, Stadt",krsfr. Stadt,2010,66.7
01002,"Kiel, Stadt",krsfr. Stadt,2011,65.9
01002,"Kiel, Stadt",krsfr. Stadt,2012,66.7
01002,"Kiel, Stadt",krsfr. Stadt,2013,67
01002,"Kiel, Stadt",krsfr. Stadt,2014,67.1
01002,"Kiel, Stadt",krsfr. Stadt,2015,67
01002,"Kiel, Stadt",krsfr. Stadt,2016,66.4
01003,"Lübeck, Stadt",krsfr. Stadt,2000,66.6
01003,"Lübeck, Stadt",krsfr. Stadt,2001,67.6
01003,"Lübeck, Stadt",krsfr. Stadt,2002,68.8
01003,"Lübeck, Stadt",krsfr. Stadt,2003,68.4
01003,"Lübeck, Stadt",krsfr. Stadt,2004,68
01003,"Lübeck, Stadt",krsfr. Stadt,2005,68.4
01003,"Lübeck, Stadt",krsfr. Stadt,2006,69
01003,"Lübeck, Stadt",krsfr. Stadt,2007,69.2
01003,"Lübeck, Stadt",krsfr. Stadt,2008,70.1
01003,"Lübeck, Stadt",krsfr. Stadt,2009,69.4
01003,"Lübeck, Stadt",krsfr. Stadt,2010,68.7
01003,"Lübeck, Stadt",krsfr. Stadt,2011,68.6
01003,"Lübeck, Stadt",krsfr. Stadt,2012,68.8
