Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2000,15.3
01001,"Flensburg, Stadt",krsfr. Stadt,2001,15.2
01001,"Flensburg, Stadt",krsfr. Stadt,2002,15.4
01001,"Flensburg, Stadt",krsfr. Stadt,2003,15.6
01001,"Flensburg, Stadt",krsfr. Stadt,2004,16.1
01001,"Flensburg, Stadt",krsfr. Stadt,2005,16.3
01001,"Flensburg, Stadt",krsfr. Stadt,2006,17.1
01001,"Flensburg, Stadt",krsfr. Stadt,2007,18.4
01001,"Flensburg, Stadt",krsfr. Stadt,2008,18.7
01001,"Flensburg, Stadt",krsfr. Stadt,2009,18.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,19.1
01001,"Flensburg, Stadt",krsfr. Stadt,2011,19.4
01001,"Flensburg, Stadt",krsfr. Stadt,2012,18.9
01001,"Flensburg, Stadt",krsfr. Stadt,2013,18.9
01001,"Flensburg, Stadt",krsfr. Stadt,2014,18.6
01001,"Flensburg, Stadt",krsfr. Stadt,2015,18.7
01001,"Flensburg, Stadt",krsfr. Stadt,2016,18.6
01002,"Kiel, Stadt",krsfr. Stadt,2000,19.8
01002,"Kiel, Stadt",krsfr. Stadt,2001,20.3
01002,"Kiel, Stadt",krsfr. Stadt,2002,20.1
01002,"Kiel, Stadt",krsfr. Stadt,2003,20.3
01002,"Kiel, Stadt",krsfr. Stadt,2004,20.2
01002,"Kiel, Stadt",krsfr. Stadt,2005,20.3
01002,"Kiel, Stadt",krsfr. Stadt,2006,21
01002,"Kiel, Stadt",krsfr. Stadt,2007,21.4
01002,"Kiel, Stadt",krsfr. Stadt,2008,21.8
01002,"Kiel, Stadt",krsfr. Stadt,2009,21.9
01002,"Kiel, Stadt",krsfr. Stadt,2010,21.5
01002,"Kiel, Stadt",krsfr. Stadt,2011,21.6
01002,"Kiel, Stadt",krsfr. Stadt,2012,22.1
01002,"Kiel, Stadt",krsfr. Stadt,2013,21.6
01002,"Kiel, Stadt",krsfr. Stadt,2014,21.6
01002,"Kiel, Stadt",krsfr. Stadt,2015,21.9
01002,"Kiel, Stadt",krsfr. Stadt,2016,22.6
01003,"Lübeck, Stadt",krsfr. Stadt,2000,19.8
01003,"Lübeck, Stadt",krsfr. Stadt,2001,20.4
01003,"Lübeck, Stadt",krsfr. Stadt,2002,20.5
01003,"Lübeck, Stadt",krsfr. Stadt,2003,20.7
01003,"Lübeck, Stadt",krsfr. Stadt,2004,21.4
01003,"Lübeck, Stadt",krsfr. Stadt,2005,21.7
01003,"Lübeck, Stadt",krsfr. Stadt,2006,22
01003,"Lübeck, Stadt",krsfr. Stadt,2007,22.6
01003,"Lübeck, Stadt",krsfr. Stadt,2008,23.6
01003,"Lübeck, Stadt",krsfr. Stadt,2009,23.4
01003,"Lübeck, Stadt",krsfr. Stadt,2010,24.5
01003,"Lübeck, Stadt",krsfr. Stadt,2011,24.9
01003,"Lübeck, Stadt",krsfr. Stadt,2012,24.6
01003,"Lübeck, Stadt",krsfr. Stadt,2013,24.1
01003,"Lübeck, Stadt",krsfr. Stadt,2014,22.9
01003,"Lübeck, Stadt",krsfr. Stadt,2015,23.1
01003,"Lübeck, Stadt",krsfr. Stadt,2016,23.5
01004,"Neumünster, Stadt",krsfr. Stadt,2000,16.3
01004,"Neumünster, Stadt",krsfr. Stadt,2001,17.7
01004,"Neumünster, Stadt",krsfr. Stadt,2002,18.4
01004,"Neumünster, Stadt",krsfr. Stadt,2003,19.9
01004,"Neumünster, Stadt",krsfr. Stadt,2004,20.8
01004,"Neumünster, Stadt",krsfr. Stadt,2005,21.1
