Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,0.09
01001,"Flensburg, Stadt",krsfr. Stadt,2009,0.11
01001,"Flensburg, Stadt",krsfr. Stadt,2010,0.07
01001,"Flensburg, Stadt",krsfr. Stadt,2011,0.07
01001,"Flensburg, Stadt",krsfr. Stadt,2012,0.05
01001,"Flensburg, Stadt",krsfr. Stadt,2013,0.04
01001,"Flensburg, Stadt",krsfr. Stadt,2014,0.04
01001,"Flensburg, Stadt",krsfr. Stadt,2015,0.04
01001,"Flensburg, Stadt",krsfr. Stadt,2016,0.05
01001,"Flensburg, Stadt",krsfr. Stadt,2017,0.04
01002,"Kiel, Stadt",krsfr. Stadt,2008,0.06
01002,"Kiel, Stadt",krsfr. Stadt,2009,0.06
01002,"Kiel, Stadt",krsfr. Stadt,2010,0.05
01002,"Kiel, Stadt",krsfr. Stadt,2011,0.05
01002,"Kiel, Stadt",krsfr. Stadt,2012,0.05
01002,"Kiel, Stadt",krsfr. Stadt,2013,0.05
01002,"Kiel, Stadt",krsfr. Stadt,2014,0.05
01002,"Kiel, Stadt",krsfr. Stadt,2015,0.05
01002,"Kiel, Stadt",krsfr. Stadt,2016,0.05
01002,"Kiel, Stadt",krsfr. Stadt,2017,0.05
01003,"Lübeck, Stadt",krsfr. Stadt,2008,0.19
01003,"Lübeck, Stadt",krsfr. Stadt,2009,0.17
01003,"Lübeck, Stadt",krsfr. Stadt,2010,0.18
01003,"Lübeck, Stadt",krsfr. Stadt,2011,0.17
01003,"Lübeck, Stadt",krsfr. Stadt,2012,0.15
01003,"Lübeck, Stadt",krsfr. Stadt,2013,0.12
01003,"Lübeck, Stadt",krsfr. Stadt,2014,0.12
01003,"Lübeck, Stadt",krsfr. Stadt,2015,0.13
01003,"Lübeck, Stadt",krsfr. Stadt,2016,0.12
01003,"Lübeck, Stadt",krsfr. Stadt,2017,0.13
01004,"Neumünster, Stadt",krsfr. Stadt,2008,0.51
01004,"Neumünster, Stadt",krsfr. Stadt,2009,0.96
01004,"Neumünster, Stadt",krsfr. Stadt,2010,0.91
01004,"Neumünster, Stadt",krsfr. Stadt,2011,0.98
01004,"Neumünster, Stadt",krsfr. Stadt,2012,0.97
01004,"Neumünster, Stadt",krsfr. Stadt,2013,1.01
01004,"Neumünster, Stadt",krsfr. Stadt,2014,1.03
01004,"Neumünster, Stadt",krsfr. Stadt,2015,0.98
01004,"Neumünster, Stadt",krsfr. Stadt,2016,0.92
01004,"Neumünster, Stadt",krsfr. Stadt,2017,0.89
01051,Dithmarschen,Landkreis,2008,2.72
01051,Dithmarschen,Landkreis,2009,2.81
01051,Dithmarschen,Landkreis,2010,2.59
01051,Dithmarschen,Landkreis,2011,3.29
01051,Dithmarschen,Landkreis,2012,3.33
01051,Dithmarschen,Landkreis,2013,3.48
01051,Dithmarschen,Landkreis,2014,3.5
