Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,21.4
01001,"Flensburg, Stadt",krsfr. Stadt,2009,18.5
01001,"Flensburg, Stadt",krsfr. Stadt,2010,18.8
01001,"Flensburg, Stadt",krsfr. Stadt,2011,17.7
01001,"Flensburg, Stadt",krsfr. Stadt,2012,17.1
01001,"Flensburg, Stadt",krsfr. Stadt,2013,15.1
01001,"Flensburg, Stadt",krsfr. Stadt,2014,14.2
01001,"Flensburg, Stadt",krsfr. Stadt,2015,14.6
01001,"Flensburg, Stadt",krsfr. Stadt,2016,14.7
01001,"Flensburg, Stadt",krsfr. Stadt,2017,15.9
01002,"Kiel, Stadt",krsfr. Stadt,2008,15.9
01002,"Kiel, Stadt",krsfr. Stadt,2009,16.1
01002,"Kiel, Stadt",krsfr. Stadt,2010,16.8
01002,"Kiel, Stadt",krsfr. Stadt,2011,16.7
01002,"Kiel, Stadt",krsfr. Stadt,2012,16.4
01002,"Kiel, Stadt",krsfr. Stadt,2013,16.2
01002,"Kiel, Stadt",krsfr. Stadt,2014,15.9
01002,"Kiel, Stadt",krsfr. Stadt,2015,15.6
01002,"Kiel, Stadt",krsfr. Stadt,2016,15.6
01002,"Kiel, Stadt",krsfr. Stadt,2017,15.3
01003,"Lübeck, Stadt",krsfr. Stadt,2008,23.4
01003,"Lübeck, Stadt",krsfr. Stadt,2009,23.4
01003,"Lübeck, Stadt",krsfr. Stadt,2010,22.5
01003,"Lübeck, Stadt",krsfr. Stadt,2011,22.2
01003,"Lübeck, Stadt",krsfr. Stadt,2012,22.3
01003,"Lübeck, Stadt",krsfr. Stadt,2013,23
01003,"Lübeck, Stadt",krsfr. Stadt,2014,23.2
01003,"Lübeck, Stadt",krsfr. Stadt,2015,23.4
01003,"Lübeck, Stadt",krsfr. Stadt,2016,23.2
01003,"Lübeck, Stadt",krsfr. Stadt,2017,23.1
01004,"Neumünster, Stadt",krsfr. Stadt,2008,23.5
01004,"Neumünster, Stadt",krsfr. Stadt,2009,22.5
01004,"Neumünster, Stadt",krsfr. Stadt,2010,21.7
01004,"Neumünster, Stadt",krsfr. Stadt,2011,21.2
01004,"Neumünster, Stadt",krsfr. Stadt,2012,22
01004,"Neumünster, Stadt",krsfr. Stadt,2013,22.7
01004,"Neumünster, Stadt",krsfr. Stadt,2014,22.6
01004,"Neumünster, Stadt",krsfr. Stadt,2015,22.4
01004,"Neumünster, Stadt",krsfr. Stadt,2016,21.5
01004,"Neumünster, Stadt",krsfr. Stadt,2017,21.2
01051,Dithmarschen,Landkreis,2008,29.3
01051,Dithmarschen,Landkreis,2009,29.5
01051,Dithmarschen,Landkreis,2010,30
01051,Dithmarschen,Landkreis,2011,30.2
01051,Dithmarschen,Landkreis,2012,29.8
01051,Dithmarschen,Landkreis,2013,28.6
01051,Dithmarschen,Landkreis,2014,28.1
01051,Dithmarschen,Landkreis,2015,27.5
01051,Dithmarschen,Landkreis,2016,26.9
01051,Dithmarschen,Landkreis,2017,26.7
01053,Herzogtum Lauenburg,Landkreis,2008,29.1
01053,Herzogtum Lauenburg,Landkreis,2009,28.5
01053,Herzogtum Lauenburg,Landkreis,2010,28.6
01053,Herzogtum Lauenburg,Landkreis,2011,27.7
01053,Herzogtum Lauenburg,Landkreis,2012,28
01053,Herzogtum Lauenburg,Landkreis,2013,27.6
01053,Herzogtum Lauenburg,Landkreis,2014,27.4
01053,Herzogtum Lauenburg,Landkreis,2015,27.3
01053,Herzogtum Lauenburg,Landkreis,2016,26.6
01053,Herzogtum Lauenburg,Landkreis,2017,26.7
01054,Nordfriesland,Landkreis,2008,19.7
01054,Nordfriesland,Landkreis,2009,19.8
01054,Nordfriesland,Landkreis,2010,20.1
01054,Nordfriesland,Landkreis,2011,19.9
01054,Nordfriesland,Landkreis,2012,20.4
