Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,78.5
01001,"Flensburg, Stadt",krsfr. Stadt,2009,81.4
01001,"Flensburg, Stadt",krsfr. Stadt,2010,81.1
01001,"Flensburg, Stadt",krsfr. Stadt,2011,82.3
01001,"Flensburg, Stadt",krsfr. Stadt,2012,82.9
01001,"Flensburg, Stadt",krsfr. Stadt,2013,84.8
01001,"Flensburg, Stadt",krsfr. Stadt,2014,85.7
01001,"Flensburg, Stadt",krsfr. Stadt,2015,85.4
01001,"Flensburg, Stadt",krsfr. Stadt,2016,85.3
01001,"Flensburg, Stadt",krsfr. Stadt,2017,84
01002,"Kiel, Stadt",krsfr. Stadt,2008,84
01002,"Kiel, Stadt",krsfr. Stadt,2009,83.8
01002,"Kiel, Stadt",krsfr. Stadt,2010,83.1
01002,"Kiel, Stadt",krsfr. Stadt,2011,83.2
01002,"Kiel, Stadt",krsfr. Stadt,2012,83.6
01002,"Kiel, Stadt",krsfr. Stadt,2013,83.8
01002,"Kiel, Stadt",krsfr. Stadt,2014,84
01002,"Kiel, Stadt",krsfr. Stadt,2015,84.4
01002,"Kiel, Stadt",krsfr. Stadt,2016,84.4
01002,"Kiel, Stadt",krsfr. Stadt,2017,84.6
01003,"Lübeck, Stadt",krsfr. Stadt,2008,76.4
01003,"Lübeck, Stadt",krsfr. Stadt,2009,76.5
01003,"Lübeck, Stadt",krsfr. Stadt,2010,77.3
01003,"Lübeck, Stadt",krsfr. Stadt,2011,77.7
01003,"Lübeck, Stadt",krsfr. Stadt,2012,77.5
01003,"Lübeck, Stadt",krsfr. Stadt,2013,76.9
01003,"Lübeck, Stadt",krsfr. Stadt,2014,76.7
01003,"Lübeck, Stadt",krsfr. Stadt,2015,76.5
01003,"Lübeck, Stadt",krsfr. Stadt,2016,76.7
01003,"Lübeck, Stadt",krsfr. Stadt,2017,76.7
01004,"Neumünster, Stadt",krsfr. Stadt,2008,75.6
01004,"Neumünster, Stadt",krsfr. Stadt,2009,76.5
01004,"Neumünster, Stadt",krsfr. Stadt,2010,77.4
01004,"Neumünster, Stadt",krsfr. Stadt,2011,77.8
01004,"Neumünster, Stadt",krsfr. Stadt,2012,77
01004,"Neumünster, Stadt",krsfr. Stadt,2013,76.3
01004,"Neumünster, Stadt",krsfr. Stadt,2014,76.4
01004,"Neumünster, Stadt",krsfr. Stadt,2015,76.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,77.5
01004,"Neumünster, Stadt",krsfr. Stadt,2017,77.9
01051,Dithmarschen,Landkreis,2008,68
01051,Dithmarschen,Landkreis,2009,67.6
01051,Dithmarschen,Landkreis,2010,67
01051,Dithmarschen,Landkreis,2011,66.5
01051,Dithmarschen,Landkreis,2012,66.9
01051,Dithmarschen,Landkreis,2013,67.9
01051,Dithmarschen,Landkreis,2014,68.4
01051,Dithmarschen,Landkreis,2015,68.9
01051,Dithmarschen,Landkreis,2016,69.5
01051,Dithmarschen,Landkreis,2017,69.5
01053,Herzogtum Lauenburg,Landkreis,2008,69.1
01053,Herzogtum Lauenburg,Landkreis,2009,69.7
01053,Herzogtum Lauenburg,Landkreis,2010,69.5
01053,Herzogtum Lauenburg,Landkreis,2011,70.5
01053,Herzogtum Lauenburg,Landkreis,2012,70.3
01053,Herzogtum Lauenburg,Landkreis,2013,70.7
01053,Herzogtum Lauenburg,Landkreis,2014,70.8
01053,Herzogtum Lauenburg,Landkreis,2015,71.1
01053,Herzogtum Lauenburg,Landkreis,2016,71.8
01053,Herzogtum Lauenburg,Landkreis,2017,71.8
01054,Nordfriesland,Landkreis,2008,78.4
01054,Nordfriesland,Landkreis,2009,78.2
01054,Nordfriesland,Landkreis,2010,77.9
01054,Nordfriesland,Landkreis,2011,77.9
01054,Nordfriesland,Landkreis,2012,77.3
01054,Nordfriesland,Landkreis,2013,78
01054,Nordfriesland,Landkreis,2014,79.8
01054,Nordfriesland,Landkreis,2015,79.9
01054,Nordfriesland,Landkreis,2016,80.2
01054,Nordfriesland,Landkreis,2017,79.7
01055,Ostholstein,Landkreis,2008,75.7
01055,Ostholstein,Landkreis,2009,76.1
01055,Ostholstein,Landkreis,2010,76.6
01055,Ostholstein,Landkreis,2011,76.5
01055,Ostholstein,Landkreis,2012,76
01055,Ostholstein,Landkreis,2013,76.9
01055,Ostholstein,Landkreis,2014,78
01055,Ostholstein,Landkreis,2015,78.4
01055,Ostholstein,Landkreis,2016,78.5
01055,Ostholstein,Landkreis,2017,78.1
01056,Pinneberg,Landkreis,2008,64.8
01056,Pinneberg,Landkreis,2009,65.4
01056,Pinneberg,Landkreis,2010,65.6
01056,Pinneberg,Landkreis,2011,65.6
01056,Pinneberg,Landkreis,2012,65.4
01056,Pinneberg,Landkreis,2013,66.6
01056,Pinneberg,Landkreis,2014,66.7
01056,Pinneberg,Landkreis,2015,67.1
01056,Pinneberg,Landkreis,2016,68.2
01056,Pinneberg,Landkreis,2017,68.8
01057,Plön,Landkreis,2008,73.2
01057,Plön,Landkreis,2009,73.3
01057,Plön,Landkreis,2010,73.3
01057,Plön,Landkreis,2011,73.2
01057,Plön,Landkreis,2012,73.1
01057,Plön,Landkreis,2013,73.5
01057,Plön,Landkreis,2014,72.7
01057,Plön,Landkreis,2015,73.3
01057,Plön,Landkreis,2016,73.8
01057,Plön,Landkreis,2017,73.8
01058,Rendsburg-Eckernförde,Landkreis,2008,73.3
01058,Rendsburg-Eckernförde,Landkreis,2009,73.8
01058,Rendsburg-Eckernförde,Landkreis,2010,72.9
01058,Rendsburg-Eckernförde,Landkreis,2011,72.4
01058,Rendsburg-Eckernförde,Landkreis,2012,71.8
01058,Rendsburg-Eckernförde,Landkreis,2013,73
01058,Rendsburg-Eckernförde,Landkreis,2014,71.9
01058,Rendsburg-Eckernförde,Landkreis,2015,72.8
01058,Rendsburg-Eckernförde,Landkreis,2016,73.1
01058,Rendsburg-Eckernförde,Landkreis,2017,73.2
01059,Schleswig-Flensburg,Landkreis,2008,74
01059,Schleswig-Flensburg,Landkreis,2009,74.3
01059,Schleswig-Flensburg,Landkreis,2010,73.7
01059,Schleswig-Flensburg,Landkreis,2011,72.8
01059,Schleswig-Flensburg,Landkreis,2012,73
01059,Schleswig-Flensburg,Landkreis,2013,73.9
01059,Schleswig-Flensburg,Landkreis,2014,74.2
01059,Schleswig-Flensburg,Landkreis,2015,75.1
01059,Schleswig-Flensburg,Landkreis,2016,75.3
01059,Schleswig-Flensburg,Landkreis,2017,75.4
01060,Segeberg,Landkreis,2008,67.7
01060,Segeberg,Landkreis,2009,68.3
01060,Segeberg,Landkreis,2010,68.6
01060,Segeberg,Landkreis,2011,69.4
01060,Segeberg,Landkreis,2012,69.6
01060,Segeberg,Landkreis,2013,70.8
01060,Segeberg,Landkreis,2014,70.6
01060,Segeberg,Landkreis,2015,71.2
01060,Segeberg,Landkreis,2016,71.8
01060,Segeberg,Landkreis,2017,71.6
01061,Steinburg,Landkreis,2008,65.1
01061,Steinburg,Landkreis,2009,65.3
01061,Steinburg,Landkreis,2010,65.7
01061,Steinburg,Landkreis,2011,66.1
01061,Steinburg,Landkreis,2012,64.7
01061,Steinburg,Landkreis,2013,65.3
01061,Steinburg,Landkreis,2014,65.2
01061,Steinburg,Landkreis,2015,67.1
01061,Steinburg,Landkreis,2016,68.2
01061,Steinburg,Landkreis,2017,68.8
01062,Stormarn,Landkreis,2008,65.4
01062,Stormarn,Landkreis,2009,65.9
01062,Stormarn,Landkreis,2010,67.2
01062,Stormarn,Landkreis,2011,67.2
01062,Stormarn,Landkreis,2012,68.1
01062,Stormarn,Landkreis,2013,68.4
01062,Stormarn,Landkreis,2014,68.4
01062,Stormarn,Landkreis,2015,68.7
01062,Stormarn,Landkreis,2016,69.3
01062,Stormarn,Landkreis,2017,69.6
02000,"Hamburg, Stadt",krsfr. Stadt,2008,82.2
02000,"Hamburg, Stadt",krsfr. Stadt,2009,82.9
02000,"Hamburg, Stadt",krsfr. Stadt,2010,83.3
02000,"Hamburg, Stadt",krsfr. Stadt,2011,83.3
02000,"Hamburg, Stadt",krsfr. Stadt,2012,83.3
02000,"Hamburg, Stadt",krsfr. Stadt,2013,83.8
02000,"Hamburg, Stadt",krsfr. Stadt,2014,83.8
02000,"Hamburg, Stadt",krsfr. Stadt,2015,84
02000,"Hamburg, Stadt",krsfr. Stadt,2016,84.2
02000,"Hamburg, Stadt",krsfr. Stadt,2017,84.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2008,75.9
03101,"Braunschweig, Stadt",krsfr. Stadt,2009,76.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2010,76.6
03101,"Braunschweig, Stadt",krsfr. Stadt,2011,77
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,77.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,77.4
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,77.7
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,78.3
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,78.5
03101,"Braunschweig, Stadt",krsfr. Stadt,2017,78.8
03102,"Salzgitter, Stadt",krsfr. Stadt,2008,42.5
03102,"Salzgitter, Stadt",krsfr. Stadt,2009,37.9
03102,"Salzgitter, Stadt",krsfr. Stadt,2010,38.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2011,39.7
03102,"Salzgitter, Stadt",krsfr. Stadt,2012,40.4
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,40.5
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,54.3
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,42
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,42.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2017,42
03103,"Wolfsburg, Stadt",krsfr. Stadt,2008,40.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2009,39.9
03103,"Wolfsburg, Stadt",krsfr. Stadt,2010,40
03103,"Wolfsburg, Stadt",krsfr. Stadt,2011,43.3
03103,"Wolfsburg, Stadt",krsfr. Stadt,2012,44.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2013,42.8
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,40.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,39.8
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,40.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2017,38.7
03151,Gifhorn,Landkreis,2008,70.1
03151,Gifhorn,Landkreis,2009,71.5
03151,Gifhorn,Landkreis,2010,70.9
03151,Gifhorn,Landkreis,2011,71.7
03151,Gifhorn,Landkreis,2012,71.2
03151,Gifhorn,Landkreis,2013,72.2
03151,Gifhorn,Landkreis,2014,71.5
03151,Gifhorn,Landkreis,2015,72.2
03151,Gifhorn,Landkreis,2016,72.9
03151,Gifhorn,Landkreis,2017,73
03153,Goslar,Landkreis,2008,69.4
03153,Goslar,Landkreis,2009,70.5
03153,Goslar,Landkreis,2010,71.1
03153,Goslar,Landkreis,2011,71
03153,Goslar,Landkreis,2012,70.8
03153,Goslar,Landkreis,2013,71.3
03153,Goslar,Landkreis,2014,71.4
03153,Goslar,Landkreis,2015,72.6
03153,Goslar,Landkreis,2016,72.7
03153,Goslar,Landkreis,2017,73.2
03154,Helmstedt,Landkreis,2008,66.6
03154,Helmstedt,Landkreis,2009,67
03154,Helmstedt,Landkreis,2010,67.9
03154,Helmstedt,Landkreis,2011,67.4
03154,Helmstedt,Landkreis,2012,67.6
03154,Helmstedt,Landkreis,2013,67.8
03154,Helmstedt,Landkreis,2014,70.1
03154,Helmstedt,Landkreis,2015,70.8
03154,Helmstedt,Landkreis,2016,71.6
03154,Helmstedt,Landkreis,2017,72.4
03155,Northeim,Landkreis,2008,55.3
03155,Northeim,Landkreis,2009,55.9
03155,Northeim,Landkreis,2010,56.2
03155,Northeim,Landkreis,2011,57.4
03155,Northeim,Landkreis,2012,56.6
03155,Northeim,Landkreis,2013,56.6
03155,Northeim,Landkreis,2014,57.4
03155,Northeim,Landkreis,2015,58.6
03155,Northeim,Landkreis,2016,58.8
03155,Northeim,Landkreis,2017,58.7
03157,Peine,Landkreis,2008,62
03157,Peine,Landkreis,2009,61.7
03157,Peine,Landkreis,2010,63
03157,Peine,Landkreis,2011,64.1
03157,Peine,Landkreis,2012,64.1
03157,Peine,Landkreis,2013,64.9
03157,Peine,Landkreis,2014,65.6
03157,Peine,Landkreis,2015,66.9
03157,Peine,Landkreis,2016,67
03157,Peine,Landkreis,2017,66.8
03158,Wolfenbüttel,Landkreis,2008,70
03158,Wolfenbüttel,Landkreis,2009,70.7
03158,Wolfenbüttel,Landkreis,2010,71.7
03158,Wolfenbüttel,Landkreis,2011,71.4
03158,Wolfenbüttel,Landkreis,2012,71.7
03158,Wolfenbüttel,Landkreis,2013,73.4
03158,Wolfenbüttel,Landkreis,2014,72.3
03158,Wolfenbüttel,Landkreis,2015,73
03158,Wolfenbüttel,Landkreis,2016,73.7
03158,Wolfenbüttel,Landkreis,2017,74
03159,Göttingen,Landkreis,2008,70
03159,Göttingen,Landkreis,2009,71.1
03159,Göttingen,Landkreis,2010,72.1
03159,Göttingen,Landkreis,2011,72.7
03159,Göttingen,Landkreis,2012,72.8
03159,Göttingen,Landkreis,2013,73.7
03159,Göttingen,Landkreis,2014,74.5
03159,Göttingen,Landkreis,2015,75.4
03159,Göttingen,Landkreis,2016,75.5
03159,Göttingen,Landkreis,2017,75.8
03241,Region Hannover,Landkreis,2008,77.8
03241,Region Hannover,Landkreis,2009,78.2
03241,Region Hannover,Landkreis,2010,78.5
03241,Region Hannover,Landkreis,2011,78.9
03241,Region Hannover,Landkreis,2012,78.8
03241,Region Hannover,Landkreis,2013,78.7
03241,Region Hannover,Landkreis,2014,78.9
03241,Region Hannover,Landkreis,2015,79.4
03241,Region Hannover,Landkreis,2016,79.7
03241,Region Hannover,Landkreis,2017,79.6
03251,Diepholz,Landkreis,2008,67
03251,Diepholz,Landkreis,2009,66.7
03251,Diepholz,Landkreis,2010,66.1
03251,Diepholz,Landkreis,2011,65.5
03251,Diepholz,Landkreis,2012,65.3
03251,Diepholz,Landkreis,2013,65.5
03251,Diepholz,Landkreis,2014,65.5
03251,Diepholz,Landkreis,2015,65.3
03251,Diepholz,Landkreis,2016,65.6
03251,Diepholz,Landkreis,2017,66.1
03252,Hameln-Pyrmont,Landkreis,2008,69.5
03252,Hameln-Pyrmont,Landkreis,2009,69.8
03252,Hameln-Pyrmont,Landkreis,2010,70.8
03252,Hameln-Pyrmont,Landkreis,2011,69.6
03252,Hameln-Pyrmont,Landkreis,2012,69.5
03252,Hameln-Pyrmont,Landkreis,2013,69.2
03252,Hameln-Pyrmont,Landkreis,2014,69.7
03252,Hameln-Pyrmont,Landkreis,2015,70.1
03252,Hameln-Pyrmont,Landkreis,2016,70.4
03252,Hameln-Pyrmont,Landkreis,2017,70.4
03254,Hildesheim,Landkreis,2008,61.9
03254,Hildesheim,Landkreis,2009,63.2
03254,Hildesheim,Landkreis,2010,65.1
03254,Hildesheim,Landkreis,2011,65.2
03254,Hildesheim,Landkreis,2012,65.3
03254,Hildesheim,Landkreis,2013,66.4
03254,Hildesheim,Landkreis,2014,66.8
03254,Hildesheim,Landkreis,2015,67.4
