Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2010,13.1
01001,"Flensburg, Stadt",krsfr. Stadt,2011,13.2
01001,"Flensburg, Stadt",krsfr. Stadt,2012,13.9
01001,"Flensburg, Stadt",krsfr. Stadt,2013,13
01001,"Flensburg, Stadt",krsfr. Stadt,2014,12.7
01001,"Flensburg, Stadt",krsfr. Stadt,2015,12.2
01001,"Flensburg, Stadt",krsfr. Stadt,2016,13
01002,"Kiel, Stadt",krsfr. Stadt,2010,8.6
01002,"Kiel, Stadt",krsfr. Stadt,2011,7.2
01002,"Kiel, Stadt",krsfr. Stadt,2012,7.8
01002,"Kiel, Stadt",krsfr. Stadt,2013,7.7
01002,"Kiel, Stadt",krsfr. Stadt,2014,7.6
01002,"Kiel, Stadt",krsfr. Stadt,2015,7.6
01002,"Kiel, Stadt",krsfr. Stadt,2016,7.7
01003,"Lübeck, Stadt",krsfr. Stadt,2010,15.6
01003,"Lübeck, Stadt",krsfr. Stadt,2011,16
01003,"Lübeck, Stadt",krsfr. Stadt,2012,15.8
01003,"Lübeck, Stadt",krsfr. Stadt,2013,15.8
01003,"Lübeck, Stadt",krsfr. Stadt,2014,15.5
01003,"Lübeck, Stadt",krsfr. Stadt,2015,14.4
01003,"Lübeck, Stadt",krsfr. Stadt,2016,14.1
01004,"Neumünster, Stadt",krsfr. Stadt,2010,14.9
01004,"Neumünster, Stadt",krsfr. Stadt,2011,13.2
01004,"Neumünster, Stadt",krsfr. Stadt,2012,13.8
01004,"Neumünster, Stadt",krsfr. Stadt,2013,11.7
01004,"Neumünster, Stadt",krsfr. Stadt,2014,11.4
01004,"Neumünster, Stadt",krsfr. Stadt,2015,11.7
01004,"Neumünster, Stadt",krsfr. Stadt,2016,11
01051,Dithmarschen,Landkreis,2010,18.3
01051,Dithmarschen,Landkreis,2011,18.3
01051,Dithmarschen,Landkreis,2012,19.1
01051,Dithmarschen,Landkreis,2013,15.8
01051,Dithmarschen,Landkreis,2014,15.8
01051,Dithmarschen,Landkreis,2015,16.2
01051,Dithmarschen,Landkreis,2016,16.1
01053,Herzogtum Lauenburg,Landkreis,2010,16.3
01053,Herzogtum Lauenburg,Landkreis,2011,17
01053,Herzogtum Lauenburg,Landkreis,2012,16.8
01053,Herzogtum Lauenburg,Landkreis,2013,15.9
01053,Herzogtum Lauenburg,Landkreis,2014,16.1
01053,Herzogtum Lauenburg,Landkreis,2015,16.4
01053,Herzogtum Lauenburg,Landkreis,2016,16.5
01054,Nordfriesland,Landkreis,2010,17.4
01054,Nordfriesland,Landkreis,2011,17.7
01054,Nordfriesland,Landkreis,2012,17.5
01054,Nordfriesland,Landkreis,2013,16.8
01054,Nordfriesland,Landkreis,2014,17.4
01054,Nordfriesland,Landkreis,2015,16.8
01054,Nordfriesland,Landkreis,2016,16.7
01055,Ostholstein,Landkreis,2010,13.4
01055,Ostholstein,Landkreis,2011,13.3
01055,Ostholstein,Landkreis,2012,13.3
01055,Ostholstein,Landkreis,2013,12.4
01055,Ostholstein,Landkreis,2014,12.3
01055,Ostholstein,Landkreis,2015,12.2
01055,Ostholstein,Landkreis,2016,12.1
01056,Pinneberg,Landkreis,2010,13.8
01056,Pinneberg,Landkreis,2011,13.6
01056,Pinneberg,Landkreis,2012,13.8
01056,Pinneberg,Landkreis,2013,13.5
01056,Pinneberg,Landkreis,2014,13.9
01056,Pinneberg,Landkreis,2015,13.8
01056,Pinneberg,Landkreis,2016,13.4
01057,Plön,Landkreis,2010,17.8
01057,Plön,Landkreis,2011,18.4
01057,Plön,Landkreis,2012,18.6
01057,Plön,Landkreis,2013,17.6
01057,Plön,Landkreis,2014,17.4
01057,Plön,Landkreis,2015,17.2
01057,Plön,Landkreis,2016,17
01058,Rendsburg-Eckernförde,Landkreis,2010,19
01058,Rendsburg-Eckernförde,Landkreis,2011,19.5
01058,Rendsburg-Eckernförde,Landkreis,2012,19.7
