Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2010,20.8
01001,"Flensburg, Stadt",krsfr. Stadt,2011,21.5
01001,"Flensburg, Stadt",krsfr. Stadt,2012,22.7
01001,"Flensburg, Stadt",krsfr. Stadt,2013,27
01001,"Flensburg, Stadt",krsfr. Stadt,2014,29
01001,"Flensburg, Stadt",krsfr. Stadt,2015,27.4
01001,"Flensburg, Stadt",krsfr. Stadt,2016,25.9
01002,"Kiel, Stadt",krsfr. Stadt,2010,25.1
01002,"Kiel, Stadt",krsfr. Stadt,2011,22.3
01002,"Kiel, Stadt",krsfr. Stadt,2012,20.3
01002,"Kiel, Stadt",krsfr. Stadt,2013,21.2
01002,"Kiel, Stadt",krsfr. Stadt,2014,21.8
01002,"Kiel, Stadt",krsfr. Stadt,2015,23.2
01002,"Kiel, Stadt",krsfr. Stadt,2016,23.3
01003,"Lübeck, Stadt",krsfr. Stadt,2010,34.7
01003,"Lübeck, Stadt",krsfr. Stadt,2011,28.7
01003,"Lübeck, Stadt",krsfr. Stadt,2012,28.7
01003,"Lübeck, Stadt",krsfr. Stadt,2013,29.4
01003,"Lübeck, Stadt",krsfr. Stadt,2014,27.3
01003,"Lübeck, Stadt",krsfr. Stadt,2015,27.6
01003,"Lübeck, Stadt",krsfr. Stadt,2016,25.7
01004,"Neumünster, Stadt",krsfr. Stadt,2010,10.3
01004,"Neumünster, Stadt",krsfr. Stadt,2011,13.5
01004,"Neumünster, Stadt",krsfr. Stadt,2012,12.8
01004,"Neumünster, Stadt",krsfr. Stadt,2013,4.3
01004,"Neumünster, Stadt",krsfr. Stadt,2014,4.8
01004,"Neumünster, Stadt",krsfr. Stadt,2015,4.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,4.7
01051,Dithmarschen,Landkreis,2010,10.2
01051,Dithmarschen,Landkreis,2011,10.4
01051,Dithmarschen,Landkreis,2012,10.1
01051,Dithmarschen,Landkreis,2013,8.2
01051,Dithmarschen,Landkreis,2014,8.4
01051,Dithmarschen,Landkreis,2015,8
01051,Dithmarschen,Landkreis,2016,8.1
01053,Herzogtum Lauenburg,Landkreis,2010,3.8
01053,Herzogtum Lauenburg,Landkreis,2011,4
01053,Herzogtum Lauenburg,Landkreis,2012,4.3
01053,Herzogtum Lauenburg,Landkreis,2013,4.7
01053,Herzogtum Lauenburg,Landkreis,2014,4.5
01053,Herzogtum Lauenburg,Landkreis,2015,4.9
01053,Herzogtum Lauenburg,Landkreis,2016,4.8
01054,Nordfriesland,Landkreis,2010,6.6
01054,Nordfriesland,Landkreis,2011,6.6
01054,Nordfriesland,Landkreis,2012,7
01054,Nordfriesland,Landkreis,2013,5.9
01054,Nordfriesland,Landkreis,2014,8.8
01054,Nordfriesland,Landkreis,2015,9.4
01054,Nordfriesland,Landkreis,2016,9.5
01055,Ostholstein,Landkreis,2010,11.8
01055,Ostholstein,Landkreis,2011,11.7
01055,Ostholstein,Landkreis,2012,11.4
01055,Ostholstein,Landkreis,2013,11.3
01055,Ostholstein,Landkreis,2014,12.1
01055,Ostholstein,Landkreis,2015,12.6
01055,Ostholstein,Landkreis,2016,12.6
01056,Pinneberg,Landkreis,2010,8.3
01056,Pinneberg,Landkreis,2011,8.6
01056,Pinneberg,Landkreis,2012,9
01056,Pinneberg,Landkreis,2013,9.3
01056,Pinneberg,Landkreis,2014,9.6
01056,Pinneberg,Landkreis,2015,9.5
01056,Pinneberg,Landkreis,2016,9.8
01057,Plön,Landkreis,2010,5.2
01057,Plön,Landkreis,2011,5.1
01057,Plön,Landkreis,2012,6.3
01057,Plön,Landkreis,2013,7
01057,Plön,Landkreis,2014,7.8
01057,Plön,Landkreis,2015,7.9
01057,Plön,Landkreis,2016,8.3
01058,Rendsburg-Eckernförde,Landkreis,2010,7.4
01058,Rendsburg-Eckernförde,Landkreis,2011,7.8
01058,Rendsburg-Eckernförde,Landkreis,2012,8
01058,Rendsburg-Eckernförde,Landkreis,2013,7.4
01058,Rendsburg-Eckernförde,Landkreis,2014,8.7
01058,Rendsburg-Eckernförde,Landkreis,2015,8.9
01058,Rendsburg-Eckernförde,Landkreis,2016,10.4
01059,Schleswig-Flensburg,Landkreis,2010,4.5
01059,Schleswig-Flensburg,Landkreis,2011,4.5
01059,Schleswig-Flensburg,Landkreis,2012,4.2
01059,Schleswig-Flensburg,Landkreis,2013,8.4
01059,Schleswig-Flensburg,Landkreis,2014,10
01059,Schleswig-Flensburg,Landkreis,2015,9.6
01059,Schleswig-Flensburg,Landkreis,2016,7.4
01060,Segeberg,Landkreis,2010,15.6
01060,Segeberg,Landkreis,2011,13.7
01060,Segeberg,Landkreis,2012,13.8
01060,Segeberg,Landkreis,2013,15.2
01060,Segeberg,Landkreis,2014,13.4
01060,Segeberg,Landkreis,2015,12.9
01060,Segeberg,Landkreis,2016,11.2
01061,Steinburg,Landkreis,2010,12.8
01061,Steinburg,Landkreis,2011,13.6
01061,Steinburg,Landkreis,2012,13.5
01061,Steinburg,Landkreis,2013,11.4
01061,Steinburg,Landkreis,2014,10.5
01061,Steinburg,Landkreis,2015,12.6
01061,Steinburg,Landkreis,2016,13.3
01062,Stormarn,Landkreis,2010,9.9
01062,Stormarn,Landkreis,2011,10.1
01062,Stormarn,Landkreis,2012,11.5
01062,Stormarn,Landkreis,2013,11.1
01062,Stormarn,Landkreis,2014,11.4
01062,Stormarn,Landkreis,2015,11
01062,Stormarn,Landkreis,2016,11.3
02000,"Hamburg, Stadt",krsfr. Stadt,2010,27.2
02000,"Hamburg, Stadt",krsfr. Stadt,2011,28.1
02000,"Hamburg, Stadt",krsfr. Stadt,2012,28.6
02000,"Hamburg, Stadt",krsfr. Stadt,2013,29.2
02000,"Hamburg, Stadt",krsfr. Stadt,2014,29.2
02000,"Hamburg, Stadt",krsfr. Stadt,2015,29.5
02000,"Hamburg, Stadt",krsfr. Stadt,2016,30.3
03101,"Braunschweig, Stadt",krsfr. Stadt,2010,25
03101,"Braunschweig, Stadt",krsfr. Stadt,2011,26.2
03101,"Braunschweig, Stadt",krsfr. Stadt,2012,27
03101,"Braunschweig, Stadt",krsfr. Stadt,2013,30.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2014,30.1
03101,"Braunschweig, Stadt",krsfr. Stadt,2015,31.8
03101,"Braunschweig, Stadt",krsfr. Stadt,2016,32.3
03102,"Salzgitter, Stadt",krsfr. Stadt,2010,4.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2011,7.5
03102,"Salzgitter, Stadt",krsfr. Stadt,2012,7.6
03102,"Salzgitter, Stadt",krsfr. Stadt,2013,11.5
03102,"Salzgitter, Stadt",krsfr. Stadt,2014,12.5
03102,"Salzgitter, Stadt",krsfr. Stadt,2015,14.2
03102,"Salzgitter, Stadt",krsfr. Stadt,2016,14.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2010,3.1
03103,"Wolfsburg, Stadt",krsfr. Stadt,2011,3.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2012,3.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2013,3.4
03103,"Wolfsburg, Stadt",krsfr. Stadt,2014,3.5
03103,"Wolfsburg, Stadt",krsfr. Stadt,2015,3.7
03103,"Wolfsburg, Stadt",krsfr. Stadt,2016,3.9
03151,Gifhorn,Landkreis,2010,5.1
03151,Gifhorn,Landkreis,2011,5.3
03151,Gifhorn,Landkreis,2012,5.5
03151,Gifhorn,Landkreis,2013,5.1
03151,Gifhorn,Landkreis,2014,5.2
03151,Gifhorn,Landkreis,2015,5.5
03151,Gifhorn,Landkreis,2016,5.8
03153,Goslar,Landkreis,2010,12.1
03153,Goslar,Landkreis,2011,12.4
03153,Goslar,Landkreis,2012,13
03153,Goslar,Landkreis,2013,13.4
03153,Goslar,Landkreis,2014,13.3
03153,Goslar,Landkreis,2015,12.9
03153,Goslar,Landkreis,2016,13.8
03154,Helmstedt,Landkreis,2010,5.9
03154,Helmstedt,Landkreis,2011,8.4
03154,Helmstedt,Landkreis,2012,9
03154,Helmstedt,Landkreis,2013,8.7
03154,Helmstedt,Landkreis,2014,8.6
03154,Helmstedt,Landkreis,2015,8.2
03154,Helmstedt,Landkreis,2016,8
03155,Northeim,Landkreis,2010,8.7
03155,Northeim,Landkreis,2011,8.8
03155,Northeim,Landkreis,2012,9
03155,Northeim,Landkreis,2013,9.2
03155,Northeim,Landkreis,2014,9
03155,Northeim,Landkreis,2015,8.7
03155,Northeim,Landkreis,2016,7.9
03157,Peine,Landkreis,2010,13.4
03157,Peine,Landkreis,2011,13.4
03157,Peine,Landkreis,2012,13.8
03157,Peine,Landkreis,2013,13.7
03157,Peine,Landkreis,2014,13.1
03157,Peine,Landkreis,2015,13.5
03157,Peine,Landkreis,2016,13.5
03158,Wolfenbüttel,Landkreis,2010,13.7
03158,Wolfenbüttel,Landkreis,2011,13.3
03158,Wolfenbüttel,Landkreis,2012,13.3
03158,Wolfenbüttel,Landkreis,2013,13.3
03158,Wolfenbüttel,Landkreis,2014,12.5
03158,Wolfenbüttel,Landkreis,2015,12.7
03158,Wolfenbüttel,Landkreis,2016,13.4
03159,Göttingen,Landkreis,2010,7.3
03159,Göttingen,Landkreis,2011,8.2
03159,Göttingen,Landkreis,2012,8.6
03159,Göttingen,Landkreis,2013,9
03159,Göttingen,Landkreis,2014,9.2
03159,Göttingen,Landkreis,2015,0
03159,Göttingen,Landkreis,2016,10.1
03241,Region Hannover,Landkreis,2010,28.4
03241,Region Hannover,Landkreis,2011,29.6
03241,Region Hannover,Landkreis,2012,29.7
03241,Region Hannover,Landkreis,2013,29.8
03241,Region Hannover,Landkreis,2014,29.9
03241,Region Hannover,Landkreis,2015,31
03241,Region Hannover,Landkreis,2016,31.1
03251,Diepholz,Landkreis,2010,12.1
03251,Diepholz,Landkreis,2011,12.3
03251,Diepholz,Landkreis,2012,11.3
03251,Diepholz,Landkreis,2013,10.4
03251,Diepholz,Landkreis,2014,10.5
03251,Diepholz,Landkreis,2015,11.6
03251,Diepholz,Landkreis,2016,12.2
03252,Hameln-Pyrmont,Landkreis,2010,7.7
03252,Hameln-Pyrmont,Landkreis,2011,8.2
03252,Hameln-Pyrmont,Landkreis,2012,8.4
03252,Hameln-Pyrmont,Landkreis,2013,8.7
03252,Hameln-Pyrmont,Landkreis,2014,9
