Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2010,79.2
01001,"Flensburg, Stadt",krsfr. Stadt,2011,78.5
01001,"Flensburg, Stadt",krsfr. Stadt,2012,77.3
01001,"Flensburg, Stadt",krsfr. Stadt,2013,73
01001,"Flensburg, Stadt",krsfr. Stadt,2014,71
01001,"Flensburg, Stadt",krsfr. Stadt,2015,72.6
01001,"Flensburg, Stadt",krsfr. Stadt,2016,74.1
01002,"Kiel, Stadt",krsfr. Stadt,2010,74.9
01002,"Kiel, Stadt",krsfr. Stadt,2011,77.7
01002,"Kiel, Stadt",krsfr. Stadt,2012,79.7
01002,"Kiel, Stadt",krsfr. Stadt,2013,78.8
01002,"Kiel, Stadt",krsfr. Stadt,2014,78.2
01002,"Kiel, Stadt",krsfr. Stadt,2015,76.8
01002,"Kiel, Stadt",krsfr. Stadt,2016,76.7
01003,"Lübeck, Stadt",krsfr. Stadt,2010,65.3
01003,"Lübeck, Stadt",krsfr. Stadt,2011,71.3
01003,"Lübeck, Stadt",krsfr. Stadt,2012,71.3
01003,"Lübeck, Stadt",krsfr. Stadt,2013,70.6
01003,"Lübeck, Stadt",krsfr. Stadt,2014,72.7
01003,"Lübeck, Stadt",krsfr. Stadt,2015,72.4
01003,"Lübeck, Stadt",krsfr. Stadt,2016,74.3
01004,"Neumünster, Stadt",krsfr. Stadt,2010,89.7
01004,"Neumünster, Stadt",krsfr. Stadt,2011,86.5
01004,"Neumünster, Stadt",krsfr. Stadt,2012,87.2
01004,"Neumünster, Stadt",krsfr. Stadt,2013,95.7
01004,"Neumünster, Stadt",krsfr. Stadt,2014,95.2
01004,"Neumünster, Stadt",krsfr. Stadt,2015,95.4
01004,"Neumünster, Stadt",krsfr. Stadt,2016,95.3
01051,Dithmarschen,Landkreis,2010,89.8
01051,Dithmarschen,Landkreis,2011,89.6
01051,Dithmarschen,Landkreis,2012,89.9
01051,Dithmarschen,Landkreis,2013,91.8
01051,Dithmarschen,Landkreis,2014,91.6
01051,Dithmarschen,Landkreis,2015,92
01051,Dithmarschen,Landkreis,2016,91.9
01053,Herzogtum Lauenburg,Landkreis,2010,96.2
01053,Herzogtum Lauenburg,Landkreis,2011,96
01053,Herzogtum Lauenburg,Landkreis,2012,95.7
01053,Herzogtum Lauenburg,Landkreis,2013,95.3
01053,Herzogtum Lauenburg,Landkreis,2014,95.5
01053,Herzogtum Lauenburg,Landkreis,2015,95.1
