Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2008,2.79
01001,"Flensburg, Stadt",krsfr. Stadt,2009,2.6
01001,"Flensburg, Stadt",krsfr. Stadt,2010,2.54
01001,"Flensburg, Stadt",krsfr. Stadt,2011,2.51
01001,"Flensburg, Stadt",krsfr. Stadt,2012,2.59
01001,"Flensburg, Stadt",krsfr. Stadt,2013,2.87
01001,"Flensburg, Stadt",krsfr. Stadt,2014,2.87
01001,"Flensburg, Stadt",krsfr. Stadt,2015,2.97
01001,"Flensburg, Stadt",krsfr. Stadt,2016,3.01
01001,"Flensburg, Stadt",krsfr. Stadt,2017,3.03
01002,"Kiel, Stadt",krsfr. Stadt,2008,4.33
01002,"Kiel, Stadt",krsfr. Stadt,2009,4.35
01002,"Kiel, Stadt",krsfr. Stadt,2010,4.22
01002,"Kiel, Stadt",krsfr. Stadt,2011,4.2
01002,"Kiel, Stadt",krsfr. Stadt,2012,4.41
01002,"Kiel, Stadt",krsfr. Stadt,2013,4.32
01002,"Kiel, Stadt",krsfr. Stadt,2014,4.23
01002,"Kiel, Stadt",krsfr. Stadt,2015,4.18
01002,"Kiel, Stadt",krsfr. Stadt,2016,4.2
01002,"Kiel, Stadt",krsfr. Stadt,2017,4.25
01003,"Lübeck, Stadt",krsfr. Stadt,2008,3.14
01003,"Lübeck, Stadt",krsfr. Stadt,2009,2.94
01003,"Lübeck, Stadt",krsfr. Stadt,2010,2.81
01003,"Lübeck, Stadt",krsfr. Stadt,2011,2.81
01003,"Lübeck, Stadt",krsfr. Stadt,2012,2.83
01003,"Lübeck, Stadt",krsfr. Stadt,2013,2.77
01003,"Lübeck, Stadt",krsfr. Stadt,2014,2.84
01003,"Lübeck, Stadt",krsfr. Stadt,2015,2.85
01003,"Lübeck, Stadt",krsfr. Stadt,2016,2.89
01003,"Lübeck, Stadt",krsfr. Stadt,2017,3.03
01004,"Neumünster, Stadt",krsfr. Stadt,2008,1.06
01004,"Neumünster, Stadt",krsfr. Stadt,2009,1.08
01004,"Neumünster, Stadt",krsfr. Stadt,2010,1.14
01004,"Neumünster, Stadt",krsfr. Stadt,2011,1.23
01004,"Neumünster, Stadt",krsfr. Stadt,2012,1.24
01004,"Neumünster, Stadt",krsfr. Stadt,2013,1.13
01004,"Neumünster, Stadt",krsfr. Stadt,2014,1.06
01004,"Neumünster, Stadt",krsfr. Stadt,2015,1.11
01004,"Neumünster, Stadt",krsfr. Stadt,2016,1.07
01004,"Neumünster, Stadt",krsfr. Stadt,2017,1.15
01051,Dithmarschen,Landkreis,2008,1.32
01051,Dithmarschen,Landkreis,2009,0.97
01051,Dithmarschen,Landkreis,2010,0.9
01051,Dithmarschen,Landkreis,2011,0.86
01051,Dithmarschen,Landkreis,2012,0.8
01051,Dithmarschen,Landkreis,2013,0.82
01051,Dithmarschen,Landkreis,2014,0.83
01051,Dithmarschen,Landkreis,2015,0.84
01051,Dithmarschen,Landkreis,2016,0.9
01051,Dithmarschen,Landkreis,2017,0.84
01053,Herzogtum Lauenburg,Landkreis,2008,1.95
01053,Herzogtum Lauenburg,Landkreis,2009,1.9
01053,Herzogtum Lauenburg,Landkreis,2010,1.89
01053,Herzogtum Lauenburg,Landkreis,2011,1.91
01053,Herzogtum Lauenburg,Landkreis,2012,1.96
01053,Herzogtum Lauenburg,Landkreis,2013,1.45
01053,Herzogtum Lauenburg,Landkreis,2014,1.45
01053,Herzogtum Lauenburg,Landkreis,2015,1.45
01053,Herzogtum Lauenburg,Landkreis,2016,1.47
01053,Herzogtum Lauenburg,Landkreis,2017,1.44
01054,Nordfriesland,Landkreis,2008,1.31
01054,Nordfriesland,Landkreis,2009,1.19
01054,Nordfriesland,Landkreis,2010,1.18
01054,Nordfriesland,Landkreis,2011,1.03
01054,Nordfriesland,Landkreis,2012,1.02
01054,Nordfriesland,Landkreis,2013,1.08
01054,Nordfriesland,Landkreis,2014,1.05
01054,Nordfriesland,Landkreis,2015,1.17
01054,Nordfriesland,Landkreis,2016,1.24
01054,Nordfriesland,Landkreis,2017,1.2
01055,Ostholstein,Landkreis,2008,1.61
01055,Ostholstein,Landkreis,2009,1.65
01055,Ostholstein,Landkreis,2010,1.59
