Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2013,87.3
01001,"Flensburg, Stadt",krsfr. Stadt,2014,87
01001,"Flensburg, Stadt",krsfr. Stadt,2015,83.7
01001,"Flensburg, Stadt",krsfr. Stadt,2016,83.1
01001,"Flensburg, Stadt",krsfr. Stadt,2017,83.8
01002,"Kiel, Stadt",krsfr. Stadt,2013,88.5
01002,"Kiel, Stadt",krsfr. Stadt,2014,88.4
01002,"Kiel, Stadt",krsfr. Stadt,2015,87.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,86.7
01002,"Kiel, Stadt",krsfr. Stadt,2017,87
01003,"Lübeck, Stadt",krsfr. Stadt,2013,85.8
01003,"Lübeck, Stadt",krsfr. Stadt,2014,85.8
01003,"Lübeck, Stadt",krsfr. Stadt,2015,85.7
01003,"Lübeck, Stadt",krsfr. Stadt,2016,85.6
01003,"Lübeck, Stadt",krsfr. Stadt,2017,85.3
01004,"Neumünster, Stadt",krsfr. Stadt,2013,89.6
01004,"Neumünster, Stadt",krsfr. Stadt,2014,89.5
01004,"Neumünster, Stadt",krsfr. Stadt,2015,88.4
01004,"Neumünster, Stadt",krsfr. Stadt,2016,88.1
01004,"Neumünster, Stadt",krsfr. Stadt,2017,88.2
01051,Dithmarschen,Landkreis,2013,91.1
01051,Dithmarschen,Landkreis,2014,91.2
01051,Dithmarschen,Landkreis,2015,89.1
01051,Dithmarschen,Landkreis,2016,88.8
01051,Dithmarschen,Landkreis,2017,88.2
01053,Herzogtum Lauenburg,Landkreis,2013,88.8
01053,Herzogtum Lauenburg,Landkreis,2014,89
01053,Herzogtum Lauenburg,Landkreis,2015,88
01053,Herzogtum Lauenburg,Landkreis,2016,87.8
01053,Herzogtum Lauenburg,Landkreis,2017,87.8
01054,Nordfriesland,Landkreis,2013,91.5
01054,Nordfriesland,Landkreis,2014,91.4
01054,Nordfriesland,Landkreis,2015,90.2
01054,Nordfriesland,Landkreis,2016,89.9
