Kennziffer,Raumeinheit,Aggregat,year,value
01001,"Flensburg, Stadt",krsfr. Stadt,2013,12.7
01001,"Flensburg, Stadt",krsfr. Stadt,2014,13
01001,"Flensburg, Stadt",krsfr. Stadt,2015,16.3
01001,"Flensburg, Stadt",krsfr. Stadt,2016,16.9
01001,"Flensburg, Stadt",krsfr. Stadt,2017,16.2
01002,"Kiel, Stadt",krsfr. Stadt,2013,11.5
01002,"Kiel, Stadt",krsfr. Stadt,2014,11.6
01002,"Kiel, Stadt",krsfr. Stadt,2015,12.5
01002,"Kiel, Stadt",krsfr. Stadt,2016,13.3
01002,"Kiel, Stadt",krsfr. Stadt,2017,13
01003,"Lübeck, Stadt",krsfr. Stadt,2013,14.2
01003,"Lübeck, Stadt",krsfr. Stadt,2014,14.2
01003,"Lübeck, Stadt",krsfr. Stadt,2015,14.3
01003,"Lübeck, Stadt",krsfr. Stadt,2016,14.4
01003,"Lübeck, Stadt",krsfr. Stadt,2017,14.7
01004,"Neumünster, Stadt",krsfr. Stadt,2013,10.4
01004,"Neumünster, Stadt",krsfr. Stadt,2014,10.5
01004,"Neumünster, Stadt",krsfr. Stadt,2015,11.6
01004,"Neumünster, Stadt",krsfr. Stadt,2016,11.9
01004,"Neumünster, Stadt",krsfr. Stadt,2017,11.8
01051,Dithmarschen,Landkreis,2013,8.9
01051,Dithmarschen,Landkreis,2014,8.8
01051,Dithmarschen,Landkreis,2015,10.9
01051,Dithmarschen,Landkreis,2016,11.2
01051,Dithmarschen,Landkreis,2017,11.8
01053,Herzogtum Lauenburg,Landkreis,2013,11.2
01053,Herzogtum Lauenburg,Landkreis,2014,11
01053,Herzogtum Lauenburg,Landkreis,2015,12
01053,Herzogtum Lauenburg,Landkreis,2016,12.2
01053,Herzogtum Lauenburg,Landkreis,2017,12.2
01054,Nordfriesland,Landkreis,2013,8.5
01054,Nordfriesland,Landkreis,2014,8.6
01054,Nordfriesland,Landkreis,2015,9.8
01054,Nordfriesland,Landkreis,2016,10.1
01054,Nordfriesland,Landkreis,2017,10.2
01055,Ostholstein,Landkreis,2013,10.9
01055,Ostholstein,Landkreis,2014,11.3
01055,Ostholstein,Landkreis,2015,11.3
01055,Ostholstein,Landkreis,2016,11.2
01055,Ostholstein,Landkreis,2017,11.2
01056,Pinneberg,Landkreis,2013,12.6
01056,Pinneberg,Landkreis,2014,12.5
01056,Pinneberg,Landkreis,2015,12.7
01056,Pinneberg,Landkreis,2016,12.6
01056,Pinneberg,Landkreis,2017,12.4
01057,Plön,Landkreis,2013,10.9
01057,Plön,Landkreis,2014,10.6
01057,Plön,Landkreis,2015,11.1
01057,Plön,Landkreis,2016,11.2
01057,Plön,Landkreis,2017,11.6
01058,Rendsburg-Eckernförde,Landkreis,2013,10.2
01058,Rendsburg-Eckernförde,Landkreis,2014,10.4
01058,Rendsburg-Eckernförde,Landkreis,2015,11.2
01058,Rendsburg-Eckernförde,Landkreis,2016,11.3
01058,Rendsburg-Eckernförde,Landkreis,2017,11.6
01059,Schleswig-Flensburg,Landkreis,2013,10.4
01059,Schleswig-Flensburg,Landkreis,2014,10.8
01059,Schleswig-Flensburg,Landkreis,2015,11.4
01059,Schleswig-Flensburg,Landkreis,2016,11.9
01059,Schleswig-Flensburg,Landkreis,2017,11.4
01060,Segeberg,Landkreis,2013,11.4
01060,Segeberg,Landkreis,2014,11.3
01060,Segeberg,Landkreis,2015,11.8
01060,Segeberg,Landkreis,2016,11.9
01060,Segeberg,Landkreis,2017,11.8
01061,Steinburg,Landkreis,2013,9.9
01061,Steinburg,Landkreis,2014,10.5
01061,Steinburg,Landkreis,2015,11.6
01061,Steinburg,Landkreis,2016,12
